cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08830	6	-46,8136536	-23,8361942	4430	0,1354	10,1695	6910	4969	1941
L08831	4	-46,8194380	-23,8317178	3479	0,115	6,7797	5417	3938	1479
L08832	3	-46,7911844	-23,8783672	3683	0,0815	5,0847	5881	4259	1622
L08833	2	-46,7928253	-23,8822038	2044	0,0978	3,3898	3528	2459	1069
L08834	6	-46,8036858	-23,7778659	1257	0,4773	10,1695	1958	1461	497
L08835	8	-46,8300296	-23,8185670	1363	0,5869	13,5593	1965	1545	420
L08836	3	-46,8186661	-23,8089903	1492	0,2011	5,0847	2323	1722	601
L08837	4	-46,8224561	-23,8331535	1993	0,2007	6,7797	3114	2269	845
L08838	3	-46,8149265	-23,8294276	1208	0,2483	5,0847	1917	1393	524
L08839	2	-46,8195194	-23,8486719	1752	0,1142	3,3898	2724	2019	705
L08840	6	-46,8161880	-23,7967670	1542	0,3891	10,1695	2362	1797	565
L08841	5	-46,8120434	-23,8309881	3369	0,1484	8,4746	5481	3809	1672
L08842	1	-46,7960998	-23,8818852	2687	0,0372	1,6949	4269	3151	1118
L08843	5	-46,8762393	-23,8492822	867	0,5767	8,4746	1370	964	406
L08844	1	-46,7902042	-23,8678137	2182	0,0458	1,6949	3530	2579	951
