cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L10059	21	-46,3844600	-23,5373610	1918	1,0949	2,9745	2873	2258	615
L10061	2	-46,3687240	-23,5449808	1371	0,1459	0,2833	2094	1555	539
L10062	10	-46,3642569	-23,5406060	2654	0,3768	1,4164	4398	2946	1452
L10063	9	-46,3777280	-23,5581989	2878	0,3127	1,2748	4250	3247	1003
L10064	2	-46,3890098	-23,5576691	2601	0,0769	0,2833	3849	3002	847
L10065	21	-46,3824311	-23,5465527	2901	0,7239	2,9745	4280	3295	985
L10066	5	-46,3713937	-23,5562418	1982	0,2523	0,7082	2900	2259	641
L10067	16	-46,3670579	-23,5432884	3030	0,5281	2,2663	5216	3376	1840
L10068	42	-46,3930746	-23,5323789	1951	2,1527	5,949	3126	2420	706
L10069	20	-46,3587330	-23,5580219	3436	0,5821	2,8329	5027	3864	1163
L10070	6	-46,3706014	-23,5158132	3048	0,1969	0,8499	4432	3471	961
L10071	8	-46,3900579	-23,5494280	2350	0,3404	1,1331	3523	2713	810
L10072	10	-46,3633765	-23,5341403	1808	0,5531	1,4164	3030	2005	1025
L10073	21	-46,3679758	-23,5304623	3064	0,6854	2,9745	4438	3440	998
L10074	72	-46,3718960	-23,5380869	2509	2,8697	10,1983	3689	2858	831
L10075	15	-46,3570430	-23,5397000	2414	0,6214	2,1246	3621	2771	850
L10076	6	-46,3812195	-23,5322379	185	3,2432	0,8499	269	221	48
L10077	25	-46,3834229	-23,5377410	1021	2,4486	3,5411	1493	1175	318
L10078	7	-46,3579350	-23,5332420	1123	0,6233	0,9915	1594	1258	336
L10079	186	-46,3767650	-23,5387550	2457	7,5702	26,3456	3669	2737	932
L10080	18	-46,3575370	-23,5394390	2859	0,6296	2,5496	4602	3154	1448
L10081	5	-46,3856720	-23,5503040	2341	0,2136	0,7082	3324	2681	643
L10082	5	-46,3696960	-23,5204920	2100	0,2381	0,7082	3049	2427	622
L10083	17	-46,3634040	-23,5290020	2420	0,7025	2,4079	3554	2762	792
L10084	3	-46,3716458	-23,5560166	2637	0,1138	0,4249	3865	3009	856
L10085	9	-46,3695386	-23,5228840	1335	0,6742	1,2748	1898	1503	395
L10086	16	-46,3892556	-23,5539851	3193	0,5011	2,2663	4541	3646	895
L10087	5	-46,3770400	-23,5168330	2019	0,2476	0,7082	3291	2434	857
L10088	4	-46,3581550	-23,5475340	2493	0,1604	0,5666	3596	2820	776
L10089	22	-46,3823390	-23,5607850	2687	0,8188	3,1161	3783	3037	746
L10090	5	-46,3648740	-23,5481460	2789	0,1793	0,7082	4127	3118	1009
L10091	12	-46,3786650	-23,5542790	3228	0,3717	1,6997	4773	3667	1106
L10092	9	-46,3689340	-23,5264300	835	1,0778	1,2748	1219	937	282
L10093	1	-46,3666890	-23,5627450	1907	0,0524	0,1416	2610	2130	480
L10095	9	-46,3684730	-23,5308800	763	1,1796	1,2748	1111	869	242
L10096	48	-46,3742040	-23,5423870	1920	2,5	6,7989	2624	2138	486
L10097	3	-46,3573840	-23,5405290	916	0,3275	0,4249	1277	1029	248
L10098	4	-46,3700210	-23,5209820	1794	0,223	0,5666	2553	2058	495
L10099	4	-46,3705766	-23,5447254	2039	0,1962	0,5666	3071	2337	734
L10100	3	-46,3769064	-23,5465530	1498	0,2003	0,4249	2177	1771	406
