cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08773	1	-46,7511363	-23,2775591	3826	0,0261	4,1667	5807	4272	1535
L08774	1	-46,7398458	-23,2775708	2891	0,0346	4,1667	4688	3293	1395
L08775	3	-46,7296045	-23,2800431	3593	0,0835	12,5	5452	4212	1240
L08776	2	-46,7424408	-23,2578921	3435	0,0582	8,3333	5375	3963	1412
L08778	1	-46,7371767	-23,2834582	3558	0,0281	4,1667	5392	4027	1365
L08779	1	-46,7306685	-23,2688871	3901	0,0256	4,1667	5807	4415	1392
L08782	1	-46,7529656	-23,2834389	2699	0,0371	4,1667	3867	3001	866
L08784	2	-46,7408702	-23,2818336	883	0,2265	8,3333	1425	1051	374
L08786	4	-46,7423265	-23,2919153	4613	0,0867	16,6667	6920	5249	1671
L08788	1	-46,7448066	-23,2794319	2575	0,0388	4,1667	3802	2932	870
L08791	1	-46,7462429	-23,2799446	2370	0,0422	4,1667	3709	2619	1090
L08798	1	-46,7303626	-23,2700058	4536	0,022	4,1667	6706	5111	1595
L08800	3	-46,7498660	-23,2953150	2808	0,1068	12,5	4098	3162	936
L08801	2	-46,7356360	-23,2834490	3866	0,0517	8,3333	5621	4304	1317
