cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08771	7	-46,7445320	-23,2779900	1795	0,39	2,8807	2548	1986	562
L08772	3	-46,7395732	-23,2754946	2105	0,1425	1,2346	3135	2397	738
L08773	65	-46,7511363	-23,2775591	3826	1,6989	26,749	5807	4272	1535
L08774	3	-46,7398458	-23,2775708	2891	0,1038	1,2346	4688	3293	1395
L08775	1	-46,7296045	-23,2800431	3593	0,0278	0,4115	5452	4212	1240
L08778	2	-46,7371767	-23,2834582	3558	0,0562	0,823	5392	4027	1365
L08779	2	-46,7306685	-23,2688871	3901	0,0513	0,823	5807	4415	1392
L08782	21	-46,7529656	-23,2834389	2699	0,7781	8,642	3867	3001	866
L08783	5	-46,7477922	-23,2840979	4216	0,1186	2,0576	6447	4768	1679
L08786	6	-46,7423265	-23,2919153	4613	0,1301	2,4691	6920	5249	1671
L08787	14	-46,7593926	-23,2875173	1576	0,8883	5,7613	2296	1778	518
L08790	1	-46,7416480	-23,2591949	1765	0,0567	0,4115	2777	2058	719
L08791	6	-46,7462429	-23,2799446	2370	0,2532	2,4691	3709	2619	1090
L08792	37	-46,7512522	-23,2807059	2660	1,391	15,2263	4190	3006	1184
L08793	1	-46,7394020	-23,2747430	1400	0,0714	0,4115	2104	1584	520
L08794	48	-46,7257287	-23,3118935	768	6,25	19,7531	1044	853	191
L08796	12	-46,7589913	-23,2880867	993	1,2085	4,9383	1420	1130	290
L08798	2	-46,7303626	-23,2700058	4536	0,0441	0,823	6706	5111	1595
L08799	2	-46,7457241	-23,2801030	926	0,216	0,823	1461	1028	433
L08800	3	-46,7498660	-23,2953150	2808	0,1068	1,2346	4098	3162	936
L08801	1	-46,7356360	-23,2834490	3866	0,0259	0,4115	5621	4304	1317
L08802	1	-46,7461555	-23,2677431	2584	0,0387	0,4115	3851	2914	937
