cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	8	-46,7470261	-23,3271359	1621	0,4935	1,4599	2760	2033	727
L04459	20	-46,7156394	-23,3319003	1997	1,0015	3,6496	3117	2397	720
L04460	35	-46,7309560	-23,3226810	2804	1,2482	6,3869	4594	3540	1054
L04461	70	-46,7265455	-23,3324005	4988	1,4034	12,7737	8875	5947	2928
L04468	17	-46,7062725	-23,3262240	2606	0,6523	3,1022	3935	3095	840
L04469	15	-46,7288875	-23,3136511	2650	0,566	2,7372	4478	3365	1113
L04470	16	-46,7374196	-23,3177022	2591	0,6175	2,9197	4046	3169	877
L04471	5	-46,6982300	-23,3251611	1468	0,3406	0,9124	2312	1740	572
L04472	26	-46,7288870	-23,3175250	2824	0,9207	4,7445	4916	3533	1383
L04475	22	-46,7167480	-23,3318170	2136	1,03	4,0146	3625	2596	1029
L04477	32	-46,7232223	-23,3115866	2760	1,1594	5,8394	4261	3336	925
L04478	11	-46,7192240	-23,3028970	829	1,3269	2,0073	1301	1052	249
L04479	11	-46,7137465	-23,3200043	2323	0,4735	2,0073	3907	2935	972
L04480	41	-46,7192863	-23,3278265	2631	1,5583	7,4818	4267	3197	1070
L04481	2	-46,7070249	-23,2985539	1462	0,1368	0,365	2498	1865	633
L04482	14	-46,7599028	-23,2987451	1698	0,8245	2,5547	2865	2172	693
L04484	1	-46,7164309	-23,3318294	344	0,2907	0,1825	529	400	129
L04485	3	-46,7600078	-23,3180950	311	0,9646	0,5474	614	440	174
L04486	18	-46,7289732	-23,3183264	1770	1,0169	3,2847	2917	2199	718
L04487	34	-46,7138581	-23,3238825	3214	1,0579	6,2044	5215	3882	1333
L04488	12	-46,7131584	-23,2992386	1719	0,6981	2,1898	2748	2099	649
L04489	14	-46,7244002	-23,3033804	1116	1,2545	2,5547	1708	1377	331
L04490	9	-46,7520908	-23,3261192	1793	0,502	1,6423	3155	2296	859
L04491	15	-46,7287945	-23,3067878	2460	0,6098	2,7372	3923	3061	862
L04492	15	-46,7368940	-23,3300545	1444	1,0388	2,7372	2342	1798	544
L04493	17	-46,7034265	-23,3249477	2673	0,636	3,1022	3944	3161	783
L04494	6	-46,7463514	-23,3063525	859	0,6985	1,0949	1321	1074	247
L04495	3	-46,7263985	-23,3310551	435	0,6897	0,5474	816	520	296
L04496	12	-46,7161946	-23,3164017	991	1,2109	2,1898	1582	1250	332
L04497	16	-46,7100530	-23,3184947	2384	0,6711	2,9197	3816	2964	852
L04507	28	-46,7204651	-23,3350997	2011	1,3923	5,1095	3237	2370	867
