cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04459	20	-46,7156394	-23,3319003	2081	0,9611	6,4516	3117	2397	720
L04460	13	-46,7309560	-23,3226810	2963	0,4387	4,1935	4594	3540	1054
L04461	21	-46,7265455	-23,3324005	5153	0,4075	6,7742	8875	5947	2928
L04468	56	-46,7062725	-23,3262240	2684	2,0864	18,0645	3935	3095	840
L04469	5	-46,7288875	-23,3136511	2856	0,1751	1,6129	4478	3365	1113
L04470	5	-46,7374196	-23,3177022	2785	0,1795	1,6129	4046	3169	877
L04471	1	-46,6982300	-23,3251611	1558	0,0642	0,3226	2312	1740	572
L04472	10	-46,7288870	-23,3175250	3008	0,3324	3,2258	4916	3533	1383
L04475	41	-46,7167480	-23,3318170	2240	1,8304	13,2258	3625	2596	1029
L04477	5	-46,7232223	-23,3115866	2912	0,1717	1,6129	4261	3336	925
L04478	1	-46,7192240	-23,3028970	863	0,1159	0,3226	1301	1052	249
L04479	11	-46,7137465	-23,3200043	2445	0,4499	3,5484	3907	2935	972
L04480	7	-46,7192863	-23,3278265	2772	0,2525	2,2581	4267	3197	1070
L04481	6	-46,7070249	-23,2985539	1553	0,3863	1,9355	2498	1865	633
L04482	5	-46,7599028	-23,2987451	1776	0,2815	1,6129	2865	2172	693
L04484	6	-46,7164309	-23,3318294	347	1,7291	1,9355	529	400	129
L04485	2	-46,7600078	-23,3180950	332	0,6024	0,6452	614	440	174
L04486	3	-46,7289732	-23,3183264	1852	0,162	0,9677	2917	2199	718
L04487	22	-46,7138581	-23,3238825	3402	0,6467	7,0968	5215	3882	1333
L04488	3	-46,7131584	-23,2992386	1866	0,1608	0,9677	2748	2099	649
L04489	3	-46,7244002	-23,3033804	1186	0,253	0,9677	1708	1377	331
L04490	8	-46,7520908	-23,3261192	1960	0,4082	2,5806	3155	2296	859
L04491	2	-46,7287945	-23,3067878	2665	0,075	0,6452	3923	3061	862
L04492	4	-46,7368940	-23,3300545	1497	0,2672	1,2903	2342	1798	544
L04493	24	-46,7034265	-23,3249477	2804	0,8559	7,7419	3944	3161	783
L04494	1	-46,7463514	-23,3063525	915	0,1093	0,3226	1321	1074	247
L04495	3	-46,7263985	-23,3310551	442	0,6787	0,9677	816	520	296
L04496	2	-46,7161946	-23,3164017	1056	0,1894	0,6452	1582	1250	332
L04497	4	-46,7100530	-23,3184947	2540	0,1575	1,2903	3816	2964	852
L04507	16	-46,7204651	-23,3350997	2065	0,7748	5,1613	3237	2370	867
