cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04454	57	-46,7470261	-23,3271359	1691	3,3708	3,0911	2760	2033	727
L04459	39	-46,7156394	-23,3319003	2081	1,8741	2,115	3117	2397	720
L04460	85	-46,7309560	-23,3226810	2963	2,8687	4,6095	4594	3540	1054
L04461	152	-46,7265455	-23,3324005	5153	2,9497	8,243	8875	5947	2928
L04468	42	-46,7062725	-23,3262240	2684	1,5648	2,2777	3935	3095	840
L04469	64	-46,7288875	-23,3136511	2856	2,2409	3,4707	4478	3365	1113
L04470	88	-46,7374196	-23,3177022	2785	3,1598	4,7722	4046	3169	877
L04471	63	-46,6982300	-23,3251611	1558	4,0436	3,4165	2312	1740	572
L04472	108	-46,7288870	-23,3175250	3008	3,5904	5,8568	4916	3533	1383
L04475	57	-46,7167480	-23,3318170	2240	2,5446	3,0911	3625	2596	1029
L04477	102	-46,7232223	-23,3115866	2912	3,5027	5,5315	4261	3336	925
L04478	25	-46,7192240	-23,3028970	863	2,8969	1,3557	1301	1052	249
L04479	54	-46,7137465	-23,3200043	2445	2,2086	2,9284	3907	2935	972
L04480	53	-46,7192863	-23,3278265	2772	1,912	2,8742	4267	3197	1070
L04481	45	-46,7070249	-23,2985539	1553	2,8976	2,4403	2498	1865	633
L04482	67	-46,7599028	-23,2987451	1776	3,7725	3,6334	2865	2172	693
L04484	5	-46,7164309	-23,3318294	347	1,4409	0,2711	529	400	129
L04485	7	-46,7600078	-23,3180950	332	2,1084	0,3796	614	440	174
L04486	61	-46,7289732	-23,3183264	1852	3,2937	3,308	2917	2199	718
L04487	86	-46,7138581	-23,3238825	3402	2,5279	4,6638	5215	3882	1333
L04488	72	-46,7131584	-23,2992386	1866	3,8585	3,9046	2748	2099	649
L04489	35	-46,7244002	-23,3033804	1186	2,9511	1,898	1708	1377	331
L04490	56	-46,7520908	-23,3261192	1960	2,8571	3,0369	3155	2296	859
L04491	99	-46,7287945	-23,3067878	2665	3,7148	5,3688	3923	3061	862
L04492	37	-46,7368940	-23,3300545	1497	2,4716	2,0065	2342	1798	544
L04493	64	-46,7034265	-23,3249477	2804	2,2825	3,4707	3944	3161	783
L04494	43	-46,7463514	-23,3063525	915	4,6995	2,3319	1321	1074	247
L04495	12	-46,7263985	-23,3310551	442	2,7149	0,6508	816	520	296
L04496	32	-46,7161946	-23,3164017	1056	3,0303	1,7354	1582	1250	332
L04497	105	-46,7100530	-23,3184947	2540	4,1339	5,6941	3816	2964	852
L04507	29	-46,7204651	-23,3350997	2065	1,4044	1,5727	3237	2370	867
