cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07521	43	-46,0243061	-23,4174784	2322	1,8519	14,0984	3407	2563	844
L07524	2	-46,0980143	-23,3648339	1459	0,1371	0,6557	2000	1572	428
L07526	112	-46,0388373	-23,4132129	4130	2,7119	36,7213	6048	4465	1583
L07528	2	-46,1007235	-23,3102414	382	0,5236	0,6557	640	443	197
L07542	15	-46,1074250	-23,3149710	1888	0,7945	4,918	2627	2082	545
L07545	26	-46,0425567	-23,4127713	1039	2,5024	8,5246	1522	1123	399
L07546	1	-46,0748878	-23,3481822	557	0,1795	0,3279	771	603	168
L07547	4	-46,1467670	-23,3430200	394	1,0152	1,3115	571	453	118
L07549	80	-46,0365378	-23,4141388	2488	3,2154	26,2295	3557	2686	871
L07552	2	-46,0233831	-23,4205309	267	0,7491	0,6557	366	307	59
L07561	14	-46,0238938	-23,4133033	1240	1,129	4,5902	1735	1339	396
L07568	4	-46,1494690	-23,3527580	869	0,4603	1,3115	1350	1018	332
