cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	3	-46,5351389	-23,4432944	3985	0,0753	0,3272	6467	4740	1727
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,1091	5353	4100	1253
L04024	1	-46,4960476	-23,4627418	3286	0,0304	0,1091	4988	3762	1226
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,1091	6011	4558	1453
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,1091	5585	4358	1227
L04037	2	-46,5347298	-23,4577536	3127	0,064	0,2181	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,1091	6975	5763	1212
L04039	1	-46,5333820	-23,4320324	4977	0,0201	0,1091	7292	5754	1538
L04040	1	-46,5310324	-23,4403067	3573	0,028	0,1091	4916	4069	847
L04041	2	-46,5198792	-23,4405254	2510	0,0797	0,2181	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,1091	5052	3997	1055
L04043	2	-46,4988962	-23,4535454	3004	0,0666	0,2181	4361	3460	901
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,1091	5711	4457	1254
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,1091	2253	1802	451
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,1091	4827	3500	1327
L04227	96	-46,4014214	-23,4418594	3279	2,9277	10,4689	4547	3765	782
L04228	12	-46,4043279	-23,4619232	3414	0,3515	1,3086	4990	4013	977
L04229	12	-46,4252641	-23,4654680	2476	0,4847	1,3086	3655	2957	698
L04230	6	-46,4036715	-23,4635450	2746	0,2185	0,6543	4031	3199	832
L04231	11	-46,4014312	-23,4267677	3300	0,3333	1,1996	4744	3843	901
L04232	28	-46,4217922	-23,4688827	2892	0,9682	3,0534	4235	3445	790
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,1091	3680	3063	617
L04234	6	-46,3699481	-23,4230098	1234	0,4862	0,6543	1986	1540	446
L04235	59	-46,4124283	-23,4446100	3679	1,6037	6,434	5464	4330	1134
L04236	7	-46,4240116	-23,4575466	3776	0,1854	0,7634	5435	4492	943
L04237	12	-46,4010537	-23,4628858	3866	0,3104	1,3086	5772	4602	1170
L04238	7	-46,3962862	-23,4650561	3129	0,2237	0,7634	4474	3655	819
L04239	68	-46,4117159	-23,4448235	3541	1,9204	7,4155	4961	4092	869
L04240	2	-46,3970402	-23,4775957	3125	0,064	0,2181	4896	3844	1052
L04241	5	-46,4274434	-23,4577532	3932	0,1272	0,5453	5900	4677	1223
L04242	68	-46,4110028	-23,4412045	4441	1,5312	7,4155	6679	5288	1391
L04243	27	-46,4190397	-23,4390357	4665	0,5788	2,9444	6705	5509	1196
L04244	6	-46,4384280	-23,4711710	2467	0,2432	0,6543	3489	2777	712
L04245	9	-46,4263197	-23,4646584	2243	0,4012	0,9815	3234	2676	558
L04246	9	-46,4183363	-23,4566057	2701	0,3332	0,9815	3767	3124	643
L04247	40	-46,4006094	-23,4493557	4047	0,9884	4,3621	5767	4780	987
L04248	8	-46,4098396	-23,4606598	2080	0,3846	0,8724	3149	2441	708
L04249	9	-46,4399123	-23,4617526	1621	0,5552	0,9815	2373	1931	442
