cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04227	2	-46,4014214	-23,4418594	3279	0,061	2,0	4547	3765	782
L04228	3	-46,4043279	-23,4619232	3414	0,0879	3,0	4990	4013	977
L04230	1	-46,4036715	-23,4635450	2746	0,0364	1,0	4031	3199	832
L04231	1	-46,4014312	-23,4267677	3300	0,0303	1,0	4744	3843	901
L04232	2	-46,4217922	-23,4688827	2892	0,0692	2,0	4235	3445	790
L04235	10	-46,4124283	-23,4446100	3679	0,2718	10,0	5464	4330	1134
L04236	5	-46,4240116	-23,4575466	3776	0,1324	5,0	5435	4492	943
L04237	1	-46,4010537	-23,4628858	3866	0,0259	1,0	5772	4602	1170
L04238	2	-46,3962862	-23,4650561	3129	0,0639	2,0	4474	3655	819
L04239	7	-46,4117159	-23,4448235	3541	0,1977	7,0	4961	4092	869
L04242	3	-46,4110028	-23,4412045	4441	0,0676	3,0	6679	5288	1391
L04243	9	-46,4190397	-23,4390357	4665	0,1929	9,0	6705	5509	1196
L04245	1	-46,4263197	-23,4646584	2243	0,0446	1,0	3234	2676	558
L04247	2	-46,4006094	-23,4493557	4047	0,0494	2,0	5767	4780	987
L04249	2	-46,4399123	-23,4617526	1621	0,1234	2,0	2373	1931	442
L04251	4	-46,4122972	-23,4487083	2818	0,1419	4,0	4095	3343	752
L04253	3	-46,4078760	-23,4565700	2061	0,1456	3,0	3057	2422	635
L04254	1	-46,4142034	-23,4355403	1861	0,0537	1,0	2816	2250	566
L04256	6	-46,4196635	-23,4426294	1504	0,3989	6,0	2063	1754	309
L04257	5	-46,4168989	-23,4502035	2158	0,2317	5,0	3157	2540	617
L04260	5	-46,4110264	-23,4483687	2454	0,2037	5,0	3348	2855	493
L04261	1	-46,4253063	-23,4662179	1516	0,066	1,0	2268	1797	471
L09795	1	-46,5427459	-23,4505121	3324	0,0301	1,0	5044	3906	1138
L09801	1	-46,5362158	-23,4040658	2732	0,0366	1,0	3870	3112	758
L09803	1	-46,5561613	-23,4338322	3793	0,0264	1,0	5928	4573	1355
L09807	1	-46,5489569	-23,4357724	2320	0,0431	1,0	3349	2693	656
L09838	1	-46,4171536	-23,4044185	4679	0,0214	1,0	6569	5371	1198
L09840	1	-46,4166354	-23,4057458	4733	0,0211	1,0	6925	5514	1411
L09847	1	-46,4019218	-23,4113425	316	0,3165	1,0	492	396	96
L09861	9	-46,4284199	-23,4439420	4306	0,209	9,0	6361	5197	1164
L09866	1	-46,4278732	-23,4383691	2095	0,0477	1,0	2932	2450	482
L09869	1	-46,4651071	-23,4594986	4171	0,024	1,0	5819	4729	1090
L09871	1	-46,4406541	-23,4507951	4323	0,0231	1,0	6232	5179	1053
L09875	1	-46,4340671	-23,4266463	6326	0,0158	1,0	9025	7471	1554
L09880	3	-46,4237055	-23,4448627	2391	0,1255	3,0	3560	2909	651
L09886	1	-46,4394973	-23,4515105	1513	0,0661	1,0	2302	1818	484
