cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04026	2	-46,5205382	-23,4200168	3569	0,056	1,8868	5258	4148	1110
L04043	2	-46,4988962	-23,4535454	3004	0,0666	1,8868	4361	3460	901
L04227	9	-46,4014214	-23,4418594	3279	0,2745	8,4906	4547	3765	782
L04228	1	-46,4043279	-23,4619232	3414	0,0293	0,9434	4990	4013	977
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,9434	3655	2957	698
L04231	9	-46,4014312	-23,4267677	3300	0,2727	8,4906	4744	3843	901
L04234	1	-46,3699481	-23,4230098	1234	0,081	0,9434	1986	1540	446
L04235	5	-46,4124283	-23,4446100	3679	0,1359	4,717	5464	4330	1134
L04239	2	-46,4117159	-23,4448235	3541	0,0565	1,8868	4961	4092	869
L04242	2	-46,4110028	-23,4412045	4441	0,045	1,8868	6679	5288	1391
L04245	2	-46,4263197	-23,4646584	2243	0,0892	1,8868	3234	2676	558
L04247	9	-46,4006094	-23,4493557	4047	0,2224	8,4906	5767	4780	987
L04253	2	-46,4078760	-23,4565700	2061	0,097	1,8868	3057	2422	635
L04254	1	-46,4142034	-23,4355403	1861	0,0537	0,9434	2816	2250	566
L04259	18	-46,4044135	-23,4399264	2280	0,7895	16,9811	3572	2733	839
L06606	2	-46,5368498	-23,4803586	2392	0,0836	1,8868	3486	2783	703
L06631	1	-46,5076553	-23,4362492	2967	0,0337	0,9434	4227	3452	775
L06632	1	-46,4933909	-23,4194569	4222	0,0237	0,9434	5911	4760	1151
L06634	1	-46,4972144	-23,4091590	3843	0,026	0,9434	5269	4286	983
L06642	1	-46,5029171	-23,4317468	2477	0,0404	0,9434	3336	2757	579
L06647	4	-46,5150722	-23,4316739	2155	0,1856	3,7736	3031	2499	532
L06657	1	-46,4932521	-23,4075649	2325	0,043	0,9434	3254	2621	633
L09818	1	-46,4376679	-23,3997821	4108	0,0243	0,9434	5884	4783	1101
L09823	1	-46,4514827	-23,4142506	718	0,1393	0,9434	1034	843	191
L09825	1	-46,3717961	-23,4135789	1881	0,0532	0,9434	2708	2254	454
L09828	1	-46,4373582	-23,3998282	3439	0,0291	0,9434	5350	4024	1326
L09832	2	-46,4514827	-23,4142506	2143	0,0933	1,8868	3201	2566	635
L09836	1	-46,3915434	-23,4071587	3522	0,0284	0,9434	5143	4192	951
L09844	1	-46,3942002	-23,3987737	3665	0,0273	0,9434	5306	4363	943
L09857	1	-46,4623279	-23,4372050	1523	0,0657	0,9434	2389	1854	535
L09861	1	-46,4284199	-23,4439420	4306	0,0232	0,9434	6361	5197	1164
L09864	2	-46,4654827	-23,4594060	3703	0,054	1,8868	5205	4151	1054
L09867	1	-46,4363562	-23,4335696	4242	0,0236	0,9434	6556	5035	1521
L09869	4	-46,4651071	-23,4594986	4171	0,0959	3,7736	5819	4729	1090
L09870	1	-46,4386061	-23,4454914	3923	0,0255	0,9434	5764	4733	1031
L09871	5	-46,4406541	-23,4507951	4323	0,1157	4,717	6232	5179	1053
L09875	3	-46,4340671	-23,4266463	6326	0,0474	2,8302	9025	7471	1554
L09882	1	-46,4593607	-23,4375830	1457	0,0686	0,9434	2080	1662	418
L09885	1	-46,4422840	-23,4184680	2598	0,0385	0,9434	3836	3140	696
L09886	1	-46,4394973	-23,4515105	1513	0,0661	0,9434	2302	1818	484
