cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	0,6849	6467	4740	1727
L04026	1	-46,5205382	-23,4200168	3569	0,028	0,3425	5258	4148	1110
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,3425	6011	4558	1453
L04029	1	-46,5257431	-23,4447767	3469	0,0288	0,3425	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,3425	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	0,6849	5561	4379	1182
L04032	1	-46,5233803	-23,4390725	1675	0,0597	0,3425	2351	1938	413
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,3425	5585	4358	1227
L04037	2	-46,5347298	-23,4577536	3127	0,064	0,6849	4628	3609	1019
L04038	2	-46,5218442	-23,4280169	5014	0,0399	0,6849	6975	5763	1212
L04039	2	-46,5333820	-23,4320324	4977	0,0402	0,6849	7292	5754	1538
L04040	6	-46,5310324	-23,4403067	3573	0,1679	2,0548	4916	4069	847
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,3425	3908	2965	943
L04045	1	-46,5182845	-23,4505855	1810	0,0552	0,3425	2690	2149	541
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,3425	2790	2244	546
L04055	2	-46,5326860	-23,4703600	3025	0,0661	0,6849	4827	3500	1327
L04227	5	-46,4014214	-23,4418594	3279	0,1525	1,7123	4547	3765	782
L04228	1	-46,4043279	-23,4619232	3414	0,0293	0,3425	4990	4013	977
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,3425	3655	2957	698
L04230	1	-46,4036715	-23,4635450	2746	0,0364	0,3425	4031	3199	832
L04231	2	-46,4014312	-23,4267677	3300	0,0606	0,6849	4744	3843	901
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,3425	3680	3063	617
L04234	1	-46,3699481	-23,4230098	1234	0,081	0,3425	1986	1540	446
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,3425	4961	4092	869
L04240	3	-46,3970402	-23,4775957	3125	0,096	1,0274	4896	3844	1052
L04241	2	-46,4274434	-23,4577532	3932	0,0509	0,6849	5900	4677	1223
L04243	1	-46,4190397	-23,4390357	4665	0,0214	0,3425	6705	5509	1196
L04245	1	-46,4263197	-23,4646584	2243	0,0446	0,3425	3234	2676	558
L04247	2	-46,4006094	-23,4493557	4047	0,0494	0,6849	5767	4780	987
L04250	2	-46,4006412	-23,4605835	2128	0,094	0,6849	3336	2530	806
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,3425	3057	2422	635
L04254	1	-46,4142034	-23,4355403	1861	0,0537	0,3425	2816	2250	566
L04260	1	-46,4110264	-23,4483687	2454	0,0407	0,3425	3348	2855	493
L05429	1	-46,5131387	-23,4051476	3219	0,0311	0,3425	4495	3582	913
L06590	1	-46,5422782	-23,4665988	3106	0,0322	0,3425	4688	3650	1038
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,3425	3854	3034	820
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,3425	4182	3224	958
L06596	2	-46,5433698	-23,4792971	2346	0,0853	0,6849	3481	2759	722
L06598	2	-46,5543334	-23,5001704	2493	0,0802	0,6849	3746	2920	826
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,3425	5873	4680	1193
L06600	2	-46,5491135	-23,5030590	4632	0,0432	0,6849	7282	5678	1604
L06603	1	-46,5529975	-23,4682223	3294	0,0304	0,3425	4736	3793	943
L06605	2	-46,5423233	-23,4725448	3187	0,0628	0,6849	4654	3758	896
L06606	1	-46,5368498	-23,4803586	2392	0,0418	0,3425	3486	2783	703
L06607	2	-46,5426685	-23,4588950	2362	0,0847	0,6849	3496	2775	721
L06612	4	-46,5384397	-23,4639462	1397	0,2863	1,3699	2056	1664	392
L06615	1	-46,5425522	-23,4666121	917	0,1091	0,3425	1375	1082	293
L06620	1	-46,5509395	-23,4687509	963	0,1038	0,3425	1425	1159	266
L06624	1	-46,5045704	-23,4243582	1929	0,0518	0,3425	2744	2220	524
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,3425	2378	1894	484
L06627	1	-46,5068802	-23,4538921	1021	0,0979	0,3425	1469	1179	290
L06631	2	-46,5076553	-23,4362492	2967	0,0674	0,6849	4227	3452	775
L06632	1	-46,4933909	-23,4194569	4222	0,0237	0,3425	5911	4760	1151
L06634	7	-46,4972144	-23,4091590	3843	0,1821	2,3973	5269	4286	983
L06635	2	-46,4960369	-23,4157394	3530	0,0567	0,6849	4636	3918	718
L06636	6	-46,5010794	-23,4082922	2304	0,2604	2,0548	3067	2564	503
L06637	4	-46,4862817	-23,4057433	3315	0,1207	1,3699	4493	3728	765
L06638	1	-46,5108984	-23,4160796	3329	0,03	0,3425	4389	3703	686
L06639	4	-46,5101307	-23,4343788	3858	0,1037	1,3699	5535	4504	1031
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,3425	2700	2282	418
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,3425	5813	4898	915
L06642	2	-46,5029171	-23,4317468	2477	0,0807	0,6849	3336	2757	579
L06644	2	-46,5063124	-23,4580645	2735	0,0731	0,6849	3706	3095	611
