cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04026	1	-46,5205382	-23,4200168	3569	0,028	0,113	5258	4148	1110
L04032	2	-46,5233803	-23,4390725	1675	0,1194	0,226	2351	1938	413
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,113	6975	5763	1212
L04045	1	-46,5182845	-23,4505855	1810	0,0552	0,113	2690	2149	541
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,113	5711	4457	1254
L04049	2	-46,5279042	-23,4569302	1927	0,1038	0,226	2790	2244	546
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,113	2253	1802	451
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,113	3441	2836	605
L04227	7	-46,4014214	-23,4418594	3279	0,2135	0,791	4547	3765	782
L04228	4	-46,4043279	-23,4619232	3414	0,1172	0,452	4990	4013	977
L04229	4	-46,4252641	-23,4654680	2476	0,1616	0,452	3655	2957	698
L04230	13	-46,4036715	-23,4635450	2746	0,4734	1,4689	4031	3199	832
L04231	7	-46,4014312	-23,4267677	3300	0,2121	0,791	4744	3843	901
L04232	7	-46,4217922	-23,4688827	2892	0,242	0,791	4235	3445	790
L04233	20	-46,3922099	-23,4750902	2611	0,766	2,2599	3680	3063	617
L04234	3	-46,3699481	-23,4230098	1234	0,2431	0,339	1986	1540	446
L04235	39	-46,4124283	-23,4446100	3679	1,0601	4,4068	5464	4330	1134
L04236	23	-46,4240116	-23,4575466	3776	0,6091	2,5989	5435	4492	943
L04237	18	-46,4010537	-23,4628858	3866	0,4656	2,0339	5772	4602	1170
L04238	31	-46,3962862	-23,4650561	3129	0,9907	3,5028	4474	3655	819
L04239	30	-46,4117159	-23,4448235	3541	0,8472	3,3898	4961	4092	869
L04240	24	-46,3970402	-23,4775957	3125	0,768	2,7119	4896	3844	1052
L04241	9	-46,4274434	-23,4577532	3932	0,2289	1,0169	5900	4677	1223
L04242	37	-46,4110028	-23,4412045	4441	0,8331	4,1808	6679	5288	1391
L04243	99	-46,4190397	-23,4390357	4665	2,1222	11,1864	6705	5509	1196
L04244	4	-46,4384280	-23,4711710	2467	0,1621	0,452	3489	2777	712
L04245	8	-46,4263197	-23,4646584	2243	0,3567	0,904	3234	2676	558
L04246	77	-46,4183363	-23,4566057	2701	2,8508	8,7006	3767	3124	643
L04247	16	-46,4006094	-23,4493557	4047	0,3954	1,8079	5767	4780	987
L04248	9	-46,4098396	-23,4606598	2080	0,4327	1,0169	3149	2441	708
L04250	10	-46,4006412	-23,4605835	2128	0,4699	1,1299	3336	2530	806
L04251	27	-46,4122972	-23,4487083	2818	0,9581	3,0508	4095	3343	752
L04252	17	-46,3922900	-23,4769740	2249	0,7559	1,9209	3198	2702	496
L04253	7	-46,4078760	-23,4565700	2061	0,3396	0,791	3057	2422	635
L04254	37	-46,4142034	-23,4355403	1861	1,9882	4,1808	2816	2250	566
L04255	7	-46,4083672	-23,4621695	2456	0,285	0,791	3409	2856	553
L04256	29	-46,4196635	-23,4426294	1504	1,9282	3,2768	2063	1754	309
L04257	24	-46,4168989	-23,4502035	2158	1,1121	2,7119	3157	2540	617
L04258	28	-46,4181034	-23,4396543	1694	1,6529	3,1638	2298	1986	312
L04259	7	-46,4044135	-23,4399264	2280	0,307	0,791	3572	2733	839
L04260	28	-46,4110264	-23,4483687	2454	1,141	3,1638	3348	2855	493
L04261	1	-46,4253063	-23,4662179	1516	0,066	0,113	2268	1797	471
L06590	1	-46,5422782	-23,4665988	3106	0,0322	0,113	4688	3650	1038
L06596	2	-46,5433698	-23,4792971	2346	0,0853	0,226	3481	2759	722
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,113	3181	2645	536
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,113	5873	4680	1193
L06602	2	-46,5492677	-23,4848483	3245	0,0616	0,226	4911	3881	1030
L06603	1	-46,5529975	-23,4682223	3294	0,0304	0,113	4736	3793	943
L06604	2	-46,5464811	-23,4794649	2834	0,0706	0,226	4188	3330	858
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,113	4654	3758	896
L06607	2	-46,5426685	-23,4588950	2362	0,0847	0,226	3496	2775	721
L06618	4	-46,5471378	-23,4805844	1166	0,3431	0,452	1808	1365	443
L06632	1	-46,4933909	-23,4194569	4222	0,0237	0,113	5911	4760	1151
L07068	1	-46,4183034	-23,4225518	3081	0,0325	0,113	4413	3669	744
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,113	3332	2503	829
L09808	1	-46,5531760	-23,4384305	1963	0,0509	0,113	3071	2353	718
L09819	1	-46,4161970	-23,4051055	3839	0,026	0,113	5798	4451	1347
L09820	3	-46,4061990	-23,4172553	2440	0,123	0,339	3538	2909	629
L09821	5	-46,4713471	-23,4164380	4729	0,1057	0,565	6668	5493	1175
L09822	2	-46,4599054	-23,4173154	3123	0,064	0,226	4717	3792	925
L09826	1	-46,4060026	-23,3664058	1077	0,0929	0,113	1500	1245	255
L09827	2	-46,4073298	-23,4187234	1833	0,1091	0,226	2739	2236	503
L09831	1	-46,4660087	-23,4006544	3645	0,0274	0,113	5341	4237	1104
L09833	2	-46,4201768	-23,4087523	1155	0,1732	0,226	1705	1297	408
L09834	9	-46,3974480	-23,4069388	2470	0,3644	1,0169	3555	2944	611
L09835	1	-46,4532657	-23,4044830	3545	0,0282	0,113	4593	3941	652
L09836	15	-46,3915434	-23,4071587	3522	0,4259	1,6949	5143	4192	951
L09838	1	-46,4171536	-23,4044185	4679	0,0214	0,113	6569	5371	1198
L09841	1	-46,4332401	-23,4018027	4766	0,021	0,113	6620	5535	1085
L09842	1	-46,4337453	-23,4021408	773	0,1294	0,113	1143	907	236
L09844	10	-46,3942002	-23,3987737	3665	0,2729	1,1299	5306	4363	943
L09845	12	-46,3955820	-23,3987536	3675	0,3265	1,3559	5424	4458	966
L09846	1	-46,4570810	-23,4125500	3153	0,0317	0,113	4264	3582	682
L09850	2	-46,4488353	-23,3750146	3137	0,0638	0,226	4421	3657	764
L09852	12	-46,3935128	-23,3969846	1953	0,6144	1,3559	2816	2316	500
L09855	1	-46,4541521	-23,4053186	1795	0,0557	0,113	2396	2002	394
L09860	2	-46,4742651	-23,4493456	3049	0,0656	0,226	4799	3576	1223
L09861	15	-46,4284199	-23,4439420	4306	0,3484	1,6949	6361	5197	1164
L09862	2	-46,4178706	-23,4230444	2208	0,0906	0,226	3359	2691	668
L09863	1	-46,4279296	-23,4310787	2270	0,0441	0,113	3738	2809	929
L09864	6	-46,4654827	-23,4594060	3703	0,162	0,678	5205	4151	1054
L09866	6	-46,4278732	-23,4383691	2095	0,2864	0,678	2932	2450	482
L09868	2	-46,4576614	-23,4558165	4036	0,0496	0,226	5529	4586	943
L09869	1	-46,4651071	-23,4594986	4171	0,024	0,113	5819	4729	1090
L09870	2	-46,4386061	-23,4454914	3923	0,051	0,226	5764	4733	1031
L09871	4	-46,4406541	-23,4507951	4323	0,0925	0,452	6232	5179	1053
L09874	1	-46,4275906	-23,4246425	2619	0,0382	0,113	3842	3152	690
L09875	1	-46,4340671	-23,4266463	6326	0,0158	0,113	9025	7471	1554
L09878	1	-46,4758617	-23,4524532	919	0,1088	0,113	1504	1107	397
L09880	15	-46,4237055	-23,4448627	2391	0,6274	1,6949	3560	2909	651
L09885	1	-46,4422840	-23,4184680	2598	0,0385	0,113	3836	3140	696
