cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,2481	5353	4100	1253
L04023	1	-46,5258670	-23,4677912	1789	0,0559	0,2481	2652	2022	630
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,2481	4565	3579	986
L04032	1	-46,5233803	-23,4390725	1675	0,0597	0,2481	2351	1938	413
L04035	2	-46,5225666	-23,4292113	1027	0,1947	0,4963	1410	1186	224
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,2481	4628	3609	1019
L04039	1	-46,5333820	-23,4320324	4977	0,0201	0,2481	7292	5754	1538
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,2481	3908	2965	943
L04047	1	-46,5212409	-23,4239096	3765	0,0266	0,2481	5711	4457	1254
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,2481	2790	2244	546
L04050	2	-46,5284889	-23,4721650	1152	0,1736	0,4963	1695	1303	392
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,2481	4827	3500	1327
L04227	1	-46,4014214	-23,4418594	3279	0,0305	0,2481	4547	3765	782
L04232	1	-46,4217922	-23,4688827	2892	0,0346	0,2481	4235	3445	790
L04233	13	-46,3922099	-23,4750902	2611	0,4979	3,2258	3680	3063	617
L04235	3	-46,4124283	-23,4446100	3679	0,0815	0,7444	5464	4330	1134
L04236	4	-46,4240116	-23,4575466	3776	0,1059	0,9926	5435	4492	943
L04237	4	-46,4010537	-23,4628858	3866	0,1035	0,9926	5772	4602	1170
L04238	2	-46,3962862	-23,4650561	3129	0,0639	0,4963	4474	3655	819
L04239	9	-46,4117159	-23,4448235	3541	0,2542	2,2333	4961	4092	869
L04240	15	-46,3970402	-23,4775957	3125	0,48	3,7221	4896	3844	1052
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,2481	5900	4677	1223
L04242	6	-46,4110028	-23,4412045	4441	0,1351	1,4888	6679	5288	1391
L04243	83	-46,4190397	-23,4390357	4665	1,7792	20,5955	6705	5509	1196
L04244	1	-46,4384280	-23,4711710	2467	0,0405	0,2481	3489	2777	712
L04246	5	-46,4183363	-23,4566057	2701	0,1851	1,2407	3767	3124	643
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,2481	3336	2530	806
L04251	1	-46,4122972	-23,4487083	2818	0,0355	0,2481	4095	3343	752
L04252	21	-46,3922900	-23,4769740	2249	0,9337	5,2109	3198	2702	496
L04254	15	-46,4142034	-23,4355403	1861	0,806	3,7221	2816	2250	566
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,2481	3409	2856	553
L04256	18	-46,4196635	-23,4426294	1504	1,1968	4,4665	2063	1754	309
L04257	3	-46,4168989	-23,4502035	2158	0,139	0,7444	3157	2540	617
L04258	62	-46,4181034	-23,4396543	1694	3,66	15,3846	2298	1986	312
L04259	1	-46,4044135	-23,4399264	2280	0,0439	0,2481	3572	2733	839
L04260	4	-46,4110264	-23,4483687	2454	0,163	0,9926	3348	2855	493
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,2481	3854	3034	820
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,2481	4182	3224	958
L06595	1	-46,5435717	-23,4840799	267	0,3745	0,2481	448	335	113
L06598	4	-46,5543334	-23,5001704	2493	0,1604	0,9926	3746	2920	826
L06601	1	-46,5494943	-23,4686972	1489	0,0672	0,2481	2100	1713	387
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,2481	4911	3881	1030
L06604	2	-46,5464811	-23,4794649	2834	0,0706	0,4963	4188	3330	858
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,2481	4654	3758	896
L06606	2	-46,5368498	-23,4803586	2392	0,0836	0,4963	3486	2783	703
L06618	2	-46,5471378	-23,4805844	1166	0,1715	0,4963	1808	1365	443
L06619	1	-46,5368498	-23,4803586	597	0,1675	0,2481	945	695	250
L06624	2	-46,5045704	-23,4243582	1929	0,1037	0,4963	2744	2220	524
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,2481	2378	1894	484
L06630	7	-46,5008477	-23,4246555	3037	0,2305	1,737	3968	3367	601
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,2481	5813	4898	915
L06642	1	-46,5029171	-23,4317468	2477	0,0404	0,2481	3336	2757	579
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,2481	5949	4887	1062
L06644	1	-46,5063124	-23,4580645	2735	0,0366	0,2481	3706	3095	611
L06645	1	-46,5069535	-23,4312359	4449	0,0225	0,2481	6184	5081	1103
L06646	3	-46,5109205	-23,4407732	3152	0,0952	0,7444	4427	3643	784
L06657	3	-46,4932521	-23,4075649	2325	0,129	0,7444	3254	2621	633
L07068	2	-46,4183034	-23,4225518	3081	0,0649	0,4963	4413	3669	744
L09785	2	-46,5368630	-23,4401670	1861	0,1075	0,4963	2951	2203	748
L09788	3	-46,5460249	-23,4541953	1554	0,1931	0,7444	2307	1827	480
L09790	2	-46,5546942	-23,4528509	2045	0,0978	0,4963	3332	2503	829
L09796	1	-46,5546684	-23,4228617	2959	0,0338	0,2481	4282	3474	808
L09817	2	-46,5575625	-23,4485828	5138	0,0389	0,4963	7850	5990	1860
L09822	1	-46,4599054	-23,4173154	3123	0,032	0,2481	4717	3792	925
L09824	1	-46,4460270	-23,4107410	3681	0,0272	0,2481	5303	4310	993
L09829	2	-46,4437028	-23,3783486	3911	0,0511	0,4963	5380	4483	897
L09832	1	-46,4514827	-23,4142506	2143	0,0467	0,2481	3201	2566	635
L09834	2	-46,3974480	-23,4069388	2470	0,081	0,4963	3555	2944	611
L09836	3	-46,3915434	-23,4071587	3522	0,0852	0,7444	5143	4192	951
L09841	1	-46,4332401	-23,4018027	4766	0,021	0,2481	6620	5535	1085
L09845	2	-46,3955820	-23,3987536	3675	0,0544	0,4963	5424	4458	966
L09850	2	-46,4488353	-23,3750146	3137	0,0638	0,4963	4421	3657	764
L09852	1	-46,3935128	-23,3969846	1953	0,0512	0,2481	2816	2316	500
L09859	1	-46,4663092	-23,4465384	3796	0,0263	0,2481	5627	4426	1201
L09861	7	-46,4284199	-23,4439420	4306	0,1626	1,737	6361	5197	1164
L09863	2	-46,4279296	-23,4310787	2270	0,0881	0,4963	3738	2809	929
L09866	9	-46,4278732	-23,4383691	2095	0,4296	2,2333	2932	2450	482
L09867	2	-46,4363562	-23,4335696	4242	0,0471	0,4963	6556	5035	1521
L09868	7	-46,4576614	-23,4558165	4036	0,1734	1,737	5529	4586	943
L09870	2	-46,4386061	-23,4454914	3923	0,051	0,4963	5764	4733	1031
L09871	3	-46,4406541	-23,4507951	4323	0,0694	0,7444	6232	5179	1053
L09875	1	-46,4340671	-23,4266463	6326	0,0158	0,2481	9025	7471	1554
L09877	6	-46,4275886	-23,4316448	1879	0,3193	1,4888	2742	2220	522
L09880	7	-46,4237055	-23,4448627	2391	0,2928	1,737	3560	2909	651
L09886	1	-46,4394973	-23,4515105	1513	0,0661	0,2481	2302	1818	484
