cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	23	-46,5351389	-23,4432944	3985	0,5772	10,177	6467	4740	1727
L04022	4	-46,5189890	-23,4582225	3507	0,1141	1,7699	5353	4100	1253
L04024	2	-46,4960476	-23,4627418	3286	0,0609	0,885	4988	3762	1226
L04027	4	-46,5348867	-23,4617458	3878	0,1031	1,7699	6011	4558	1453
L04028	3	-46,5260028	-23,4506424	2185	0,1373	1,3274	3153	2490	663
L04029	7	-46,5257431	-23,4447767	3469	0,2018	3,0973	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,4425	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	0,885	5561	4379	1182
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,4425	5585	4358	1227
L04035	3	-46,5225666	-23,4292113	1027	0,2921	1,3274	1410	1186	224
L04037	6	-46,5347298	-23,4577536	3127	0,1919	2,6549	4628	3609	1019
L04038	5	-46,5218442	-23,4280169	5014	0,0997	2,2124	6975	5763	1212
L04039	5	-46,5333820	-23,4320324	4977	0,1005	2,2124	7292	5754	1538
L04040	11	-46,5310324	-23,4403067	3573	0,3079	4,8673	4916	4069	847
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,4425	3908	2965	943
L04042	4	-46,5148130	-23,4615577	3411	0,1173	1,7699	5052	3997	1055
L04043	3	-46,4988962	-23,4535454	3004	0,0999	1,3274	4361	3460	901
L04047	4	-46,5212409	-23,4239096	3765	0,1062	1,7699	5711	4457	1254
L04048	5	-46,5242122	-23,4573150	826	0,6053	2,2124	1103	941	162
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,4425	2790	2244	546
L04050	1	-46,5284889	-23,4721650	1152	0,0868	0,4425	1695	1303	392
L04051	6	-46,5374154	-23,4392016	1523	0,394	2,6549	2253	1802	451
L04055	3	-46,5326860	-23,4703600	3025	0,0992	1,3274	4827	3500	1327
L04231	1	-46,4014312	-23,4267677	3300	0,0303	0,4425	4744	3843	901
L04254	1	-46,4142034	-23,4355403	1861	0,0537	0,4425	2816	2250	566
L06590	2	-46,5422782	-23,4665988	3106	0,0644	0,885	4688	3650	1038
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,4425	4182	3224	958
L06596	1	-46,5433698	-23,4792971	2346	0,0426	0,4425	3481	2759	722
L06599	2	-46,5552762	-23,4757201	4016	0,0498	0,885	5873	4680	1193
L06600	1	-46,5491135	-23,5030590	4632	0,0216	0,4425	7282	5678	1604
L06602	2	-46,5492677	-23,4848483	3245	0,0616	0,885	4911	3881	1030
L06603	2	-46,5529975	-23,4682223	3294	0,0607	0,885	4736	3793	943
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,4425	4654	3758	896
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,4425	3496	2775	721
L06612	4	-46,5384397	-23,4639462	1397	0,2863	1,7699	2056	1664	392
L06615	1	-46,5425522	-23,4666121	917	0,1091	0,4425	1375	1082	293
L06624	1	-46,5045704	-23,4243582	1929	0,0518	0,4425	2744	2220	524
L06627	1	-46,5068802	-23,4538921	1021	0,0979	0,4425	1469	1179	290
L06637	1	-46,4862817	-23,4057433	3315	0,0302	0,4425	4493	3728	765
L06638	2	-46,5108984	-23,4160796	3329	0,0601	0,885	4389	3703	686
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,4425	5949	4887	1062
L06646	2	-46,5109205	-23,4407732	3152	0,0635	0,885	4427	3643	784
L08497	2	-46,5560400	-23,4515991	3178	0,0629	0,885	5027	3802	1225
L09785	7	-46,5368630	-23,4401670	1861	0,3761	3,0973	2951	2203	748
L09787	1	-46,5659510	-23,4593190	1776	0,0563	0,4425	2810	2171	639
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,4425	3332	2503	829
L09793	12	-46,5414126	-23,4449188	3241	0,3703	5,3097	4997	3883	1114
L09794	2	-46,5460300	-23,4567593	1200	0,1667	0,885	1749	1407	342
L09795	9	-46,5427459	-23,4505121	3324	0,2708	3,9823	5044	3906	1138
L09796	1	-46,5546684	-23,4228617	2959	0,0338	0,4425	4282	3474	808
L09797	4	-46,5645254	-23,4578160	2265	0,1766	1,7699	3525	2776	749
L09798	4	-46,5603066	-23,4492343	3120	0,1282	1,7699	5013	3800	1213
L09799	3	-46,5550646	-23,4340925	3062	0,098	1,3274	4384	3628	756
L09800	5	-46,5484944	-23,4461673	3063	0,1632	2,2124	4917	3640	1277
L09801	3	-46,5362158	-23,4040658	2732	0,1098	1,3274	3870	3112	758
L09803	1	-46,5561613	-23,4338322	3793	0,0264	0,4425	5928	4573	1355
L09804	6	-46,5483783	-23,4363400	3017	0,1989	2,6549	4500	3528	972
L09807	1	-46,5489569	-23,4357724	2320	0,0431	0,4425	3349	2693	656
L09808	5	-46,5531760	-23,4384305	1963	0,2547	2,2124	3071	2353	718
L09809	1	-46,5629586	-23,4343390	2004	0,0499	0,4425	2912	2323	589
L09810	2	-46,5511363	-23,4262958	1566	0,1277	0,885	2287	1826	461
L09811	3	-46,5405794	-23,4474493	1305	0,2299	1,3274	1989	1517	472
L09812	5	-46,5448990	-23,4279439	2677	0,1868	2,2124	3946	3184	762
L09817	3	-46,5575625	-23,4485828	5138	0,0584	1,3274	7850	5990	1860
L09821	1	-46,4713471	-23,4164380	4729	0,0211	0,4425	6668	5493	1175
L09825	2	-46,3717961	-23,4135789	1881	0,1063	0,885	2708	2254	454
L09840	1	-46,4166354	-23,4057458	4733	0,0211	0,4425	6925	5514	1411
L09842	1	-46,4337453	-23,4021408	773	0,1294	0,4425	1143	907	236
L09854	2	-46,4426341	-23,4006395	3069	0,0652	0,885	4213	3533	680
L09857	1	-46,4623279	-23,4372050	1523	0,0657	0,4425	2389	1854	535
L09860	2	-46,4742651	-23,4493456	3049	0,0656	0,885	4799	3576	1223
L09878	2	-46,4758617	-23,4524532	919	0,2176	0,885	1504	1107	397
