cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	5	-46,5351389	-23,4432944	3985	0,1255	2,4876	6467	4740	1727
L04024	2	-46,4960476	-23,4627418	3286	0,0609	0,995	4988	3762	1226
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,4975	1907	1463	444
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,4975	5585	4358	1227
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,4975	2791	2165	626
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,4975	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,4975	6975	5763	1212
L04040	4	-46,5310324	-23,4403067	3573	0,112	1,99	4916	4069	847
L04041	3	-46,5198792	-23,4405254	2510	0,1195	1,4925	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,4975	5052	3997	1055
L04043	1	-46,4988962	-23,4535454	3004	0,0333	0,4975	4361	3460	901
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,4975	1389	1067	322
L04048	1	-46,5242122	-23,4573150	826	0,1211	0,4975	1103	941	162
L04236	1	-46,4240116	-23,4575466	3776	0,0265	0,4975	5435	4492	943
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,4975	4961	4092	869
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,4975	6679	5288	1391
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,4975	3336	2530	806
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,4975	3057	2422	635
L04259	2	-46,4044135	-23,4399264	2280	0,0877	0,995	3572	2733	839
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,4975	3854	3034	820
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,4975	4182	3224	958
L06598	3	-46,5543334	-23,5001704	2493	0,1203	1,4925	3746	2920	826
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,4975	4911	3881	1030
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,4975	4188	3330	858
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,4975	4654	3758	896
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,4975	3496	2775	721
L06616	1	-46,5524295	-23,4793193	1363	0,0734	0,4975	2033	1639	394
L06618	1	-46,5471378	-23,4805844	1166	0,0858	0,4975	1808	1365	443
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,4975	2378	1894	484
L06628	3	-46,5095998	-23,4618149	2520	0,119	1,4925	3580	2958	622
L06629	1	-46,5152025	-23,4480885	1944	0,0514	0,4975	2635	2163	472
L06631	2	-46,5076553	-23,4362492	2967	0,0674	0,995	4227	3452	775
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,4975	2700	2282	418
L06645	2	-46,5069535	-23,4312359	4449	0,045	0,995	6184	5081	1103
L06649	1	-46,5101326	-23,4531041	2613	0,0383	0,4975	3756	3033	723
L08497	1	-46,5560400	-23,4515991	3178	0,0315	0,4975	5027	3802	1225
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,4975	2951	2203	748
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,4975	5044	3906	1138
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,4975	3838	3014	824
L09818	4	-46,4376679	-23,3997821	4108	0,0974	1,99	5884	4783	1101
L09821	11	-46,4713471	-23,4164380	4729	0,2326	5,4726	6668	5493	1175
L09822	9	-46,4599054	-23,4173154	3123	0,2882	4,4776	4717	3792	925
L09824	6	-46,4460270	-23,4107410	3681	0,163	2,9851	5303	4310	993
L09826	1	-46,4060026	-23,3664058	1077	0,0929	0,4975	1500	1245	255
L09828	4	-46,4373582	-23,3998282	3439	0,1163	1,99	5350	4024	1326
L09829	1	-46,4437028	-23,3783486	3911	0,0256	0,4975	5380	4483	897
L09831	1	-46,4660087	-23,4006544	3645	0,0274	0,4975	5341	4237	1104
L09832	2	-46,4514827	-23,4142506	2143	0,0933	0,995	3201	2566	635
L09834	1	-46,3974480	-23,4069388	2470	0,0405	0,4975	3555	2944	611
L09835	26	-46,4532657	-23,4044830	3545	0,7334	12,9353	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	0,4975	5143	4192	951
L09837	14	-46,4580997	-23,4097075	3391	0,4129	6,9652	4944	3961	983
L09839	3	-46,4666479	-23,4031200	4480	0,067	1,4925	6276	5151	1125
L09840	2	-46,4166354	-23,4057458	4733	0,0423	0,995	6925	5514	1411
L09841	3	-46,4332401	-23,4018027	4766	0,0629	1,4925	6620	5535	1085
L09843	17	-46,4584206	-23,4091730	3839	0,4428	8,4577	5358	4400	958
L09844	1	-46,3942002	-23,3987737	3665	0,0273	0,4975	5306	4363	943
L09846	6	-46,4570810	-23,4125500	3153	0,1903	2,9851	4264	3582	682
L09848	4	-46,4697267	-23,4083693	3238	0,1235	1,99	4579	3782	797
L09849	3	-46,4588105	-23,4093334	1165	0,2575	1,4925	1679	1350	329
L09850	2	-46,4488353	-23,3750146	3137	0,0638	0,995	4421	3657	764
L09854	3	-46,4426341	-23,4006395	3069	0,0978	1,4925	4213	3533	680
L09855	13	-46,4541521	-23,4053186	1795	0,7242	6,4677	2396	2002	394
L09859	1	-46,4663092	-23,4465384	3796	0,0263	0,4975	5627	4426	1201
L09867	1	-46,4363562	-23,4335696	4242	0,0236	0,4975	6556	5035	1521
L09870	1	-46,4386061	-23,4454914	3923	0,0255	0,4975	5764	4733	1031
L09875	1	-46,4340671	-23,4266463	6326	0,0158	0,4975	9025	7471	1554
L09876	2	-46,4660357	-23,4471833	3396	0,0589	0,995	5107	3973	1134
L09881	1	-46,4623323	-23,4433165	1831	0,0546	0,4975	2794	2154	640
