cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,7874	5353	4100	1253
L04024	1	-46,4960476	-23,4627418	3286	0,0304	0,7874	4988	3762	1226
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,7874	6011	4558	1453
L04028	7	-46,5260028	-23,4506424	2185	0,3204	5,5118	3153	2490	663
L04030	2	-46,5250906	-23,4552952	3134	0,0638	1,5748	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	1,5748	5561	4379	1182
L04032	1	-46,5233803	-23,4390725	1675	0,0597	0,7874	2351	1938	413
L04033	1	-46,5221381	-23,4625300	3783	0,0264	0,7874	5585	4358	1227
L04035	1	-46,5225666	-23,4292113	1027	0,0974	0,7874	1410	1186	224
L04038	3	-46,5218442	-23,4280169	5014	0,0598	2,3622	6975	5763	1212
L04040	2	-46,5310324	-23,4403067	3573	0,056	1,5748	4916	4069	847
L04049	2	-46,5279042	-23,4569302	1927	0,1038	1,5748	2790	2244	546
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,7874	2253	1802	451
L04237	1	-46,4010537	-23,4628858	3866	0,0259	0,7874	5772	4602	1170
L04247	1	-46,4006094	-23,4493557	4047	0,0247	0,7874	5767	4780	987
L04259	2	-46,4044135	-23,4399264	2280	0,0877	1,5748	3572	2733	839
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,7874	3181	2645	536
L06598	1	-46,5543334	-23,5001704	2493	0,0401	0,7874	3746	2920	826
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,7874	3248	2626	622
L06611	1	-46,5502169	-23,4903597	1250	0,08	0,7874	1851	1472	379
L06615	1	-46,5425522	-23,4666121	917	0,1091	0,7874	1375	1082	293
L06624	6	-46,5045704	-23,4243582	1929	0,311	4,7244	2744	2220	524
L06630	3	-46,5008477	-23,4246555	3037	0,0988	2,3622	3968	3367	601
L06631	1	-46,5076553	-23,4362492	2967	0,0337	0,7874	4227	3452	775
L06632	1	-46,4933909	-23,4194569	4222	0,0237	0,7874	5911	4760	1151
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,7874	1495	1261	234
L06635	1	-46,4960369	-23,4157394	3530	0,0283	0,7874	4636	3918	718
L06636	1	-46,5010794	-23,4082922	2304	0,0434	0,7874	3067	2564	503
L06637	1	-46,4862817	-23,4057433	3315	0,0302	0,7874	4493	3728	765
L06638	6	-46,5108984	-23,4160796	3329	0,1802	4,7244	4389	3703	686
L06639	1	-46,5101307	-23,4343788	3858	0,0259	0,7874	5535	4504	1031
L06641	27	-46,5044429	-23,4216203	4367	0,6183	21,2598	5813	4898	915
L06643	2	-46,5046999	-23,4484229	4431	0,0451	1,5748	5949	4887	1062
L06644	1	-46,5063124	-23,4580645	2735	0,0366	0,7874	3706	3095	611
L06645	5	-46,5069535	-23,4312359	4449	0,1124	3,937	6184	5081	1103
L06646	3	-46,5109205	-23,4407732	3152	0,0952	2,3622	4427	3643	784
L06649	1	-46,5101326	-23,4531041	2613	0,0383	0,7874	3756	3033	723
L06651	1	-46,5088090	-23,4152797	576	0,1736	0,7874	823	649	174
L06657	1	-46,4932521	-23,4075649	2325	0,043	0,7874	3254	2621	633
L06658	6	-46,5101123	-23,4286618	2248	0,2669	4,7244	3124	2562	562
L07068	1	-46,4183034	-23,4225518	3081	0,0325	0,7874	4413	3669	744
L09792	1	-46,5222530	-23,3978071	2829	0,0353	0,7874	4352	3370	982
L09793	1	-46,5414126	-23,4449188	3241	0,0309	0,7874	4997	3883	1114
L09818	2	-46,4376679	-23,3997821	4108	0,0487	1,5748	5884	4783	1101
L09821	1	-46,4713471	-23,4164380	4729	0,0211	0,7874	6668	5493	1175
L09825	3	-46,3717961	-23,4135789	1881	0,1595	2,3622	2708	2254	454
L09829	1	-46,4437028	-23,3783486	3911	0,0256	0,7874	5380	4483	897
L09835	2	-46,4532657	-23,4044830	3545	0,0564	1,5748	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	0,7874	5143	4192	951
L09840	1	-46,4166354	-23,4057458	4733	0,0211	0,7874	6925	5514	1411
L09841	1	-46,4332401	-23,4018027	4766	0,021	0,7874	6620	5535	1085
L09845	1	-46,3955820	-23,3987536	3675	0,0272	0,7874	5424	4458	966
L09848	1	-46,4697267	-23,4083693	3238	0,0309	0,7874	4579	3782	797
L09850	1	-46,4488353	-23,3750146	3137	0,0319	0,7874	4421	3657	764
L09859	2	-46,4663092	-23,4465384	3796	0,0527	1,5748	5627	4426	1201
L09872	1	-46,4579623	-23,4466592	1298	0,077	0,7874	1812	1496	316
L09876	1	-46,4660357	-23,4471833	3396	0,0294	0,7874	5107	3973	1134
L09878	1	-46,4758617	-23,4524532	919	0,1088	0,7874	1504	1107	397
L09885	1	-46,4422840	-23,4184680	2598	0,0385	0,7874	3836	3140	696
