cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04024	3	-46,4960476	-23,4627418	3286	0,0913	1,8987	4988	3762	1226
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,6329	1907	1463	444
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,6329	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,6329	3153	2490	663
L04029	1	-46,5257431	-23,4447767	3469	0,0288	0,6329	5202	4058	1144
L04030	2	-46,5250906	-23,4552952	3134	0,0638	1,2658	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	1,2658	5561	4379	1182
L04032	2	-46,5233803	-23,4390725	1675	0,1194	1,2658	2351	1938	413
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,6329	2791	2165	626
L04038	2	-46,5218442	-23,4280169	5014	0,0399	1,2658	6975	5763	1212
L04040	1	-46,5310324	-23,4403067	3573	0,028	0,6329	4916	4069	847
L04041	2	-46,5198792	-23,4405254	2510	0,0797	1,2658	3908	2965	943
L04042	7	-46,5148130	-23,4615577	3411	0,2052	4,4304	5052	3997	1055
L04043	6	-46,4988962	-23,4535454	3004	0,1997	3,7975	4361	3460	901
L04045	2	-46,5182845	-23,4505855	1810	0,1105	1,2658	2690	2149	541
L04047	2	-46,5212409	-23,4239096	3765	0,0531	1,2658	5711	4457	1254
L04050	1	-46,5284889	-23,4721650	1152	0,0868	0,6329	1695	1303	392
L04054	3	-46,5247111	-23,4230992	2455	0,1222	1,8987	3441	2836	605
L04055	3	-46,5326860	-23,4703600	3025	0,0992	1,8987	4827	3500	1327
L04227	1	-46,4014214	-23,4418594	3279	0,0305	0,6329	4547	3765	782
L04228	2	-46,4043279	-23,4619232	3414	0,0586	1,2658	4990	4013	977
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,6329	3655	2957	698
L04230	2	-46,4036715	-23,4635450	2746	0,0728	1,2658	4031	3199	832
L04231	1	-46,4014312	-23,4267677	3300	0,0303	0,6329	4744	3843	901
L04236	1	-46,4240116	-23,4575466	3776	0,0265	0,6329	5435	4492	943
L04238	1	-46,3962862	-23,4650561	3129	0,032	0,6329	4474	3655	819
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,6329	4961	4092	869
L04240	2	-46,3970402	-23,4775957	3125	0,064	1,2658	4896	3844	1052
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,6329	5900	4677	1223
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,6329	6679	5288	1391
L04253	2	-46,4078760	-23,4565700	2061	0,097	1,2658	3057	2422	635
L04257	2	-46,4168989	-23,4502035	2158	0,0927	1,2658	3157	2540	617
L04259	1	-46,4044135	-23,4399264	2280	0,0439	0,6329	3572	2733	839
L06590	5	-46,5422782	-23,4665988	3106	0,161	3,1646	4688	3650	1038
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,6329	3854	3034	820
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,6329	1732	1405	327
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,6329	3181	2645	536
L06598	1	-46,5543334	-23,5001704	2493	0,0401	0,6329	3746	2920	826
L06605	2	-46,5423233	-23,4725448	3187	0,0628	1,2658	4654	3758	896
L06606	1	-46,5368498	-23,4803586	2392	0,0418	0,6329	3486	2783	703
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,6329	3496	2775	721
L06611	1	-46,5502169	-23,4903597	1250	0,08	0,6329	1851	1472	379
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,6329	2378	1894	484
L06626	3	-46,5107127	-23,4539298	2561	0,1171	1,8987	3759	3035	724
L06628	2	-46,5095998	-23,4618149	2520	0,0794	1,2658	3580	2958	622
L06629	4	-46,5152025	-23,4480885	1944	0,2058	2,5316	2635	2163	472
L06632	4	-46,4933909	-23,4194569	4222	0,0947	2,5316	5911	4760	1151
L06635	1	-46,4960369	-23,4157394	3530	0,0283	0,6329	4636	3918	718
L06636	1	-46,5010794	-23,4082922	2304	0,0434	0,6329	3067	2564	503
L06638	3	-46,5108984	-23,4160796	3329	0,0901	1,8987	4389	3703	686
L06639	4	-46,5101307	-23,4343788	3858	0,1037	2,5316	5535	4504	1031
L06640	3	-46,5106590	-23,4439176	1975	0,1519	1,8987	2700	2282	418
L06643	3	-46,5046999	-23,4484229	4431	0,0677	1,8987	5949	4887	1062
L06645	1	-46,5069535	-23,4312359	4449	0,0225	0,6329	6184	5081	1103
L06646	2	-46,5109205	-23,4407732	3152	0,0635	1,2658	4427	3643	784
L06649	3	-46,5101326	-23,4531041	2613	0,1148	1,8987	3756	3033	723
L06655	2	-46,5033620	-23,4092590	790	0,2532	1,2658	1078	878	200
L06656	1	-46,5152366	-23,4472186	487	0,2053	0,6329	744	552	192
L06658	4	-46,5101123	-23,4286618	2248	0,1779	2,5316	3124	2562	562
L09787	1	-46,5659510	-23,4593190	1776	0,0563	0,6329	2810	2171	639
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,6329	5044	3906	1138
L09800	1	-46,5484944	-23,4461673	3063	0,0326	0,6329	4917	3640	1277
L09803	1	-46,5561613	-23,4338322	3793	0,0264	0,6329	5928	4573	1355
L09804	1	-46,5483783	-23,4363400	3017	0,0331	0,6329	4500	3528	972
L09808	1	-46,5531760	-23,4384305	1963	0,0509	0,6329	3071	2353	718
L09811	1	-46,5405794	-23,4474493	1305	0,0766	0,6329	1989	1517	472
L09812	2	-46,5448990	-23,4279439	2677	0,0747	1,2658	3946	3184	762
L09813	2	-46,5689968	-23,4538313	639	0,313	1,2658	961	766	195
L09814	2	-46,5564460	-23,4500298	738	0,271	1,2658	1149	910	239
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,6329	7850	5990	1860
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,6329	3538	2909	629
L09821	1	-46,4713471	-23,4164380	4729	0,0211	0,6329	6668	5493	1175
L09829	1	-46,4437028	-23,3783486	3911	0,0256	0,6329	5380	4483	897
L09830	1	-46,4024310	-23,3865450	1980	0,0505	0,6329	2870	2358	512
L09837	1	-46,4580997	-23,4097075	3391	0,0295	0,6329	4944	3961	983
L09838	1	-46,4171536	-23,4044185	4679	0,0214	0,6329	6569	5371	1198
L09840	2	-46,4166354	-23,4057458	4733	0,0423	1,2658	6925	5514	1411
L09844	2	-46,3942002	-23,3987737	3665	0,0546	1,2658	5306	4363	943
L09853	1	-46,4013265	-23,4220461	245	0,4082	0,6329	356	297	59
