cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	2,1053	6467	4740	1727
L04023	1	-46,5258670	-23,4677912	1789	0,0559	1,0526	2652	2022	630
L04024	1	-46,4960476	-23,4627418	3286	0,0304	1,0526	4988	3762	1226
L04027	2	-46,5348867	-23,4617458	3878	0,0516	2,1053	6011	4558	1453
L04030	1	-46,5250906	-23,4552952	3134	0,0319	1,0526	4565	3579	986
L04033	2	-46,5221381	-23,4625300	3783	0,0529	2,1053	5585	4358	1227
L04049	3	-46,5279042	-23,4569302	1927	0,1557	3,1579	2790	2244	546
L04242	1	-46,4110028	-23,4412045	4441	0,0225	1,0526	6679	5288	1391
L04243	2	-46,4190397	-23,4390357	4665	0,0429	2,1053	6705	5509	1196
L06590	3	-46,5422782	-23,4665988	3106	0,0966	3,1579	4688	3650	1038
L06593	2	-46,5414079	-23,4675541	2706	0,0739	2,1053	4182	3224	958
L06596	1	-46,5433698	-23,4792971	2346	0,0426	1,0526	3481	2759	722
L06597	9	-46,5597602	-23,4667730	2339	0,3848	9,4737	3181	2645	536
L06601	3	-46,5494943	-23,4686972	1489	0,2015	3,1579	2100	1713	387
L06602	4	-46,5492677	-23,4848483	3245	0,1233	4,2105	4911	3881	1030
L06603	1	-46,5529975	-23,4682223	3294	0,0304	1,0526	4736	3793	943
L06604	2	-46,5464811	-23,4794649	2834	0,0706	2,1053	4188	3330	858
L06608	5	-46,5619770	-23,4625208	2255	0,2217	5,2632	3248	2626	622
L06609	2	-46,5538251	-23,4593526	1641	0,1219	2,1053	2328	1861	467
L06610	3	-46,5567765	-23,4697758	2304	0,1302	3,1579	3125	2584	541
L06612	1	-46,5384397	-23,4639462	1397	0,0716	1,0526	2056	1664	392
L06616	1	-46,5524295	-23,4793193	1363	0,0734	1,0526	2033	1639	394
L06618	1	-46,5471378	-23,4805844	1166	0,0858	1,0526	1808	1365	443
L06620	2	-46,5509395	-23,4687509	963	0,2077	2,1053	1425	1159	266
L06623	2	-46,5600699	-23,4660719	1388	0,1441	2,1053	1950	1641	309
L06630	1	-46,5008477	-23,4246555	3037	0,0329	1,0526	3968	3367	601
L06632	1	-46,4933909	-23,4194569	4222	0,0237	1,0526	5911	4760	1151
L06636	1	-46,5010794	-23,4082922	2304	0,0434	1,0526	3067	2564	503
L06639	1	-46,5101307	-23,4343788	3858	0,0259	1,0526	5535	4504	1031
L06641	1	-46,5044429	-23,4216203	4367	0,0229	1,0526	5813	4898	915
L06644	1	-46,5063124	-23,4580645	2735	0,0366	1,0526	3706	3095	611
L06646	1	-46,5109205	-23,4407732	3152	0,0317	1,0526	4427	3643	784
L06648	1	-46,4933909	-23,4194569	1189	0,0841	1,0526	1753	1363	390
L06650	1	-46,4956680	-23,4116380	1041	0,0961	1,0526	1442	1178	264
L06659	2	-46,5039161	-23,4489787	1371	0,1459	2,1053	1880	1545	335
L08497	1	-46,5560400	-23,4515991	3178	0,0315	1,0526	5027	3802	1225
L09787	3	-46,5659510	-23,4593190	1776	0,1689	3,1579	2810	2171	639
L09790	2	-46,5546942	-23,4528509	2045	0,0978	2,1053	3332	2503	829
L09793	1	-46,5414126	-23,4449188	3241	0,0309	1,0526	4997	3883	1114
L09795	1	-46,5427459	-23,4505121	3324	0,0301	1,0526	5044	3906	1138
L09797	2	-46,5645254	-23,4578160	2265	0,0883	2,1053	3525	2776	749
L09798	1	-46,5603066	-23,4492343	3120	0,0321	1,0526	5013	3800	1213
L09799	1	-46,5550646	-23,4340925	3062	0,0327	1,0526	4384	3628	756
L09807	3	-46,5489569	-23,4357724	2320	0,1293	3,1579	3349	2693	656
L09814	1	-46,5564460	-23,4500298	738	0,1355	1,0526	1149	910	239
L09817	8	-46,5575625	-23,4485828	5138	0,1557	8,4211	7850	5990	1860
L09824	1	-46,4460270	-23,4107410	3681	0,0272	1,0526	5303	4310	993
L09868	2	-46,4576614	-23,4558165	4036	0,0496	2,1053	5529	4586	943
