cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	2	-46,5189890	-23,4582225	3507	0,057	2,7778	5353	4100	1253
L04025	1	-46,5313666	-23,4665558	1293	0,0773	1,3889	1907	1463	444
L04026	2	-46,5205382	-23,4200168	3569	0,056	2,7778	5258	4148	1110
L04027	3	-46,5348867	-23,4617458	3878	0,0774	4,1667	6011	4558	1453
L04029	2	-46,5257431	-23,4447767	3469	0,0577	2,7778	5202	4058	1144
L04030	3	-46,5250906	-23,4552952	3134	0,0957	4,1667	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	2,7778	5561	4379	1182
L04033	3	-46,5221381	-23,4625300	3783	0,0793	4,1667	5585	4358	1227
L04036	1	-46,5172187	-23,4664313	1839	0,0544	1,3889	2791	2165	626
L04037	7	-46,5347298	-23,4577536	3127	0,2239	9,7222	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	1,3889	6975	5763	1212
L04040	1	-46,5310324	-23,4403067	3573	0,028	1,3889	4916	4069	847
L04041	1	-46,5198792	-23,4405254	2510	0,0398	1,3889	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	1,3889	5052	3997	1055
L04047	2	-46,5212409	-23,4239096	3765	0,0531	2,7778	5711	4457	1254
L04050	1	-46,5284889	-23,4721650	1152	0,0868	1,3889	1695	1303	392
L04055	1	-46,5326860	-23,4703600	3025	0,0331	1,3889	4827	3500	1327
L04227	1	-46,4014214	-23,4418594	3279	0,0305	1,3889	4547	3765	782
L04232	1	-46,4217922	-23,4688827	2892	0,0346	1,3889	4235	3445	790
L04235	1	-46,4124283	-23,4446100	3679	0,0272	1,3889	5464	4330	1134
L04244	1	-46,4384280	-23,4711710	2467	0,0405	1,3889	3489	2777	712
L04246	1	-46,4183363	-23,4566057	2701	0,037	1,3889	3767	3124	643
L04254	2	-46,4142034	-23,4355403	1861	0,1075	2,7778	2816	2250	566
L04261	2	-46,4253063	-23,4662179	1516	0,1319	2,7778	2268	1797	471
L06591	1	-46,5366482	-23,4602980	621	0,161	1,3889	930	726	204
L06592	1	-46,5439730	-23,4607010	2585	0,0387	1,3889	3854	3034	820
L06600	1	-46,5491135	-23,5030590	4632	0,0216	1,3889	7282	5678	1604
L06607	1	-46,5426685	-23,4588950	2362	0,0423	1,3889	3496	2775	721
L06633	1	-46,5143356	-23,4331372	1089	0,0918	1,3889	1495	1261	234
L06634	1	-46,4972144	-23,4091590	3843	0,026	1,3889	5269	4286	983
L06645	2	-46,5069535	-23,4312359	4449	0,045	2,7778	6184	5081	1103
L06658	3	-46,5101123	-23,4286618	2248	0,1335	4,1667	3124	2562	562
L09790	1	-46,5546942	-23,4528509	2045	0,0489	1,3889	3332	2503	829
L09793	1	-46,5414126	-23,4449188	3241	0,0309	1,3889	4997	3883	1114
L09794	1	-46,5460300	-23,4567593	1200	0,0833	1,3889	1749	1407	342
L09796	2	-46,5546684	-23,4228617	2959	0,0676	2,7778	4282	3474	808
L09798	3	-46,5603066	-23,4492343	3120	0,0962	4,1667	5013	3800	1213
L09804	3	-46,5483783	-23,4363400	3017	0,0994	4,1667	4500	3528	972
L09817	1	-46,5575625	-23,4485828	5138	0,0195	1,3889	7850	5990	1860
L09824	1	-46,4460270	-23,4107410	3681	0,0272	1,3889	5303	4310	993
L09844	1	-46,3942002	-23,3987737	3665	0,0273	1,3889	5306	4363	943
L09863	1	-46,4279296	-23,4310787	2270	0,0441	1,3889	3738	2809	929
L09867	2	-46,4363562	-23,4335696	4242	0,0471	2,7778	6556	5035	1521
L09874	1	-46,4275906	-23,4246425	2619	0,0382	1,3889	3842	3152	690
