cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	0,5128	6467	4740	1727
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,2564	5353	4100	1253
L04023	2	-46,5258670	-23,4677912	1789	0,1118	0,5128	2652	2022	630
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,2564	1907	1463	444
L04027	3	-46,5348867	-23,4617458	3878	0,0774	0,7692	6011	4558	1453
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,2564	4565	3579	986
L04032	2	-46,5233803	-23,4390725	1675	0,1194	0,5128	2351	1938	413
L04033	2	-46,5221381	-23,4625300	3783	0,0529	0,5128	5585	4358	1227
L04034	1	-46,5200816	-23,4395097	2036	0,0491	0,2564	2776	2341	435
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,2564	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,2564	6975	5763	1212
L04040	2	-46,5310324	-23,4403067	3573	0,056	0,5128	4916	4069	847
L04041	2	-46,5198792	-23,4405254	2510	0,0797	0,5128	3908	2965	943
L04043	1	-46,4988962	-23,4535454	3004	0,0333	0,2564	4361	3460	901
L04048	1	-46,5242122	-23,4573150	826	0,1211	0,2564	1103	941	162
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,2564	4827	3500	1327
L04227	12	-46,4014214	-23,4418594	3279	0,366	3,0769	4547	3765	782
L04228	5	-46,4043279	-23,4619232	3414	0,1465	1,2821	4990	4013	977
L04229	2	-46,4252641	-23,4654680	2476	0,0808	0,5128	3655	2957	698
L04230	3	-46,4036715	-23,4635450	2746	0,1092	0,7692	4031	3199	832
L04231	12	-46,4014312	-23,4267677	3300	0,3636	3,0769	4744	3843	901
L04232	2	-46,4217922	-23,4688827	2892	0,0692	0,5128	4235	3445	790
L04234	2	-46,3699481	-23,4230098	1234	0,1621	0,5128	1986	1540	446
L04235	19	-46,4124283	-23,4446100	3679	0,5164	4,8718	5464	4330	1134
L04236	3	-46,4240116	-23,4575466	3776	0,0794	0,7692	5435	4492	943
L04237	3	-46,4010537	-23,4628858	3866	0,0776	0,7692	5772	4602	1170
L04238	7	-46,3962862	-23,4650561	3129	0,2237	1,7949	4474	3655	819
L04239	15	-46,4117159	-23,4448235	3541	0,4236	3,8462	4961	4092	869
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,2564	5900	4677	1223
L04242	33	-46,4110028	-23,4412045	4441	0,7431	8,4615	6679	5288	1391
L04243	18	-46,4190397	-23,4390357	4665	0,3859	4,6154	6705	5509	1196
L04245	1	-46,4263197	-23,4646584	2243	0,0446	0,2564	3234	2676	558
L04246	2	-46,4183363	-23,4566057	2701	0,074	0,5128	3767	3124	643
L04247	10	-46,4006094	-23,4493557	4047	0,2471	2,5641	5767	4780	987
L04248	8	-46,4098396	-23,4606598	2080	0,3846	2,0513	3149	2441	708
L04249	1	-46,4399123	-23,4617526	1621	0,0617	0,2564	2373	1931	442
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,2564	3336	2530	806
L04251	8	-46,4122972	-23,4487083	2818	0,2839	2,0513	4095	3343	752
L04252	1	-46,3922900	-23,4769740	2249	0,0445	0,2564	3198	2702	496
L04253	5	-46,4078760	-23,4565700	2061	0,2426	1,2821	3057	2422	635
L04254	12	-46,4142034	-23,4355403	1861	0,6448	3,0769	2816	2250	566
L04256	5	-46,4196635	-23,4426294	1504	0,3324	1,2821	2063	1754	309
L04257	6	-46,4168989	-23,4502035	2158	0,278	1,5385	3157	2540	617
L04258	4	-46,4181034	-23,4396543	1694	0,2361	1,0256	2298	1986	312
L04259	7	-46,4044135	-23,4399264	2280	0,307	1,7949	3572	2733	839
L04260	8	-46,4110264	-23,4483687	2454	0,326	2,0513	3348	2855	493
L06596	1	-46,5433698	-23,4792971	2346	0,0426	0,2564	3481	2759	722
L06597	9	-46,5597602	-23,4667730	2339	0,3848	2,3077	3181	2645	536
L06600	2	-46,5491135	-23,5030590	4632	0,0432	0,5128	7282	5678	1604
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,2564	4911	3881	1030
L06603	1	-46,5529975	-23,4682223	3294	0,0304	0,2564	4736	3793	943
L06616	1	-46,5524295	-23,4793193	1363	0,0734	0,2564	2033	1639	394
L06617	1	-46,5532090	-23,4944749	619	0,1616	0,2564	879	725	154
L06618	3	-46,5471378	-23,4805844	1166	0,2573	0,7692	1808	1365	443
