cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	4	-46,5351389	-23,4432944	3985	0,1004	0,5822	6467	4740	1727
L04022	5	-46,5189890	-23,4582225	3507	0,1426	0,7278	5353	4100	1253
L04023	9	-46,5258670	-23,4677912	1789	0,5031	1,31	2652	2022	630
L04025	3	-46,5313666	-23,4665558	1293	0,232	0,4367	1907	1463	444
L04026	7	-46,5205382	-23,4200168	3569	0,1961	1,0189	5258	4148	1110
L04027	5	-46,5348867	-23,4617458	3878	0,1289	0,7278	6011	4558	1453
L04028	5	-46,5260028	-23,4506424	2185	0,2288	0,7278	3153	2490	663
L04029	9	-46,5257431	-23,4447767	3469	0,2594	1,31	5202	4058	1144
L04030	14	-46,5250906	-23,4552952	3134	0,4467	2,0378	4565	3579	986
L04031	3	-46,5178969	-23,4509497	3853	0,0779	0,4367	5561	4379	1182
L04032	3	-46,5233803	-23,4390725	1675	0,1791	0,4367	2351	1938	413
L04033	24	-46,5221381	-23,4625300	3783	0,6344	3,4934	5585	4358	1227
L04034	5	-46,5200816	-23,4395097	2036	0,2456	0,7278	2776	2341	435
L04035	1	-46,5225666	-23,4292113	1027	0,0974	0,1456	1410	1186	224
L04036	4	-46,5172187	-23,4664313	1839	0,2175	0,5822	2791	2165	626
L04037	3	-46,5347298	-23,4577536	3127	0,0959	0,4367	4628	3609	1019
L04038	7	-46,5218442	-23,4280169	5014	0,1396	1,0189	6975	5763	1212
L04039	3	-46,5333820	-23,4320324	4977	0,0603	0,4367	7292	5754	1538
L04040	2	-46,5310324	-23,4403067	3573	0,056	0,2911	4916	4069	847
L04041	10	-46,5198792	-23,4405254	2510	0,3984	1,4556	3908	2965	943
L04042	6	-46,5148130	-23,4615577	3411	0,1759	0,8734	5052	3997	1055
L04043	3	-46,4988962	-23,4535454	3004	0,0999	0,4367	4361	3460	901
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,1456	1389	1067	322
L04045	5	-46,5182845	-23,4505855	1810	0,2762	0,7278	2690	2149	541
L04047	6	-46,5212409	-23,4239096	3765	0,1594	0,8734	5711	4457	1254
L04048	6	-46,5242122	-23,4573150	826	0,7264	0,8734	1103	941	162
L04049	7	-46,5279042	-23,4569302	1927	0,3633	1,0189	2790	2244	546
L04050	8	-46,5284889	-23,4721650	1152	0,6944	1,1645	1695	1303	392
L04051	2	-46,5374154	-23,4392016	1523	0,1313	0,2911	2253	1802	451
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,1456	3441	2836	605
L04055	4	-46,5326860	-23,4703600	3025	0,1322	0,5822	4827	3500	1327
L04231	1	-46,4014312	-23,4267677	3300	0,0303	0,1456	4744	3843	901
L04237	1	-46,4010537	-23,4628858	3866	0,0259	0,1456	5772	4602	1170
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,1456	5900	4677	1223
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,1456	6679	5288	1391
L04244	2	-46,4384280	-23,4711710	2467	0,0811	0,2911	3489	2777	712
L04249	14	-46,4399123	-23,4617526	1621	0,8637	2,0378	2373	1931	442
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,1456	3336	2530	806
L04259	2	-46,4044135	-23,4399264	2280	0,0877	0,2911	3572	2733	839
L06590	3	-46,5422782	-23,4665988	3106	0,0966	0,4367	4688	3650	1038
L06592	5	-46,5439730	-23,4607010	2585	0,1934	0,7278	3854	3034	820
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,1456	1732	1405	327
L06598	2	-46,5543334	-23,5001704	2493	0,0802	0,2911	3746	2920	826
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,1456	5873	4680	1193
L06600	5	-46,5491135	-23,5030590	4632	0,1079	0,7278	7282	5678	1604
L06602	2	-46,5492677	-23,4848483	3245	0,0616	0,2911	4911	3881	1030
L06603	1	-46,5529975	-23,4682223	3294	0,0304	0,1456	4736	3793	943
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,1456	4188	3330	858
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,1456	4654	3758	896
L06606	1	-46,5368498	-23,4803586	2392	0,0418	0,1456	3486	2783	703
L06607	5	-46,5426685	-23,4588950	2362	0,2117	0,7278	3496	2775	721
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,1456	3248	2626	622
L06609	3	-46,5538251	-23,4593526	1641	0,1828	0,4367	2328	1861	467
L06614	1	-46,5497994	-23,5030196	718	0,1393	0,1456	1162	888	274
L06615	1	-46,5425522	-23,4666121	917	0,1091	0,1456	1375	1082	293
L06618	1	-46,5471378	-23,4805844	1166	0,0858	0,1456	1808	1365	443
L06621	6	-46,5505948	-23,4602271	1213	0,4946	0,8734	1733	1421	312
L06626	5	-46,5107127	-23,4539298	2561	0,1952	0,7278	3759	3035	724
L06628	9	-46,5095998	-23,4618149	2520	0,3571	1,31	3580	2958	622
L06629	6	-46,5152025	-23,4480885	1944	0,3086	0,8734	2635	2163	472
L06630	1	-46,5008477	-23,4246555	3037	0,0329	0,1456	3968	3367	601
L06631	10	-46,5076553	-23,4362492	2967	0,337	1,4556	4227	3452	775
L06632	2	-46,4933909	-23,4194569	4222	0,0474	0,2911	5911	4760	1151
L06635	2	-46,4960369	-23,4157394	3530	0,0567	0,2911	4636	3918	718
L06637	3	-46,4862817	-23,4057433	3315	0,0905	0,4367	4493	3728	765
L06638	2	-46,5108984	-23,4160796	3329	0,0601	0,2911	4389	3703	686
L06639	31	-46,5101307	-23,4343788	3858	0,8035	4,5124	5535	4504	1031
L06640	28	-46,5106590	-23,4439176	1975	1,4177	4,0757	2700	2282	418
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,1456	5949	4887	1062
L06644	2	-46,5063124	-23,4580645	2735	0,0731	0,2911	3706	3095	611
L06645	4	-46,5069535	-23,4312359	4449	0,0899	0,5822	6184	5081	1103
