cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	1,8868	6467	4740	1727
L04024	1	-46,4960476	-23,4627418	3286	0,0304	1,8868	4988	3762	1226
L04031	1	-46,5178969	-23,4509497	3853	0,026	1,8868	5561	4379	1182
L04034	1	-46,5200816	-23,4395097	2036	0,0491	1,8868	2776	2341	435
L04043	2	-46,4988962	-23,4535454	3004	0,0666	3,7736	4361	3460	901
L04241	1	-46,4274434	-23,4577532	3932	0,0254	1,8868	5900	4677	1223
L04242	1	-46,4110028	-23,4412045	4441	0,0225	1,8868	6679	5288	1391
L06593	1	-46,5414079	-23,4675541	2706	0,037	1,8868	4182	3224	958
L06604	4	-46,5464811	-23,4794649	2834	0,1411	7,5472	4188	3330	858
L06626	4	-46,5107127	-23,4539298	2561	0,1562	7,5472	3759	3035	724
L06627	3	-46,5068802	-23,4538921	1021	0,2938	5,6604	1469	1179	290
L06628	3	-46,5095998	-23,4618149	2520	0,119	5,6604	3580	2958	622
L06629	1	-46,5152025	-23,4480885	1944	0,0514	1,8868	2635	2163	472
L06641	1	-46,5044429	-23,4216203	4367	0,0229	1,8868	5813	4898	915
L06643	4	-46,5046999	-23,4484229	4431	0,0903	7,5472	5949	4887	1062
L06644	4	-46,5063124	-23,4580645	2735	0,1463	7,5472	3706	3095	611
L06645	4	-46,5069535	-23,4312359	4449	0,0899	7,5472	6184	5081	1103
L06649	1	-46,5101326	-23,4531041	2613	0,0383	1,8868	3756	3033	723
L06654	1	-46,5099700	-23,4595725	639	0,1565	1,8868	945	752	193
L06659	5	-46,5039161	-23,4489787	1371	0,3647	9,434	1880	1545	335
L09791	1	-46,5196842	-23,3998219	1835	0,0545	1,8868	2578	2100	478
L09809	1	-46,5629586	-23,4343390	2004	0,0499	1,8868	2912	2323	589
L09817	1	-46,5575625	-23,4485828	5138	0,0195	1,8868	7850	5990	1860
L09824	2	-46,4460270	-23,4107410	3681	0,0543	3,7736	5303	4310	993
L09831	1	-46,4660087	-23,4006544	3645	0,0274	1,8868	5341	4237	1104
L09860	1	-46,4742651	-23,4493456	3049	0,0328	1,8868	4799	3576	1223
L09868	1	-46,4576614	-23,4558165	4036	0,0248	1,8868	5529	4586	943
L09876	1	-46,4660357	-23,4471833	3396	0,0294	1,8868	5107	3973	1134
