cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04227	1	-46,4014214	-23,4418594	3279	0,0305	0,3922	4547	3765	782
L04231	6	-46,4014312	-23,4267677	3300	0,1818	2,3529	4744	3843	901
L04232	1	-46,4217922	-23,4688827	2892	0,0346	0,3922	4235	3445	790
L04235	2	-46,4124283	-23,4446100	3679	0,0544	0,7843	5464	4330	1134
L04236	2	-46,4240116	-23,4575466	3776	0,053	0,7843	5435	4492	943
L04237	1	-46,4010537	-23,4628858	3866	0,0259	0,3922	5772	4602	1170
L04244	4	-46,4384280	-23,4711710	2467	0,1621	1,5686	3489	2777	712
L04247	4	-46,4006094	-23,4493557	4047	0,0988	1,5686	5767	4780	987
L04248	1	-46,4098396	-23,4606598	2080	0,0481	0,3922	3149	2441	708
L04249	13	-46,4399123	-23,4617526	1621	0,802	5,098	2373	1931	442
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,3922	3336	2530	806
L04251	2	-46,4122972	-23,4487083	2818	0,071	0,7843	4095	3343	752
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,3922	3409	2856	553
L04259	2	-46,4044135	-23,4399264	2280	0,0877	0,7843	3572	2733	839
L06592	1	-46,5439730	-23,4607010	2585	0,0387	0,3922	3854	3034	820
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,3922	3496	2775	721
L07068	1	-46,4183034	-23,4225518	3081	0,0325	0,3922	4413	3669	744
L09800	1	-46,5484944	-23,4461673	3063	0,0326	0,3922	4917	3640	1277
L09820	1	-46,4061990	-23,4172553	2440	0,041	0,3922	3538	2909	629
L09827	1	-46,4073298	-23,4187234	1833	0,0546	0,3922	2739	2236	503
L09860	1	-46,4742651	-23,4493456	3049	0,0328	0,3922	4799	3576	1223
L09861	23	-46,4284199	-23,4439420	4306	0,5341	9,0196	6361	5197	1164
L09864	1	-46,4654827	-23,4594060	3703	0,027	0,3922	5205	4151	1054
L09866	2	-46,4278732	-23,4383691	2095	0,0955	0,7843	2932	2450	482
L09867	1	-46,4363562	-23,4335696	4242	0,0236	0,3922	6556	5035	1521
L09868	1	-46,4576614	-23,4558165	4036	0,0248	0,3922	5529	4586	943
L09869	3	-46,4651071	-23,4594986	4171	0,0719	1,1765	5819	4729	1090
L09870	46	-46,4386061	-23,4454914	3923	1,1726	18,0392	5764	4733	1031
L09871	93	-46,4406541	-23,4507951	4323	2,1513	36,4706	6232	5179	1053
L09874	3	-46,4275906	-23,4246425	2619	0,1145	1,1765	3842	3152	690
L09875	2	-46,4340671	-23,4266463	6326	0,0316	0,7843	9025	7471	1554
L09876	1	-46,4660357	-23,4471833	3396	0,0294	0,3922	5107	3973	1134
L09880	4	-46,4237055	-23,4448627	2391	0,1673	1,5686	3560	2909	651
L09885	3	-46,4422840	-23,4184680	2598	0,1155	1,1765	3836	3140	696
L09886	23	-46,4394973	-23,4515105	1513	1,5202	9,0196	2302	1818	484
L09887	1	-46,4276220	-23,4157410	375	0,2667	0,3922	553	437	116
