cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04030	1	-46,5250906	-23,4552952	3134	0,0319	2,439	4565	3579	986
L04239	1	-46,4117159	-23,4448235	3541	0,0282	2,439	4961	4092	869
L04243	1	-46,4190397	-23,4390357	4665	0,0214	2,439	6705	5509	1196
L04249	1	-46,4399123	-23,4617526	1621	0,0617	2,439	2373	1931	442
L06625	2	-46,5011844	-23,4290384	1688	0,1185	4,878	2378	1894	484
L06626	1	-46,5107127	-23,4539298	2561	0,039	2,439	3759	3035	724
L06630	2	-46,5008477	-23,4246555	3037	0,0659	4,878	3968	3367	601
L06632	1	-46,4933909	-23,4194569	4222	0,0237	2,439	5911	4760	1151
L06649	2	-46,5101326	-23,4531041	2613	0,0765	4,878	3756	3033	723
L06653	1	-46,5018088	-23,4308419	1024	0,0977	2,439	1422	1178	244
L09822	1	-46,4599054	-23,4173154	3123	0,032	2,439	4717	3792	925
L09824	1	-46,4460270	-23,4107410	3681	0,0272	2,439	5303	4310	993
L09831	1	-46,4660087	-23,4006544	3645	0,0274	2,439	5341	4237	1104
L09846	1	-46,4570810	-23,4125500	3153	0,0317	2,439	4264	3582	682
L09848	1	-46,4697267	-23,4083693	3238	0,0309	2,439	4579	3782	797
L09857	9	-46,4623279	-23,4372050	1523	0,5909	21,9512	2389	1854	535
L09867	1	-46,4363562	-23,4335696	4242	0,0236	2,439	6556	5035	1521
L09872	2	-46,4579623	-23,4466592	1298	0,1541	4,878	1812	1496	316
L09875	4	-46,4340671	-23,4266463	6326	0,0632	9,7561	9025	7471	1554
L09882	4	-46,4593607	-23,4375830	1457	0,2745	9,7561	2080	1662	418
L09883	2	-46,4272290	-23,4171690	1915	0,1044	4,878	2861	2256	605
L09885	1	-46,4422840	-23,4184680	2598	0,0385	2,439	3836	3140	696
