cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04023	2	-46,5258670	-23,4677912	1789	0,1118	3,0769	2652	2022	630
L04024	2	-46,4960476	-23,4627418	3286	0,0609	3,0769	4988	3762	1226
L04025	1	-46,5313666	-23,4665558	1293	0,0773	1,5385	1907	1463	444
L04031	1	-46,5178969	-23,4509497	3853	0,026	1,5385	5561	4379	1182
L04032	1	-46,5233803	-23,4390725	1675	0,0597	1,5385	2351	1938	413
L04033	2	-46,5221381	-23,4625300	3783	0,0529	3,0769	5585	4358	1227
L04037	1	-46,5347298	-23,4577536	3127	0,032	1,5385	4628	3609	1019
L04042	1	-46,5148130	-23,4615577	3411	0,0293	1,5385	5052	3997	1055
L04043	1	-46,4988962	-23,4535454	3004	0,0333	1,5385	4361	3460	901
L04242	2	-46,4110028	-23,4412045	4441	0,045	3,0769	6679	5288	1391
L06592	1	-46,5439730	-23,4607010	2585	0,0387	1,5385	3854	3034	820
L06593	1	-46,5414079	-23,4675541	2706	0,037	1,5385	4182	3224	958
L06602	1	-46,5492677	-23,4848483	3245	0,0308	1,5385	4911	3881	1030
L06606	1	-46,5368498	-23,4803586	2392	0,0418	1,5385	3486	2783	703
L06607	1	-46,5426685	-23,4588950	2362	0,0423	1,5385	3496	2775	721
L06624	1	-46,5045704	-23,4243582	1929	0,0518	1,5385	2744	2220	524
L06625	3	-46,5011844	-23,4290384	1688	0,1777	4,6154	2378	1894	484
L06626	1	-46,5107127	-23,4539298	2561	0,039	1,5385	3759	3035	724
L06629	2	-46,5152025	-23,4480885	1944	0,1029	3,0769	2635	2163	472
L06631	4	-46,5076553	-23,4362492	2967	0,1348	6,1538	4227	3452	775
L06636	1	-46,5010794	-23,4082922	2304	0,0434	1,5385	3067	2564	503
L06637	3	-46,4862817	-23,4057433	3315	0,0905	4,6154	4493	3728	765
L06640	2	-46,5106590	-23,4439176	1975	0,1013	3,0769	2700	2282	418
L06641	1	-46,5044429	-23,4216203	4367	0,0229	1,5385	5813	4898	915
L06645	4	-46,5069535	-23,4312359	4449	0,0899	6,1538	6184	5081	1103
L06658	1	-46,5101123	-23,4286618	2248	0,0445	1,5385	3124	2562	562
L07068	2	-46,4183034	-23,4225518	3081	0,0649	3,0769	4413	3669	744
L09798	1	-46,5603066	-23,4492343	3120	0,0321	1,5385	5013	3800	1213
L09817	1	-46,5575625	-23,4485828	5138	0,0195	1,5385	7850	5990	1860
L09836	1	-46,3915434	-23,4071587	3522	0,0284	1,5385	5143	4192	951
L09837	1	-46,4580997	-23,4097075	3391	0,0295	1,5385	4944	3961	983
L09838	2	-46,4171536	-23,4044185	4679	0,0427	3,0769	6569	5371	1198
L09848	1	-46,4697267	-23,4083693	3238	0,0309	1,5385	4579	3782	797
L09855	1	-46,4541521	-23,4053186	1795	0,0557	1,5385	2396	2002	394
L09858	1	-46,4627520	-23,4438668	1677	0,0596	1,5385	2339	2000	339
L09860	3	-46,4742651	-23,4493456	3049	0,0984	4,6154	4799	3576	1223
L09867	1	-46,4363562	-23,4335696	4242	0,0236	1,5385	6556	5035	1521
L09868	2	-46,4576614	-23,4558165	4036	0,0496	3,0769	5529	4586	943
L09871	1	-46,4406541	-23,4507951	4323	0,0231	1,5385	6232	5179	1053
L09876	3	-46,4660357	-23,4471833	3396	0,0883	4,6154	5107	3973	1134
L09877	1	-46,4275886	-23,4316448	1879	0,0532	1,5385	2742	2220	522
L09879	1	-46,4587327	-23,4565094	1379	0,0725	1,5385	1890	1536	354
