cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	4	-46,5351389	-23,4432944	3985	0,1004	1,7021	6467	4740	1727
L04026	43	-46,5205382	-23,4200168	3569	1,2048	18,2979	5258	4148	1110
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,4255	3153	2490	663
L04029	2	-46,5257431	-23,4447767	3469	0,0577	0,8511	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,4255	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	0,8511	5561	4379	1182
L04032	2	-46,5233803	-23,4390725	1675	0,1194	0,8511	2351	1938	413
L04034	3	-46,5200816	-23,4395097	2036	0,1473	1,2766	2776	2341	435
L04035	8	-46,5225666	-23,4292113	1027	0,779	3,4043	1410	1186	224
L04036	2	-46,5172187	-23,4664313	1839	0,1088	0,8511	2791	2165	626
L04038	35	-46,5218442	-23,4280169	5014	0,698	14,8936	6975	5763	1212
L04041	10	-46,5198792	-23,4405254	2510	0,3984	4,2553	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,4255	5052	3997	1055
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,4255	1389	1067	322
L04045	2	-46,5182845	-23,4505855	1810	0,1105	0,8511	2690	2149	541
L04047	28	-46,5212409	-23,4239096	3765	0,7437	11,9149	5711	4457	1254
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,4255	2790	2244	546
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,4255	2253	1802	451
L04052	1	-46,4923166	-23,4639376	16	6,25	0,4255	31	19	12
L04054	29	-46,5247111	-23,4230992	2455	1,1813	12,3404	3441	2836	605
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,4255	4827	3500	1327
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,4255	5900	4677	1223
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,4255	3057	2422	635
L04258	1	-46,4181034	-23,4396543	1694	0,059	0,4255	2298	1986	312
L06593	1	-46,5414079	-23,4675541	2706	0,037	0,4255	4182	3224	958
L06600	6	-46,5491135	-23,5030590	4632	0,1295	2,5532	7282	5678	1604
L06613	1	-46,5480261	-23,5005586	657	0,1522	0,4255	1056	812	244
L06614	1	-46,5497994	-23,5030196	718	0,1393	0,4255	1162	888	274
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,4255	2378	1894	484
L06630	1	-46,5008477	-23,4246555	3037	0,0329	0,4255	3968	3367	601
L06631	3	-46,5076553	-23,4362492	2967	0,1011	1,2766	4227	3452	775
L06632	1	-46,4933909	-23,4194569	4222	0,0237	0,4255	5911	4760	1151
L06635	4	-46,4960369	-23,4157394	3530	0,1133	1,7021	4636	3918	718
L06636	2	-46,5010794	-23,4082922	2304	0,0868	0,8511	3067	2564	503
L06637	2	-46,4862817	-23,4057433	3315	0,0603	0,8511	4493	3728	765
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,4255	5813	4898	915
L06645	4	-46,5069535	-23,4312359	4449	0,0899	1,7021	6184	5081	1103
L06646	2	-46,5109205	-23,4407732	3152	0,0635	0,8511	4427	3643	784
L06647	5	-46,5150722	-23,4316739	2155	0,232	2,1277	3031	2499	532
L06648	1	-46,4933909	-23,4194569	1189	0,0841	0,4255	1753	1363	390
L06653	1	-46,5018088	-23,4308419	1024	0,0977	0,4255	1422	1178	244
L06657	1	-46,4932521	-23,4075649	2325	0,043	0,4255	3254	2621	633
L06658	2	-46,5101123	-23,4286618	2248	0,089	0,8511	3124	2562	562
L09799	2	-46,5550646	-23,4340925	3062	0,0653	0,8511	4384	3628	756
L09801	1	-46,5362158	-23,4040658	2732	0,0366	0,4255	3870	3112	758
L09802	1	-46,5475487	-23,4366943	1665	0,0601	0,4255	2234	1890	344
L09804	1	-46,5483783	-23,4363400	3017	0,0331	0,4255	4500	3528	972
L09812	1	-46,5448990	-23,4279439	2677	0,0374	0,4255	3946	3184	762
L09831	1	-46,4660087	-23,4006544	3645	0,0274	0,4255	5341	4237	1104
L09834	1	-46,3974480	-23,4069388	2470	0,0405	0,4255	3555	2944	611
L09839	1	-46,4666479	-23,4031200	4480	0,0223	0,4255	6276	5151	1125
L09848	2	-46,4697267	-23,4083693	3238	0,0618	0,8511	4579	3782	797
L09871	1	-46,4406541	-23,4507951	4323	0,0231	0,4255	6232	5179	1053
L09874	1	-46,4275906	-23,4246425	2619	0,0382	0,4255	3842	3152	690
L09885	1	-46,4422840	-23,4184680	2598	0,0385	0,4255	3836	3140	696
