cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	24	-46,5351389	-23,4432944	3985	0,6023	0,9721	6467	4740	1727
L04022	19	-46,5189890	-23,4582225	3507	0,5418	0,7695	5353	4100	1253
L04023	4	-46,5258670	-23,4677912	1789	0,2236	0,162	2652	2022	630
L04024	38	-46,4960476	-23,4627418	3286	1,1564	1,5391	4988	3762	1226
L04025	10	-46,5313666	-23,4665558	1293	0,7734	0,405	1907	1463	444
L04026	13	-46,5205382	-23,4200168	3569	0,3642	0,5265	5258	4148	1110
L04027	20	-46,5348867	-23,4617458	3878	0,5157	0,81	6011	4558	1453
L04028	9	-46,5260028	-23,4506424	2185	0,4119	0,3645	3153	2490	663
L04029	12	-46,5257431	-23,4447767	3469	0,3459	0,486	5202	4058	1144
L04030	7	-46,5250906	-23,4552952	3134	0,2234	0,2835	4565	3579	986
L04031	9	-46,5178969	-23,4509497	3853	0,2336	0,3645	5561	4379	1182
L04032	5	-46,5233803	-23,4390725	1675	0,2985	0,2025	2351	1938	413
L04033	17	-46,5221381	-23,4625300	3783	0,4494	0,6885	5585	4358	1227
L04034	6	-46,5200816	-23,4395097	2036	0,2947	0,243	2776	2341	435
L04035	7	-46,5225666	-23,4292113	1027	0,6816	0,2835	1410	1186	224
L04036	7	-46,5172187	-23,4664313	1839	0,3806	0,2835	2791	2165	626
L04037	15	-46,5347298	-23,4577536	3127	0,4797	0,6075	4628	3609	1019
L04038	20	-46,5218442	-23,4280169	5014	0,3989	0,81	6975	5763	1212
L04039	18	-46,5333820	-23,4320324	4977	0,3617	0,729	7292	5754	1538
L04040	15	-46,5310324	-23,4403067	3573	0,4198	0,6075	4916	4069	847
L04041	11	-46,5198792	-23,4405254	2510	0,4382	0,4455	3908	2965	943
L04042	24	-46,5148130	-23,4615577	3411	0,7036	0,9721	5052	3997	1055
L04043	6	-46,4988962	-23,4535454	3004	0,1997	0,243	4361	3460	901
L04044	3	-46,5252840	-23,4499460	879	0,3413	0,1215	1389	1067	322
L04045	10	-46,5182845	-23,4505855	1810	0,5525	0,405	2690	2149	541
L04047	8	-46,5212409	-23,4239096	3765	0,2125	0,324	5711	4457	1254
L04048	3	-46,5242122	-23,4573150	826	0,3632	0,1215	1103	941	162
L04049	3	-46,5279042	-23,4569302	1927	0,1557	0,1215	2790	2244	546
L04050	4	-46,5284889	-23,4721650	1152	0,3472	0,162	1695	1303	392
L04051	10	-46,5374154	-23,4392016	1523	0,6566	0,405	2253	1802	451
L04054	6	-46,5247111	-23,4230992	2455	0,2444	0,243	3441	2836	605
L04055	14	-46,5326860	-23,4703600	3025	0,4628	0,567	4827	3500	1327
L04227	1	-46,4014214	-23,4418594	3279	0,0305	0,0405	4547	3765	782
L04228	7	-46,4043279	-23,4619232	3414	0,205	0,2835	4990	4013	977
L04229	6	-46,4252641	-23,4654680	2476	0,2423	0,243	3655	2957	698
L04230	5	-46,4036715	-23,4635450	2746	0,1821	0,2025	4031	3199	832
L04231	5	-46,4014312	-23,4267677	3300	0,1515	0,2025	4744	3843	901
L04232	1	-46,4217922	-23,4688827	2892	0,0346	0,0405	4235	3445	790
L04233	6	-46,3922099	-23,4750902	2611	0,2298	0,243	3680	3063	617
L04234	1	-46,3699481	-23,4230098	1234	0,081	0,0405	1986	1540	446
L04235	9	-46,4124283	-23,4446100	3679	0,2446	0,3645	5464	4330	1134
L04236	7	-46,4240116	-23,4575466	3776	0,1854	0,2835	5435	4492	943
L04237	10	-46,4010537	-23,4628858	3866	0,2587	0,405	5772	4602	1170
L04238	4	-46,3962862	-23,4650561	3129	0,1278	0,162	4474	3655	819
L04239	13	-46,4117159	-23,4448235	3541	0,3671	0,5265	4961	4092	869
L04240	4	-46,3970402	-23,4775957	3125	0,128	0,162	4896	3844	1052
