cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04023	1	-46,5258670	-23,4677912	1789	0,0559	1,0417	2652	2022	630
L04049	1	-46,5279042	-23,4569302	1927	0,0519	1,0417	2790	2244	546
L04055	2	-46,5326860	-23,4703600	3025	0,0661	2,0833	4827	3500	1327
L04227	1	-46,4014214	-23,4418594	3279	0,0305	1,0417	4547	3765	782
L04231	1	-46,4014312	-23,4267677	3300	0,0303	1,0417	4744	3843	901
L04234	6	-46,3699481	-23,4230098	1234	0,4862	6,25	1986	1540	446
L04241	5	-46,4274434	-23,4577532	3932	0,1272	5,2083	5900	4677	1223
L04243	1	-46,4190397	-23,4390357	4665	0,0214	1,0417	6705	5509	1196
L04244	1	-46,4384280	-23,4711710	2467	0,0405	1,0417	3489	2777	712
L04251	1	-46,4122972	-23,4487083	2818	0,0355	1,0417	4095	3343	752
L06605	1	-46,5423233	-23,4725448	3187	0,0314	1,0417	4654	3758	896
L06621	3	-46,5505948	-23,4602271	1213	0,2473	3,125	1733	1421	312
L06622	1	-46,5537840	-23,4681480	595	0,1681	1,0417	865	694	171
L06624	1	-46,5045704	-23,4243582	1929	0,0518	1,0417	2744	2220	524
L06627	1	-46,5068802	-23,4538921	1021	0,0979	1,0417	1469	1179	290
L06633	1	-46,5143356	-23,4331372	1089	0,0918	1,0417	1495	1261	234
L06640	1	-46,5106590	-23,4439176	1975	0,0506	1,0417	2700	2282	418
L06643	3	-46,5046999	-23,4484229	4431	0,0677	3,125	5949	4887	1062
L06644	1	-46,5063124	-23,4580645	2735	0,0366	1,0417	3706	3095	611
L06647	2	-46,5150722	-23,4316739	2155	0,0928	2,0833	3031	2499	532
L06654	1	-46,5099700	-23,4595725	639	0,1565	1,0417	945	752	193
L06657	1	-46,4932521	-23,4075649	2325	0,043	1,0417	3254	2621	633
L07068	1	-46,4183034	-23,4225518	3081	0,0325	1,0417	4413	3669	744
L09790	1	-46,5546942	-23,4528509	2045	0,0489	1,0417	3332	2503	829
L09792	1	-46,5222530	-23,3978071	2829	0,0353	1,0417	4352	3370	982
L09802	1	-46,5475487	-23,4366943	1665	0,0601	1,0417	2234	1890	344
L09821	1	-46,4713471	-23,4164380	4729	0,0211	1,0417	6668	5493	1175
L09822	4	-46,4599054	-23,4173154	3123	0,1281	4,1667	4717	3792	925
L09826	1	-46,4060026	-23,3664058	1077	0,0929	1,0417	1500	1245	255
L09827	3	-46,4073298	-23,4187234	1833	0,1637	3,125	2739	2236	503
L09830	22	-46,4024310	-23,3865450	1980	1,1111	22,9167	2870	2358	512
L09834	1	-46,3974480	-23,4069388	2470	0,0405	1,0417	3555	2944	611
L09835	1	-46,4532657	-23,4044830	3545	0,0282	1,0417	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	1,0417	5143	4192	951
L09844	6	-46,3942002	-23,3987737	3665	0,1637	6,25	5306	4363	943
L09845	2	-46,3955820	-23,3987536	3675	0,0544	2,0833	5424	4458	966
L09849	1	-46,4588105	-23,4093334	1165	0,0858	1,0417	1679	1350	329
L09850	1	-46,4488353	-23,3750146	3137	0,0319	1,0417	4421	3657	764
L09857	1	-46,4623279	-23,4372050	1523	0,0657	1,0417	2389	1854	535
L09859	1	-46,4663092	-23,4465384	3796	0,0263	1,0417	5627	4426	1201
L09860	1	-46,4742651	-23,4493456	3049	0,0328	1,0417	4799	3576	1223
L09863	1	-46,4279296	-23,4310787	2270	0,0441	1,0417	3738	2809	929
L09872	1	-46,4579623	-23,4466592	1298	0,077	1,0417	1812	1496	316
L09876	3	-46,4660357	-23,4471833	3396	0,0883	3,125	5107	3973	1134
L09877	2	-46,4275886	-23,4316448	1879	0,1064	2,0833	2742	2220	522
L09881	1	-46,4623323	-23,4433165	1831	0,0546	1,0417	2794	2154	640
