cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04610	58	-46,8534028	-23,7091061	1494	3,8822	1,7129	2249	1749	500
L04611	9	-46,8119661	-23,7562942	1017	0,885	0,2658	1508	1244	264
L04614	44	-46,7989518	-23,7471167	565	7,7876	1,2995	925	692	233
L04616	297	-46,7952218	-23,7436568	2823	10,5207	8,7714	4217	3325	892
L04617	44	-46,8586658	-23,7213920	1466	3,0014	1,2995	2300	1669	631
L04618	21	-46,8228443	-23,6878288	1372	1,5306	0,6202	2102	1605	497
L04619	67	-46,8578633	-23,7321145	1332	5,03	1,9787	1908	1525	383
L04620	82	-46,8547119	-23,7202893	2514	3,2617	2,4217	3712	2826	886
L04621	110	-46,8070765	-23,7455270	1519	7,2416	3,2487	2313	1827	486
L04622	70	-46,8000960	-23,7578040	1530	4,5752	2,0673	2432	1862	570
L04625	46	-46,8508547	-23,7154916	1724	2,6682	1,3585	2859	1931	928
L04626	6	-46,8014085	-23,6920591	960	0,625	0,1772	1472	1119	353
L04627	71	-46,8590442	-23,7237698	1851	3,8358	2,0969	2914	2083	831
L04628	64	-46,8587169	-23,6878961	1855	3,4501	1,8901	2974	2220	754
L04631	45	-46,8419788	-23,7596202	1576	2,8553	1,329	2423	1828	595
L04632	37	-46,8525640	-23,6908620	1105	3,3484	1,0927	1852	1343	509
L04633	7	-46,8074921	-23,7607003	568	1,2324	0,2067	893	728	165
L04634	38	-46,8589031	-23,7071864	704	5,3977	1,1223	1160	822	338
L04635	93	-46,8550044	-23,7009367	1561	5,9577	2,7466	2290	1830	460
L04636	12	-46,8506067	-23,7033114	145	8,2759	0,3544	243	174	69
L04638	33	-46,8016988	-23,6985698	2755	1,1978	0,9746	4477	3319	1158
L04639	12	-46,7829491	-23,7527373	728	1,6484	0,3544	1183	933	250
L04640	45	-46,8503585	-23,7143676	1221	3,6855	1,329	1949	1419	530
L04641	9	-46,7937549	-23,7031238	2022	0,4451	0,2658	3094	2464	630
L04642	8	-46,8834207	-23,6854803	303	2,6403	0,2363	532	423	109
L04643	61	-46,7988288	-23,7235285	1200	5,0833	1,8015	1756	1378	378
L04644	21	-46,8237570	-23,6897118	1967	1,0676	0,6202	2866	2266	600
L04645	41	-46,7888618	-23,7494159	884	4,638	1,2109	1440	1092	348
L04646	174	-46,7970743	-23,7468583	2130	8,169	5,1388	3502	2574	928
L04647	192	-46,8012440	-23,7468614	1810	10,6077	5,6704	2864	2137	727
L04648	32	-46,8506813	-23,7124462	836	3,8278	0,9451	1291	981	310
L04649	82	-46,8518124	-23,7150458	2367	3,4643	2,4217	3779	2697	1082
L04650	193	-46,8580070	-23,7075995	2583	7,4719	5,6999	3871	2992	879
L04652	58	-46,8630701	-23,7062145	1277	4,5419	1,7129	2031	1440	591
L04653	43	-46,8671839	-23,7191251	1209	3,5567	1,2699	1693	1333	360
L04654	78	-46,8068164	-23,7567823	3255	2,3963	2,3036	5198	3971	1227
L04655	18	-46,9116570	-23,7852598	222	8,1081	0,5316	341	282	59
L04656	49	-46,7983579	-23,7194099	1365	3,5897	1,4471	2044	1553	491
L04657	31	-46,8056156	-23,7065810	1358	2,2828	0,9155	1931	1545	386
L04658	141	-46,8010443	-23,7472418	1246	11,3162	4,1642	1863	1451	412
L04663	15	-46,8156841	-23,6895390	701	2,1398	0,443	1030	814	216
L04664	160	-46,9023861	-23,7481482	1752	9,1324	4,7253	2864	2095	769
L04665	69	-46,7933290	-23,7566620	1947	3,5439	2,0378	3104	2382	722
L04667	21	-46,8549062	-23,7169139	1039	2,0212	0,6202	1501	1186	315
L04675	31	-46,8215204	-23,7194938	1204	2,5748	0,9155	1770	1355	415
L04676	57	-46,8405838	-23,7160957	2146	2,6561	1,6834	3665	2516	1149
L04678	54	-46,8973564	-23,7201815	925	5,8378	1,5948	1458	1108	350
L04679	22	-46,8014960	-23,6905480	2383	0,9232	0,6497	3974	2881	1093
L04680	134	-46,7983561	-23,7470452	1606	8,3437	3,9575	2517	1889	628
L04682	186	-46,8601763	-23,7043763	3161	5,8842	5,4932	4878	3670	1208
L04685	95	-46,8566591	-23,7088301	1288	7,3758	2,8057	1870	1462	408
