cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04611	2	-46,8119661	-23,7562942	1099	0,182	0,4808	1508	1244	264
L04614	16	-46,7989518	-23,7471167	567	2,8219	3,8462	925	692	233
L04616	160	-46,7952218	-23,7436568	2897	5,523	38,4615	4217	3325	892
L04617	4	-46,8586658	-23,7213920	1491	0,2683	0,9615	2300	1669	631
L04620	1	-46,8547119	-23,7202893	2486	0,0402	0,2404	3712	2826	886
L04621	21	-46,8070765	-23,7455270	1557	1,3487	5,0481	2313	1827	486
L04622	4	-46,8000960	-23,7578040	1673	0,2391	0,9615	2432	1862	570
L04631	1	-46,8419788	-23,7596202	1574	0,0635	0,2404	2423	1828	595
L04645	13	-46,7888618	-23,7494159	922	1,41	3,125	1440	1092	348
L04646	75	-46,7970743	-23,7468583	2191	3,4231	18,0288	3502	2574	928
L04647	29	-46,8012440	-23,7468614	1840	1,5761	6,9712	2864	2137	727
L04654	5	-46,8068164	-23,7567823	3523	0,1419	1,2019	5198	3971	1227
L04656	1	-46,7983579	-23,7194099	1462	0,0684	0,2404	2044	1553	491
L04658	22	-46,8010443	-23,7472418	1264	1,7405	5,2885	1863	1451	412
L04665	12	-46,7933290	-23,7566620	2102	0,5709	2,8846	3104	2382	722
L04680	48	-46,7983561	-23,7470452	1652	2,9056	11,5385	2517	1889	628
L04682	1	-46,8601763	-23,7043763	3248	0,0308	0,2404	4878	3670	1208
L04685	1	-46,8566591	-23,7088301	1313	0,0762	0,2404	1870	1462	408
