cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04610	16	-46,8534028	-23,7091061	1505	1,0631	2,213	2249	1749	500
L04611	2	-46,8119661	-23,7562942	1099	0,182	0,2766	1508	1244	264
L04617	39	-46,8586658	-23,7213920	1491	2,6157	5,3942	2300	1669	631
L04618	12	-46,8228443	-23,6878288	1421	0,8445	1,6598	2102	1605	497
L04619	15	-46,8578633	-23,7321145	1391	1,0784	2,0747	1908	1525	383
L04620	119	-46,8547119	-23,7202893	2486	4,7868	16,4592	3712	2826	886
L04625	44	-46,8508547	-23,7154916	1727	2,5478	6,0858	2859	1931	928
L04627	61	-46,8590442	-23,7237698	1873	3,2568	8,4371	2914	2083	831
L04628	18	-46,8587169	-23,6878961	1914	0,9404	2,4896	2974	2220	754
L04631	20	-46,8419788	-23,7596202	1574	1,2706	2,7663	2423	1828	595
L04632	11	-46,8525640	-23,6908620	1152	0,9549	1,5214	1852	1343	509
L04634	10	-46,8589031	-23,7071864	719	1,3908	1,3831	1160	822	338
L04635	11	-46,8550044	-23,7009367	1563	0,7038	1,5214	2290	1830	460
L04636	2	-46,8506067	-23,7033114	155	1,2903	0,2766	243	174	69
L04638	6	-46,8016988	-23,6985698	2915	0,2058	0,8299	4477	3319	1158
L04640	31	-46,8503585	-23,7143676	1220	2,541	4,2877	1949	1419	530
L04642	3	-46,8834207	-23,6854803	332	0,9036	0,4149	532	423	109
L04644	8	-46,8237570	-23,6897118	2052	0,3899	1,1065	2866	2266	600
L04646	1	-46,7970743	-23,7468583	2191	0,0456	0,1383	3502	2574	928
L04648	19	-46,8506813	-23,7124462	822	2,3114	2,6279	1291	981	310
L04649	52	-46,8518124	-23,7150458	2412	2,1559	7,1923	3779	2697	1082
L04650	48	-46,8580070	-23,7075995	2635	1,8216	6,639	3871	2992	879
L04652	18	-46,8630701	-23,7062145	1311	1,373	2,4896	2031	1440	591
L04653	10	-46,8671839	-23,7191251	1227	0,815	1,3831	1693	1333	360
L04655	1	-46,9116570	-23,7852598	241	0,4149	0,1383	341	282	59
L04657	2	-46,8056156	-23,7065810	1405	0,1423	0,2766	1931	1545	386
L04658	1	-46,8010443	-23,7472418	1264	0,0791	0,1383	1863	1451	412
L04663	2	-46,8156841	-23,6895390	740	0,2703	0,2766	1030	814	216
L04664	11	-46,9023861	-23,7481482	1870	0,5882	1,5214	2864	2095	769
L04665	4	-46,7933290	-23,7566620	2102	0,1903	0,5533	3104	2382	722
L04667	26	-46,8549062	-23,7169139	1045	2,488	3,5961	1501	1186	315
L04675	8	-46,8215204	-23,7194938	1206	0,6633	1,1065	1770	1355	415
L04676	28	-46,8405838	-23,7160957	2184	1,2821	3,8728	3665	2516	1149
L04678	4	-46,8973564	-23,7201815	965	0,4145	0,5533	1458	1108	350
L04679	1	-46,8014960	-23,6905480	2537	0,0394	0,1383	3974	2881	1093
L04682	42	-46,8601763	-23,7043763	3248	1,2931	5,8091	4878	3670	1208
L04685	17	-46,8566591	-23,7088301	1313	1,2947	2,3513	1870	1462	408
