cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04614	4	-46,7989518	-23,7471167	567	0,7055	5,7143	925	692	233
L04616	4	-46,7952218	-23,7436568	2897	0,1381	5,7143	4217	3325	892
L04622	3	-46,8000960	-23,7578040	1673	0,1793	4,2857	2432	1862	570
L04633	1	-46,8074921	-23,7607003	628	0,1592	1,4286	893	728	165
L04645	19	-46,7888618	-23,7494159	922	2,0607	27,1429	1440	1092	348
L04646	6	-46,7970743	-23,7468583	2191	0,2738	8,5714	3502	2574	928
L04647	4	-46,8012440	-23,7468614	1840	0,2174	5,7143	2864	2137	727
L04652	1	-46,8630701	-23,7062145	1311	0,0763	1,4286	2031	1440	591
L04654	4	-46,8068164	-23,7567823	3523	0,1135	5,7143	5198	3971	1227
L04658	3	-46,8010443	-23,7472418	1264	0,2373	4,2857	1863	1451	412
L04665	9	-46,7933290	-23,7566620	2102	0,4282	12,8571	3104	2382	722
L04680	12	-46,7983561	-23,7470452	1652	0,7264	17,1429	2517	1889	628
