cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04611	3	-46,8119661	-23,7562942	1099	0,273	8,5714	1508	1244	264
L04614	2	-46,7989518	-23,7471167	567	0,3527	5,7143	925	692	233
L04616	8	-46,7952218	-23,7436568	2897	0,2761	22,8571	4217	3325	892
L04620	1	-46,8547119	-23,7202893	2486	0,0402	2,8571	3712	2826	886
L04632	1	-46,8525640	-23,6908620	1152	0,0868	2,8571	1852	1343	509
L04633	1	-46,8074921	-23,7607003	628	0,1592	2,8571	893	728	165
L04635	1	-46,8550044	-23,7009367	1563	0,064	2,8571	2290	1830	460
L04641	1	-46,7937549	-23,7031238	2181	0,0459	2,8571	3094	2464	630
L04645	2	-46,7888618	-23,7494159	922	0,2169	5,7143	1440	1092	348
L04646	7	-46,7970743	-23,7468583	2191	0,3195	20,0	3502	2574	928
L04647	2	-46,8012440	-23,7468614	1840	0,1087	5,7143	2864	2137	727
L04654	3	-46,8068164	-23,7567823	3523	0,0852	8,5714	5198	3971	1227
L04658	2	-46,8010443	-23,7472418	1264	0,1582	5,7143	1863	1451	412
L04665	1	-46,7933290	-23,7566620	2102	0,0476	2,8571	3104	2382	722
