cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	1	-46,9481392	-23,5543819	2905	0,0344	1,3514	4176	3290	886
L08598	1	-46,9288337	-23,5407262	588	0,1701	1,3514	798	637	161
L08599	3	-46,9087572	-23,5550031	1747	0,1717	4,0541	2683	2061	622
L08603	9	-46,9276300	-23,5552051	731	1,2312	12,1622	1028	820	208
L08615	4	-46,9329281	-23,5464894	3537	0,1131	5,4054	5647	3980	1667
L08617	1	-46,9810860	-23,5310110	1626	0,0615	1,3514	2451	1818	633
L08619	1	-46,9306599	-23,5633290	2911	0,0344	1,3514	4356	3358	998
L08620	1	-46,9367130	-23,5518639	2261	0,0442	1,3514	3438	2509	929
L08621	2	-46,9391689	-23,5510413	1661	0,1204	2,7027	2393	1800	593
L08624	23	-46,9272520	-23,5479542	3768	0,6104	31,0811	5426	4266	1160
L08627	3	-46,9210517	-23,5348427	3588	0,0836	4,0541	5459	3925	1534
L08631	3	-46,9110209	-23,5525458	2997	0,1001	4,0541	4276	3392	884
L08632	16	-46,9216217	-23,5592043	4170	0,3837	21,6216	5819	4699	1120
L08635	2	-46,9331600	-23,5503026	2123	0,0942	2,7027	3114	2341	773
L08638	4	-46,9261824	-23,5434109	1663	0,2405	5,4054	2318	1842	476
