cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	60	-46,9481392	-23,5543819	2905	2,0654	21,0526	4176	3290	886
L08587	10	-46,9415334	-23,5558397	288	3,4722	3,5088	444	331	113
L08590	1	-46,9444800	-23,5416269	1121	0,0892	0,3509	1582	1240	342
L08593	2	-46,9262107	-23,5314577	1787	0,1119	0,7018	2600	1991	609
L08594	1	-46,9823981	-23,5329721	2816	0,0355	0,3509	3953	3072	881
L08597	1	-46,9396490	-23,5622653	1620	0,0617	0,3509	2301	1832	469
L08603	2	-46,9276300	-23,5552051	731	0,2736	0,7018	1028	820	208
L08606	2	-46,9511780	-23,5455070	2332	0,0858	0,7018	3253	2569	684
L08607	3	-46,9551748	-23,5685992	400	0,75	1,0526	543	452	91
L08608	1	-46,9361861	-23,5537696	1716	0,0583	0,3509	2618	1951	667
L08612	1	-46,9500908	-23,5479319	2782	0,0359	0,3509	4028	3022	1006
L08614	2	-46,9391330	-23,5373299	3746	0,0534	0,7018	5350	4126	1224
L08615	1	-46,9329281	-23,5464894	3537	0,0283	0,3509	5647	3980	1667
L08617	1	-46,9810860	-23,5310110	1626	0,0615	0,3509	2451	1818	633
L08619	1	-46,9306599	-23,5633290	2911	0,0344	0,3509	4356	3358	998
L08620	3	-46,9367130	-23,5518639	2261	0,1327	1,0526	3438	2509	929
L08621	2	-46,9391689	-23,5510413	1661	0,1204	0,7018	2393	1800	593
L08622	2	-46,9373180	-23,5561139	4846	0,0413	0,7018	6879	5357	1522
L08623	76	-46,9480212	-23,5549934	3278	2,3185	26,6667	4601	3607	994
L08624	2	-46,9272520	-23,5479542	3768	0,0531	0,7018	5426	4266	1160
L08627	4	-46,9210517	-23,5348427	3588	0,1115	1,4035	5459	3925	1534
L08628	3	-46,9390760	-23,5435309	2557	0,1173	1,0526	3669	2821	848
L08629	39	-46,9496690	-23,5613520	3515	1,1095	13,6842	5110	3900	1210
L08630	1	-46,9629421	-23,5530029	2548	0,0392	0,3509	3648	2847	801
L08631	6	-46,9110209	-23,5525458	2997	0,2002	2,1053	4276	3392	884
L08632	4	-46,9216217	-23,5592043	4170	0,0959	1,4035	5819	4699	1120
L08634	35	-46,9407146	-23,5517777	4688	0,7466	12,2807	7185	5227	1958
L08635	4	-46,9331600	-23,5503026	2123	0,1884	1,4035	3114	2341	773
L08636	3	-46,9222219	-23,5362928	2404	0,1248	1,0526	3429	2626	803
L08637	5	-46,9414960	-23,5551100	2580	0,1938	1,7544	3658	2857	801
L08638	1	-46,9261824	-23,5434109	1663	0,0601	0,3509	2318	1842	476
L08639	6	-46,9558022	-23,5444051	1339	0,4481	2,1053	1812	1516	296
