cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	2	-46,9481392	-23,5543819	2905	0,0688	1,8519	4176	3290	886
L08588	1	-46,9298289	-23,5498841	845	0,1183	0,9259	1235	938	297
L08589	2	-46,9197900	-23,5392699	3092	0,0647	1,8519	4305	3347	958
L08594	2	-46,9823981	-23,5329721	2816	0,071	1,8519	3953	3072	881
L08595	1	-46,9623047	-23,5524922	952	0,105	0,9259	1439	1104	335
L08597	1	-46,9396490	-23,5622653	1620	0,0617	0,9259	2301	1832	469
L08598	1	-46,9288337	-23,5407262	588	0,1701	0,9259	798	637	161
L08603	1	-46,9276300	-23,5552051	731	0,1368	0,9259	1028	820	208
L08605	3	-46,9312500	-23,5544030	237	1,2658	2,7778	353	270	83
L08608	2	-46,9361861	-23,5537696	1716	0,1166	1,8519	2618	1951	667
L08611	1	-46,9698786	-23,5459375	803	0,1245	0,9259	1227	943	284
L08614	4	-46,9391330	-23,5373299	3746	0,1068	3,7037	5350	4126	1224
L08615	3	-46,9329281	-23,5464894	3537	0,0848	2,7778	5647	3980	1667
L08617	1	-46,9810860	-23,5310110	1626	0,0615	0,9259	2451	1818	633
L08618	1	-46,9285620	-23,5409510	521	0,1919	0,9259	793	598	195
L08620	21	-46,9367130	-23,5518639	2261	0,9288	19,4444	3438	2509	929
L08622	16	-46,9373180	-23,5561139	4846	0,3302	14,8148	6879	5357	1522
L08623	5	-46,9480212	-23,5549934	3278	0,1525	4,6296	4601	3607	994
L08624	2	-46,9272520	-23,5479542	3768	0,0531	1,8519	5426	4266	1160
L08625	2	-46,9394721	-23,5427496	3249	0,0616	1,8519	4787	3584	1203
L08626	1	-46,9696936	-23,5303153	970	0,1031	0,9259	1328	1062	266
L08628	1	-46,9390760	-23,5435309	2557	0,0391	0,9259	3669	2821	848
L08632	1	-46,9216217	-23,5592043	4170	0,024	0,9259	5819	4699	1120
L08633	7	-46,9316388	-23,5594476	2036	0,3438	6,4815	2860	2252	608
L08634	8	-46,9407146	-23,5517777	4688	0,1706	7,4074	7185	5227	1958
L08635	9	-46,9331600	-23,5503026	2123	0,4239	8,3333	3114	2341	773
L08637	7	-46,9414960	-23,5551100	2580	0,2713	6,4815	3658	2857	801
L08638	2	-46,9261824	-23,5434109	1663	0,1203	1,8519	2318	1842	476
