cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	2	-46,9481392	-23,5543819	2905	0,0688	5,4054	4176	3290	886
L08586	1	-47,0274860	-23,5972420	1453	0,0688	2,7027	2150	1634	516
L08588	3	-46,9298289	-23,5498841	845	0,355	8,1081	1235	938	297
L08595	1	-46,9623047	-23,5524922	952	0,105	2,7027	1439	1104	335
L08599	1	-46,9087572	-23,5550031	1747	0,0572	2,7027	2683	2061	622
L08610	2	-46,9848796	-23,5766993	647	0,3091	5,4054	923	719	204
L08611	1	-46,9698786	-23,5459375	803	0,1245	2,7027	1227	943	284
L08614	2	-46,9391330	-23,5373299	3746	0,0534	5,4054	5350	4126	1224
L08615	8	-46,9329281	-23,5464894	3537	0,2262	21,6216	5647	3980	1667
L08622	1	-46,9373180	-23,5561139	4846	0,0206	2,7027	6879	5357	1522
L08623	1	-46,9480212	-23,5549934	3278	0,0305	2,7027	4601	3607	994
L08624	3	-46,9272520	-23,5479542	3768	0,0796	8,1081	5426	4266	1160
L08625	2	-46,9394721	-23,5427496	3249	0,0616	5,4054	4787	3584	1203
L08628	1	-46,9390760	-23,5435309	2557	0,0391	2,7027	3669	2821	848
L08630	1	-46,9629421	-23,5530029	2548	0,0392	2,7027	3648	2847	801
L08634	4	-46,9407146	-23,5517777	4688	0,0853	10,8108	7185	5227	1958
L08635	2	-46,9331600	-23,5503026	2123	0,0942	5,4054	3114	2341	773
L08638	1	-46,9261824	-23,5434109	1663	0,0601	2,7027	2318	1842	476
