cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	3	-46,9481392	-23,5543819	2905	0,1033	3,75	4176	3290	886
L08586	1	-47,0274860	-23,5972420	1453	0,0688	1,25	2150	1634	516
L08588	1	-46,9298289	-23,5498841	845	0,1183	1,25	1235	938	297
L08589	6	-46,9197900	-23,5392699	3092	0,194	7,5	4305	3347	958
L08593	2	-46,9262107	-23,5314577	1787	0,1119	2,5	2600	1991	609
L08594	3	-46,9823981	-23,5329721	2816	0,1065	3,75	3953	3072	881
L08600	11	-46,9267145	-23,5353030	1505	0,7309	13,75	2235	1707	528
L08608	3	-46,9361861	-23,5537696	1716	0,1748	3,75	2618	1951	667
L08613	2	-46,9815069	-23,5344783	1513	0,1322	2,5	2428	1671	757
L08614	6	-46,9391330	-23,5373299	3746	0,1602	7,5	5350	4126	1224
L08615	1	-46,9329281	-23,5464894	3537	0,0283	1,25	5647	3980	1667
L08617	1	-46,9810860	-23,5310110	1626	0,0615	1,25	2451	1818	633
L08620	1	-46,9367130	-23,5518639	2261	0,0442	1,25	3438	2509	929
L08622	8	-46,9373180	-23,5561139	4846	0,1651	10,0	6879	5357	1522
L08623	1	-46,9480212	-23,5549934	3278	0,0305	1,25	4601	3607	994
L08625	6	-46,9394721	-23,5427496	3249	0,1847	7,5	4787	3584	1203
L08627	4	-46,9210517	-23,5348427	3588	0,1115	5,0	5459	3925	1534
L08628	4	-46,9390760	-23,5435309	2557	0,1564	5,0	3669	2821	848
L08629	2	-46,9496690	-23,5613520	3515	0,0569	2,5	5110	3900	1210
L08633	1	-46,9316388	-23,5594476	2036	0,0491	1,25	2860	2252	608
L08634	3	-46,9407146	-23,5517777	4688	0,064	3,75	7185	5227	1958
L08636	8	-46,9222219	-23,5362928	2404	0,3328	10,0	3429	2626	803
L08637	1	-46,9414960	-23,5551100	2580	0,0388	1,25	3658	2857	801
L08638	1	-46,9261824	-23,5434109	1663	0,0601	1,25	2318	1842	476
