cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	22	-46,9481392	-23,5543819	2905	0,7573	11,399	4176	3290	886
L08586	3	-47,0274860	-23,5972420	1453	0,2065	1,5544	2150	1634	516
L08588	1	-46,9298289	-23,5498841	845	0,1183	0,5181	1235	938	297
L08593	2	-46,9262107	-23,5314577	1787	0,1119	1,0363	2600	1991	609
L08594	2	-46,9823981	-23,5329721	2816	0,071	1,0363	3953	3072	881
L08597	1	-46,9396490	-23,5622653	1620	0,0617	0,5181	2301	1832	469
L08603	1	-46,9276300	-23,5552051	731	0,1368	0,5181	1028	820	208
L08606	1	-46,9511780	-23,5455070	2332	0,0429	0,5181	3253	2569	684
L08608	2	-46,9361861	-23,5537696	1716	0,1166	1,0363	2618	1951	667
L08609	5	-46,9688739	-23,5380788	98	5,102	2,5907	133	111	22
L08610	1	-46,9848796	-23,5766993	647	0,1546	0,5181	923	719	204
L08612	1	-46,9500908	-23,5479319	2782	0,0359	0,5181	4028	3022	1006
L08613	1	-46,9815069	-23,5344783	1513	0,0661	0,5181	2428	1671	757
L08614	4	-46,9391330	-23,5373299	3746	0,1068	2,0725	5350	4126	1224
L08615	3	-46,9329281	-23,5464894	3537	0,0848	1,5544	5647	3980	1667
L08616	5	-46,9799031	-23,5409774	2079	0,2405	2,5907	2874	2253	621
L08617	1	-46,9810860	-23,5310110	1626	0,0615	0,5181	2451	1818	633
L08618	1	-46,9285620	-23,5409510	521	0,1919	0,5181	793	598	195
L08619	4	-46,9306599	-23,5633290	2911	0,1374	2,0725	4356	3358	998
L08620	7	-46,9367130	-23,5518639	2261	0,3096	3,6269	3438	2509	929
L08621	2	-46,9391689	-23,5510413	1661	0,1204	1,0363	2393	1800	593
L08622	8	-46,9373180	-23,5561139	4846	0,1651	4,1451	6879	5357	1522
L08623	35	-46,9480212	-23,5549934	3278	1,0677	18,1347	4601	3607	994
L08624	9	-46,9272520	-23,5479542	3768	0,2389	4,6632	5426	4266	1160
L08627	1	-46,9210517	-23,5348427	3588	0,0279	0,5181	5459	3925	1534
L08628	2	-46,9390760	-23,5435309	2557	0,0782	1,0363	3669	2821	848
L08629	8	-46,9496690	-23,5613520	3515	0,2276	4,1451	5110	3900	1210
L08631	2	-46,9110209	-23,5525458	2997	0,0667	1,0363	4276	3392	884
L08632	1	-46,9216217	-23,5592043	4170	0,024	0,5181	5819	4699	1120
L08633	8	-46,9316388	-23,5594476	2036	0,3929	4,1451	2860	2252	608
L08634	21	-46,9407146	-23,5517777	4688	0,448	10,8808	7185	5227	1958
L08635	6	-46,9331600	-23,5503026	2123	0,2826	3,1088	3114	2341	773
L08636	1	-46,9222219	-23,5362928	2404	0,0416	0,5181	3429	2626	803
L08637	8	-46,9414960	-23,5551100	2580	0,3101	4,1451	3658	2857	801
L08640	13	-47,0068932	-23,5436288	798	1,6291	6,7358	1141	896	245
