cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	2	-46,3689920	-23,4837560	2013	0,0994	0,2342	3223	2302	921
L09148	2	-46,3681569	-23,4873312	598	0,3344	0,2342	1049	728	321
L09150	4	-46,3441165	-23,4904792	3269	0,1224	0,4684	5365	3816	1549
L09151	5	-46,3551579	-23,4739100	2124	0,2354	0,5855	3220	2389	831
L09152	13	-46,3701164	-23,4900163	3791	0,3429	1,5222	5842	4435	1407
L09153	1	-46,3413970	-23,4678340	2123	0,0471	0,1171	2928	2373	555
L09154	6	-46,3529210	-23,4819400	4747	0,1264	0,7026	7861	5407	2454
L09155	4	-46,3406160	-23,4952500	2772	0,1443	0,4684	4358	3277	1081
L09156	2	-46,3572660	-23,4877550	4030	0,0496	0,2342	6075	4608	1467
L09157	1	-46,3654951	-23,4836833	1179	0,0848	0,1171	1917	1353	564
L09158	4	-46,3445017	-23,4670217	2288	0,1748	0,4684	3817	2591	1226
L09159	2	-46,3700557	-23,4811568	4431	0,0451	0,2342	6742	5005	1737
L09161	13	-46,3520985	-23,5024552	5109	0,2545	1,5222	8074	5947	2127
L09162	6	-46,3625806	-23,4990150	3099	0,1936	0,7026	4900	3723	1177
L09163	7	-46,3427120	-23,5018550	3336	0,2098	0,8197	5018	3870	1148
L09164	2	-46,3456739	-23,4975290	2479	0,0807	0,2342	3752	2803	949
L09165	4	-46,3542090	-23,4789029	2865	0,1396	0,4684	4773	3253	1520
L09166	9	-46,3507535	-23,4758169	2553	0,3525	1,0539	4075	3031	1044
L09167	2	-46,3439136	-23,4665189	779	0,2567	0,2342	1097	879	218
L09169	2	-46,3380845	-23,4885895	777	0,2574	0,2342	1178	932	246
L09170	3	-46,3660400	-23,4833070	1666	0,1801	0,3513	2756	1889	867
L09171	3	-46,3615561	-23,4903211	2379	0,1261	0,3513	3675	2761	914
L09172	3	-46,3513510	-23,4801915	876	0,3425	0,3513	1446	1050	396
L09173	7	-46,3439125	-23,4968267	3971	0,1763	0,8197	6253	4609	1644
L10675	47	-46,3801550	-23,4611620	3231	1,4547	5,5035	4804	3677	1127
L10676	2	-46,3120587	-23,4303515	2342	0,0854	0,2342	3429	2765	664
L10678	2	-46,3295865	-23,4697518	3232	0,0619	0,2342	4502	3582	920
L10679	1	-46,3482342	-23,4408776	775	0,129	0,1171	1198	903	295
L10680	1	-46,3279668	-23,4628373	2826	0,0354	0,1171	4281	3199	1082
L10683	15	-46,3538519	-23,4547514	4198	0,3573	1,7564	5993	4638	1355
L10684	4	-46,2892417	-23,4733774	4047	0,0988	0,4684	6224	4652	1572
L10685	237	-46,3796493	-23,4397419	3062	7,74	27,7518	4210	3420	790
L10686	19	-46,3577159	-23,4504049	2554	0,7439	2,2248	3828	2856	972
L10687	186	-46,3462948	-23,4863661	2383	7,8053	21,7799	3415	2777	638
L10689	1	-46,3236299	-23,4356769	4585	0,0218	0,1171	6415	5114	1301
L10690	3	-46,3008586	-23,4899756	4649	0,0645	0,3513	7227	5543	1684
L10691	2	-46,3027817	-23,4646476	2303	0,0868	0,2342	3533	2639	894
L10692	6	-46,3190940	-23,4664163	4014	0,1495	0,7026	5755	4508	1247
L10695	7	-46,3399135	-23,4521607	2243	0,3121	0,8197	3118	2498	620
L10696	1	-46,3014769	-23,4851122	3727	0,0268	0,1171	5632	4343	1289
L10700	13	-46,3468833	-23,4505081	1667	0,7798	1,5222	2393	1926	467
L10702	173	-46,3805382	-23,4461469	2634	6,568	20,2576	3972	3079	893
L10703	3	-46,3550997	-23,4505884	326	0,9202	0,3513	461	378	83
L10704	8	-46,3403647	-23,4520104	2615	0,3059	0,9368	3621	2921	700
L10705	3	-46,2924618	-23,4665017	1864	0,1609	0,3513	2993	2184	809
L10707	6	-46,3539262	-23,4533863	1347	0,4454	0,7026	1898	1554	344
L10708	1	-46,3281179	-23,4632699	4633	0,0216	0,1171	6872	5234	1638
L10710	6	-46,3725917	-23,4604257	268	2,2388	0,7026	363	296	67
