cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	2	-46,3689920	-23,4837560	2013	0,0994	4,2553	3223	2302	921
L09149	1	-46,3608435	-23,4795672	849	0,1178	2,1277	1336	1014	322
L09154	5	-46,3529210	-23,4819400	4747	0,1053	10,6383	7861	5407	2454
L09156	3	-46,3572660	-23,4877550	4030	0,0744	6,383	6075	4608	1467
L09157	1	-46,3654951	-23,4836833	1179	0,0848	2,1277	1917	1353	564
L09158	1	-46,3445017	-23,4670217	2288	0,0437	2,1277	3817	2591	1226
L09159	2	-46,3700557	-23,4811568	4431	0,0451	4,2553	6742	5005	1737
L09160	1	-46,3777203	-23,4790680	1015	0,0985	2,1277	1401	1113	288
L09161	3	-46,3520985	-23,5024552	5109	0,0587	6,383	8074	5947	2127
L09162	1	-46,3625806	-23,4990150	3099	0,0323	2,1277	4900	3723	1177
L09170	1	-46,3660400	-23,4833070	1666	0,06	2,1277	2756	1889	867
L09172	2	-46,3513510	-23,4801915	876	0,2283	4,2553	1446	1050	396
L09173	1	-46,3439125	-23,4968267	3971	0,0252	2,1277	6253	4609	1644
L10675	1	-46,3801550	-23,4611620	3231	0,031	2,1277	4804	3677	1127
L10676	1	-46,3120587	-23,4303515	2342	0,0427	2,1277	3429	2765	664
L10678	1	-46,3295865	-23,4697518	3232	0,0309	2,1277	4502	3582	920
L10681	3	-46,3044635	-23,4389012	4315	0,0695	6,383	6148	4883	1265
L10683	1	-46,3538519	-23,4547514	4198	0,0238	2,1277	5993	4638	1355
L10684	1	-46,2892417	-23,4733774	4047	0,0247	2,1277	6224	4652	1572
L10687	1	-46,3462948	-23,4863661	2383	0,042	2,1277	3415	2777	638
L10689	2	-46,3236299	-23,4356769	4585	0,0436	4,2553	6415	5114	1301
L10690	3	-46,3008586	-23,4899756	4649	0,0645	6,383	7227	5543	1684
L10691	2	-46,3027817	-23,4646476	2303	0,0868	4,2553	3533	2639	894
L10692	1	-46,3190940	-23,4664163	4014	0,0249	2,1277	5755	4508	1247
L10702	1	-46,3805382	-23,4461469	2634	0,038	2,1277	3972	3079	893
L10704	1	-46,3403647	-23,4520104	2615	0,0382	2,1277	3621	2921	700
L10707	1	-46,3539262	-23,4533863	1347	0,0742	2,1277	1898	1554	344
L10708	3	-46,3281179	-23,4632699	4633	0,0648	6,383	6872	5234	1638
