cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	4	-46,3689920	-23,4837560	2013	0,1987	2,7027	3223	2302	921
L09151	4	-46,3551579	-23,4739100	2124	0,1883	2,7027	3220	2389	831
L09152	4	-46,3701164	-23,4900163	3791	0,1055	2,7027	5842	4435	1407
L09153	55	-46,3413970	-23,4678340	2123	2,5907	37,1622	2928	2373	555
L09154	5	-46,3529210	-23,4819400	4747	0,1053	3,3784	7861	5407	2454
L09155	2	-46,3406160	-23,4952500	2772	0,0722	1,3514	4358	3277	1081
L09156	6	-46,3572660	-23,4877550	4030	0,1489	4,0541	6075	4608	1467
L09158	9	-46,3445017	-23,4670217	2288	0,3934	6,0811	3817	2591	1226
L09164	1	-46,3456739	-23,4975290	2479	0,0403	0,6757	3752	2803	949
L09165	2	-46,3542090	-23,4789029	2865	0,0698	1,3514	4773	3253	1520
L09167	4	-46,3439136	-23,4665189	779	0,5135	2,7027	1097	879	218
L09170	3	-46,3660400	-23,4833070	1666	0,1801	2,027	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	0,6757	3675	2761	914
L09173	3	-46,3439125	-23,4968267	3971	0,0755	2,027	6253	4609	1644
L10677	1	-46,3508462	-23,4209756	3927	0,0255	0,6757	5518	4467	1051
L10678	7	-46,3295865	-23,4697518	3232	0,2166	4,7297	4502	3582	920
L10679	1	-46,3482342	-23,4408776	775	0,129	0,6757	1198	903	295
L10680	8	-46,3279668	-23,4628373	2826	0,2831	5,4054	4281	3199	1082
L10682	1	-46,3171399	-23,4397659	4577	0,0218	0,6757	6728	5087	1641
L10683	2	-46,3538519	-23,4547514	4198	0,0476	1,3514	5993	4638	1355
L10686	6	-46,3577159	-23,4504049	2554	0,2349	4,0541	3828	2856	972
L10688	1	-46,3469192	-23,4249880	2702	0,037	0,6757	3799	3074	725
L10690	1	-46,3008586	-23,4899756	4649	0,0215	0,6757	7227	5543	1684
L10692	3	-46,3190940	-23,4664163	4014	0,0747	2,027	5755	4508	1247
L10693	1	-46,2784822	-23,4362237	2409	0,0415	0,6757	3395	2699	696
L10694	6	-46,3341386	-23,4592433	2672	0,2246	4,0541	3943	3097	846
L10697	1	-46,3200416	-23,4795391	601	0,1664	0,6757	836	670	166
L10706	1	-46,3249779	-23,4704560	2467	0,0405	0,6757	3501	2764	737
L10707	1	-46,3539262	-23,4533863	1347	0,0742	0,6757	1898	1554	344
L10708	4	-46,3281179	-23,4632699	4633	0,0863	2,7027	6872	5234	1638
