cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	3	-46,3689920	-23,4837560	2013	0,149	0,2755	3223	2302	921
L09148	2	-46,3681569	-23,4873312	598	0,3344	0,1837	1049	728	321
L09149	1	-46,3608435	-23,4795672	849	0,1178	0,0918	1336	1014	322
L09150	5	-46,3441165	-23,4904792	3269	0,153	0,4591	5365	3816	1549
L09152	6	-46,3701164	-23,4900163	3791	0,1583	0,551	5842	4435	1407
L09153	4	-46,3413970	-23,4678340	2123	0,1884	0,3673	2928	2373	555
L09154	1	-46,3529210	-23,4819400	4747	0,0211	0,0918	7861	5407	2454
L09155	3	-46,3406160	-23,4952500	2772	0,1082	0,2755	4358	3277	1081
L09156	1	-46,3572660	-23,4877550	4030	0,0248	0,0918	6075	4608	1467
L09157	1	-46,3654951	-23,4836833	1179	0,0848	0,0918	1917	1353	564
L09158	1	-46,3445017	-23,4670217	2288	0,0437	0,0918	3817	2591	1226
L09159	1	-46,3700557	-23,4811568	4431	0,0226	0,0918	6742	5005	1737
L09161	2	-46,3520985	-23,5024552	5109	0,0391	0,1837	8074	5947	2127
L09162	1	-46,3625806	-23,4990150	3099	0,0323	0,0918	4900	3723	1177
L09163	4	-46,3427120	-23,5018550	3336	0,1199	0,3673	5018	3870	1148
L09164	4	-46,3456739	-23,4975290	2479	0,1614	0,3673	3752	2803	949
L09165	2	-46,3542090	-23,4789029	2865	0,0698	0,1837	4773	3253	1520
L09166	1	-46,3507535	-23,4758169	2553	0,0392	0,0918	4075	3031	1044
L09167	1	-46,3439136	-23,4665189	779	0,1284	0,0918	1097	879	218
L09168	1	-46,3552766	-23,4745989	1539	0,065	0,0918	2394	1737	657
L09170	1	-46,3660400	-23,4833070	1666	0,06	0,0918	2756	1889	867
L09172	1	-46,3513510	-23,4801915	876	0,1142	0,0918	1446	1050	396
L09173	11	-46,3439125	-23,4968267	3971	0,277	1,0101	6253	4609	1644
L10675	1	-46,3801550	-23,4611620	3231	0,031	0,0918	4804	3677	1127
L10676	3	-46,3120587	-23,4303515	2342	0,1281	0,2755	3429	2765	664
L10678	2	-46,3295865	-23,4697518	3232	0,0619	0,1837	4502	3582	920
L10680	5	-46,3279668	-23,4628373	2826	0,1769	0,4591	4281	3199	1082
L10681	7	-46,3044635	-23,4389012	4315	0,1622	0,6428	6148	4883	1265
L10682	10	-46,3171399	-23,4397659	4577	0,2185	0,9183	6728	5087	1641
L10683	2	-46,3538519	-23,4547514	4198	0,0476	0,1837	5993	4638	1355
L10684	354	-46,2892417	-23,4733774	4047	8,7472	32,5069	6224	4652	1572
L10686	1	-46,3577159	-23,4504049	2554	0,0392	0,0918	3828	2856	972
L10688	1	-46,3469192	-23,4249880	2702	0,037	0,0918	3799	3074	725
L10689	3	-46,3236299	-23,4356769	4585	0,0654	0,2755	6415	5114	1301
L10690	323	-46,3008586	-23,4899756	4649	6,9477	29,6602	7227	5543	1684
L10691	16	-46,3027817	-23,4646476	2303	0,6947	1,4692	3533	2639	894
L10692	3	-46,3190940	-23,4664163	4014	0,0747	0,2755	5755	4508	1247
L10694	4	-46,3341386	-23,4592433	2672	0,1497	0,3673	3943	3097	846
L10695	3	-46,3399135	-23,4521607	2243	0,1337	0,2755	3118	2498	620
L10696	152	-46,3014769	-23,4851122	3727	4,0783	13,9578	5632	4343	1289
L10697	2	-46,3200416	-23,4795391	601	0,3328	0,1837	836	670	166
L10699	2	-46,3186768	-23,4365166	1352	0,1479	0,1837	1878	1546	332
L10700	1	-46,3468833	-23,4505081	1667	0,06	0,0918	2393	1926	467
L10701	18	-46,3036059	-23,4752869	1250	1,44	1,6529	1770	1459	311
L10704	1	-46,3403647	-23,4520104	2615	0,0382	0,0918	3621	2921	700
L10705	115	-46,2924618	-23,4665017	1864	6,1695	10,5601	2993	2184	809
L10708	2	-46,3281179	-23,4632699	4633	0,0432	0,1837	6872	5234	1638
