cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07253	2	-46,9008564	-23,5498915	2087	0,0958	4,0	3065	2378	687
L07254	1	-46,9142235	-23,5435396	2896	0,0345	2,0	4211	3269	942
L07255	5	-46,9013489	-23,5395346	5157	0,097	10,0	7716	5711	2005
L07256	9	-46,9104933	-23,5381249	4149	0,2169	18,0	6219	4569	1650
L07257	1	-46,8961948	-23,5432696	2855	0,035	2,0	4263	3263	1000
L07258	2	-46,9094320	-23,5335789	2312	0,0865	4,0	3242	2587	655
L07261	2	-46,9057224	-23,5495379	3796	0,0527	4,0	5786	4388	1398
L07262	1	-46,9002606	-23,5309605	2094	0,0478	2,0	3286	2420	866
L07263	6	-46,9013361	-23,5280428	3321	0,1807	12,0	5604	3857	1747
L07266	2	-46,8991339	-23,5389519	2606	0,0767	4,0	3792	2932	860
L07267	2	-46,8981381	-23,5427233	1472	0,1359	4,0	2255	1718	537
L07268	9	-46,9090909	-23,5410429	3690	0,2439	18,0	5609	4149	1460
L07270	3	-46,9116469	-23,5411879	1369	0,2191	6,0	1921	1524	397
L07271	5	-46,9072444	-23,5352024	1432	0,3492	10,0	2046	1590	456
