cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04612	19	-47,0078160	-23,9810220	471	4,034	6,6667	677	496	181
L04623	11	-47,1457094	-23,9855935	1683	0,6536	3,8596	2306	1785	521
L04637	3	-47,0672077	-23,9302514	641	0,468	1,0526	962	682	280
L04651	29	-47,0823554	-23,9173560	1572	1,8448	10,1754	2102	1647	455
L04659	3	-47,0558692	-23,8919269	609	0,4926	1,0526	803	643	160
L04666	10	-47,0702120	-23,9384280	1014	0,9862	3,5088	1396	1101	295
L04668	37	-47,0718525	-23,9302384	2889	1,2807	12,9825	4023	3041	982
L04669	8	-47,0609325	-23,9398564	1204	0,6645	2,807	1647	1272	375
L04670	100	-46,9890827	-23,8971869	821	12,1803	35,0877	1205	878	327
L04671	1	-47,0607349	-23,9797848	412	0,2427	0,3509	528	426	102
L04673	11	-47,0091043	-23,9297344	1098	1,0018	3,8596	1482	1167	315
L04677	33	-47,0656011	-23,9240093	2223	1,4845	11,5789	3024	2363	661
L04681	2	-47,0390913	-23,9390083	852	0,2347	0,7018	1126	914	212
L04683	3	-47,1213974	-23,8622332	230	1,3043	1,0526	286	240	46
L04684	7	-47,1446593	-23,9863604	1338	0,5232	2,4561	1748	1443	305
L04686	8	-47,1563084	-23,9500027	307	2,6059	2,807	404	322	82
