cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03938	2	-46,6460688	-23,2889527	990	0,202	1,0309	1456	1138	318
L05338	3	-46,5722173	-23,3107831	2214	0,1355	1,5464	3250	2472	778
L05339	1	-46,5877846	-23,3266902	1945	0,0514	0,5155	2877	2184	693
L05340	38	-46,5906345	-23,2716104	1357	2,8003	19,5876	1974	1534	440
L05345	43	-46,5877068	-23,2631408	2125	2,0235	22,1649	3210	2416	794
L05347	3	-46,5882908	-23,3141009	2321	0,1293	1,5464	3492	2574	918
L05349	1	-46,5763771	-23,3175491	1580	0,0633	0,5155	2388	1806	582
L05356	1	-46,5883950	-23,3197369	1089	0,0918	0,5155	1761	1233	528
L05357	1	-46,6563144	-23,4298322	530	0,1887	0,5155	888	672	216
L05358	1	-46,5928417	-23,3238783	1922	0,052	0,5155	2852	2125	727
L05359	37	-46,5945168	-23,2608733	1854	1,9957	19,0722	2892	2128	764
L05361	1	-46,5868211	-23,3278612	1370	0,073	0,5155	2069	1533	536
L05362	6	-46,5887265	-23,2478900	1130	0,531	3,0928	1718	1326	392
L05364	19	-46,5941562	-23,2594900	1405	1,3523	9,7938	2117	1591	526
L05365	37	-46,5886868	-23,2657826	1456	2,5412	19,0722	2140	1620	520
