cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03938	6	-46,6460688	-23,2889527	990	0,6061	1,1952	1456	1138	318
L05335	9	-46,5915298	-23,3244220	1375	0,6545	1,7928	2138	1510	628
L05336	1	-46,6330630	-23,3852005	824	0,1214	0,1992	1334	938	396
L05337	15	-46,5754440	-23,3266774	502	2,988	2,988	746	574	172
L05338	35	-46,5722173	-23,3107831	2214	1,5808	6,9721	3250	2472	778
L05339	82	-46,5877846	-23,3266902	1945	4,2159	16,3347	2877	2184	693
L05340	3	-46,5906345	-23,2716104	1357	0,2211	0,5976	1974	1534	440
L05342	2	-46,6599913	-23,3411719	1273	0,1571	0,3984	1933	1417	516
L05343	6	-46,5755852	-23,3382444	893	0,6719	1,1952	1263	999	264
L05344	26	-46,5659638	-23,3035285	1694	1,5348	5,1793	2643	1920	723
L05345	3	-46,5877068	-23,2631408	2125	0,1412	0,5976	3210	2416	794
L05346	36	-46,5888397	-23,3189368	2548	1,4129	7,1713	4091	2811	1280
L05347	27	-46,5882908	-23,3141009	2321	1,1633	5,3785	3492	2574	918
L05348	30	-46,5833274	-23,3281805	886	3,386	5,9761	1282	996	286
L05349	18	-46,5763771	-23,3175491	1580	1,1392	3,5857	2388	1806	582
L05350	1	-46,5452403	-23,3478246	658	0,152	0,1992	943	707	236
L05351	8	-46,6164272	-23,3616694	927	0,863	1,5936	1411	1066	345
L05352	7	-46,5332635	-23,3167878	1100	0,6364	1,3944	1587	1190	397
L05354	11	-46,5251471	-23,2795488	809	1,3597	2,1912	1151	885	266
L05355	6	-46,5921029	-23,3246363	649	0,9245	1,1952	920	723	197
L05356	23	-46,5883950	-23,3197369	1089	2,112	4,5817	1761	1233	528
L05357	2	-46,6563144	-23,4298322	530	0,3774	0,3984	888	672	216
L05358	30	-46,5928417	-23,3238783	1922	1,5609	5,9761	2852	2125	727
L05359	11	-46,5945168	-23,2608733	1854	0,5933	2,1912	2892	2128	764
L05360	9	-46,6305845	-23,3220305	1015	0,8867	1,7928	1594	1129	465
L05361	78	-46,5868211	-23,3278612	1370	5,6934	15,5378	2069	1533	536
L05363	6	-46,5744032	-23,3126887	488	1,2295	1,1952	710	540	170
L05364	3	-46,5941562	-23,2594900	1405	0,2135	0,5976	2117	1591	526
L05365	5	-46,5886868	-23,2657826	1456	0,3434	0,996	2140	1620	520
L05366	3	-46,5758638	-23,3162764	723	0,4149	0,5976	1043	799	244
