cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04967	6	-46,4796674	-23,6979772	56	10,7143	0,0085	72	59	13
L04968	236	-46,4574851	-23,6742405	1131	20,8665	0,3348	1785	1375	410
L04969	839	-46,4600566	-23,6873031	2760	30,3986	1,1902	4421	3312	1109
L04970	987	-46,4477655	-23,6812088	2942	33,5486	1,4002	4611	3603	1008
L04971	509	-46,4583197	-23,6949894	1521	33,4648	0,7221	2226	1841	385
L04972	474	-46,4532906	-23,6893084	1819	26,0583	0,6724	2924	2252	672
L04973	808	-46,4522160	-23,6784560	2966	27,2421	1,1463	4879	3540	1339
L04974	1114	-46,4513595	-23,7002391	2970	37,5084	1,5804	4809	3672	1137
L04975	803	-46,4502833	-23,6883457	2670	30,0749	1,1392	4313	3150	1163
L04976	851	-46,4414222	-23,6847287	2604	32,6805	1,2073	4019	3106	913
L04977	417	-46,4629009	-23,6745649	1639	25,4423	0,5916	2761	1968	793
L04978	564	-46,4730680	-23,6686799	2281	24,726	0,8001	3846	2911	935
L04979	767	-46,4766607	-23,6697433	3338	22,9778	1,0881	5763	4202	1561
L04980	1253	-46,4439840	-23,6895789	4066	30,8165	1,7776	6359	4876	1483
L04981	776	-46,4553031	-23,6818891	2851	27,2185	1,1009	4587	3431	1156
L04982	601	-46,4658220	-23,6696613	2606	23,0622	0,8526	4236	3153	1083
L04983	384	-46,4834643	-23,6986859	958	40,0835	0,5448	1575	1203	372
L04984	954	-46,4570504	-23,7010895	2609	36,5657	1,3534	4166	3228	938
L04985	406	-46,4458379	-23,6939070	1288	31,5217	0,576	1963	1597	366
L04986	444	-46,4564260	-23,6687580	1609	27,5948	0,6299	2847	1925	922
L04987	1060	-46,4622729	-23,6841270	3753	28,2441	1,5038	5959	4557	1402
L04988	254	-46,4644432	-23,6881220	809	31,3968	0,3603	1303	985	318
L04989	116	-46,4532290	-23,6902920	470	24,6809	0,1646	759	593	166
L04990	287	-46,4729787	-23,6695050	1399	20,5147	0,4071	2353	1833	520
L04991	335	-46,4614294	-23,6802922	1127	29,7249	0,4752	1771	1374	397
L04992	338	-46,4408824	-23,6848710	1097	30,8113	0,4795	1708	1356	352
L04993	103	-46,4507263	-23,6783287	344	29,9419	0,1461	526	422	104
L04994	573	-46,4601248	-23,6636053	1403	40,8411	0,8129	2314	1731	583
L07944	713	-46,4326657	-23,6791565	2022	35,2621	1,0115	3110	2442	668
L07945	345	-46,4533845	-23,6697133	1312	26,2957	0,4894	1994	1560	434
L07946	514	-46,4543130	-23,6692839	1734	29,6424	0,7292	2689	2076	613
L07947	1013	-46,4599652	-23,6619152	2807	36,0884	1,4371	4596	3368	1228
L07948	1126	-46,4579869	-23,6614480	2844	39,5921	1,5974	4526	3387	1139
L07949	1176	-46,4337880	-23,6734459	3068	38,3312	1,6683	4641	3702	939
L07950	248	-46,4914550	-23,6542635	524	47,3282	0,3518	978	686	292
L07951	1248	-46,4252907	-23,6774988	3038	41,0797	1,7705	4933	3740	1193
L07952	825	-46,4352982	-23,6685238	2462	33,5093	1,1704	4004	2973	1031
L07953	1043	-46,4634102	-23,6563537	2381	43,8051	1,4796	3891	2943	948
L07954	1127	-46,4414359	-23,6672899	3225	34,9457	1,5988	5192	3991	1201
L07955	867	-46,4432080	-23,6780360	2766	31,3449	1,23	4261	3331	930
L07956	1069	-46,4649894	-23,6565613	2612	40,9265	1,5165	4299	3160	1139
L07957	904	-46,4532737	-23,6581964	2534	35,6748	1,2825	3925	3006	919
L07958	665	-46,4383159	-23,6849970	2019	32,9371	0,9434	3188	2472	716
L07959	1084	-46,4538761	-23,6469908	3347	32,3872	1,5378	5167	4033	1134
L07960	597	-46,4827594	-23,6255567	1683	35,4724	0,8469	3614	2417	1197
L07961	685	-46,4351660	-23,6823810	1820	37,6374	0,9718	2866	2269	597
