cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	141	-46,4574851	-23,6742405	1131	12,4668	0,7775	1785	1375	410
L04969	397	-46,4600566	-23,6873031	2760	14,3841	2,1893	4421	3312	1109
L04970	342	-46,4477655	-23,6812088	2942	11,6247	1,886	4611	3603	1008
L04971	229	-46,4583197	-23,6949894	1521	15,0559	1,2628	2226	1841	385
L04972	306	-46,4532906	-23,6893084	1819	16,8224	1,6874	2924	2252	672
L04973	426	-46,4522160	-23,6784560	2966	14,3628	2,3492	4879	3540	1339
L04974	373	-46,4513595	-23,7002391	2970	12,5589	2,0569	4809	3672	1137
L04975	382	-46,4502833	-23,6883457	2670	14,3071	2,1065	4313	3150	1163
L04976	345	-46,4414222	-23,6847287	2604	13,2488	1,9025	4019	3106	913
L04977	183	-46,4629009	-23,6745649	1639	11,1653	1,0092	2761	1968	793
L04978	348	-46,4730680	-23,6686799	2281	15,2565	1,919	3846	2911	935
L04979	518	-46,4766607	-23,6697433	3338	15,5183	2,8565	5763	4202	1561
L04980	511	-46,4439840	-23,6895789	4066	12,5676	2,8179	6359	4876	1483
L04981	423	-46,4553031	-23,6818891	2851	14,8369	2,3326	4587	3431	1156
L04982	346	-46,4658220	-23,6696613	2606	13,2771	1,908	4236	3153	1083
L04983	118	-46,4834643	-23,6986859	958	12,3173	0,6507	1575	1203	372
L04984	326	-46,4570504	-23,7010895	2609	12,4952	1,7977	4166	3228	938
L04985	163	-46,4458379	-23,6939070	1288	12,6553	0,8989	1963	1597	366
L04986	227	-46,4564260	-23,6687580	1609	14,1081	1,2518	2847	1925	922
L04987	415	-46,4622729	-23,6841270	3753	11,0578	2,2885	5959	4557	1402
L04988	82	-46,4644432	-23,6881220	809	10,136	0,4522	1303	985	318
L04989	71	-46,4532290	-23,6902920	470	15,1064	0,3915	759	593	166
L04990	181	-46,4729787	-23,6695050	1399	12,9378	0,9981	2353	1833	520
L04991	119	-46,4614294	-23,6802922	1127	10,559	0,6562	1771	1374	397
L04992	141	-46,4408824	-23,6848710	1097	12,8532	0,7775	1708	1356	352
L04993	44	-46,4507263	-23,6783287	344	12,7907	0,2426	526	422	104
L04994	85	-46,4601248	-23,6636053	1403	6,0584	0,4687	2314	1731	583
L07944	178	-46,4326657	-23,6791565	2022	8,8032	0,9816	3110	2442	668
L07945	164	-46,4533845	-23,6697133	1312	12,5	0,9044	1994	1560	434
L07946	221	-46,4543130	-23,6692839	1734	12,7451	1,2187	2689	2076	613
L07947	210	-46,4599652	-23,6619152	2807	7,4813	1,158	4596	3368	1228
L07948	202	-46,4579869	-23,6614480	2844	7,1027	1,1139	4526	3387	1139
L07949	229	-46,4337880	-23,6734459	3068	7,4641	1,2628	4641	3702	939
L07950	37	-46,4914550	-23,6542635	524	7,0611	0,204	978	686	292
L07951	267	-46,4252907	-23,6774988	3038	8,7887	1,4724	4933	3740	1193
L07952	201	-46,4352982	-23,6685238	2462	8,1641	1,1084	4004	2973	1031
L07953	137	-46,4634102	-23,6563537	2381	5,7539	0,7555	3891	2943	948
L07954	324	-46,4414359	-23,6672899	3225	10,0465	1,7867	5192	3991	1201
L07955	278	-46,4432080	-23,6780360	2766	10,0506	1,533	4261	3331	930
L07956	183	-46,4649894	-23,6565613	2612	7,0061	1,0092	4299	3160	1139
L07957	194	-46,4532737	-23,6581964	2534	7,6559	1,0698	3925	3006	919
L07958	254	-46,4383159	-23,6849970	2019	12,5805	1,4007	3188	2472	716
L07959	347	-46,4538761	-23,6469908	3347	10,3675	1,9135	5167	4033	1134
L07960	308	-46,4827594	-23,6255567	1683	18,3007	1,6985	3614	2417	1197
L07961	199	-46,4351660	-23,6823810	1820	10,9341	1,0974	2866	2269	597
L07962	338	-46,4778274	-23,6326659	1996	16,9339	1,8639	3822	2774	1048
L07963	444	-46,4385544	-23,6768498	4043	10,9819	2,4484	6823	4971	1852
L07964	190	-46,4697191	-23,6605170	3174	5,9861	1,0478	5277	3891	1386
L07965	132	-46,4572269	-23,6621240	2140	6,1682	0,7279	3516	2638	878
