cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	1	-46,4574851	-23,6742405	1172	0,0853	0,4032	1785	1375	410
L04970	2	-46,4477655	-23,6812088	3135	0,0638	0,8065	4611	3603	1008
L04972	3	-46,4532906	-23,6893084	1981	0,1514	1,2097	2924	2252	672
L04974	2	-46,4513595	-23,7002391	3208	0,0623	0,8065	4809	3672	1137
L04976	3	-46,4414222	-23,6847287	2767	0,1084	1,2097	4019	3106	913
L04977	1	-46,4629009	-23,6745649	1733	0,0577	0,4032	2761	1968	793
L04978	6	-46,4730680	-23,6686799	2439	0,246	2,4194	3846	2911	935
L04979	1	-46,4766607	-23,6697433	3522	0,0284	0,4032	5763	4202	1561
L04980	3	-46,4439840	-23,6895789	4351	0,0689	1,2097	6359	4876	1483
L04981	1	-46,4553031	-23,6818891	3044	0,0329	0,4032	4587	3431	1156
L04982	2	-46,4658220	-23,6696613	2663	0,0751	0,8065	4236	3153	1083
L04985	1	-46,4458379	-23,6939070	1354	0,0739	0,4032	1963	1597	366
L04987	1	-46,4622729	-23,6841270	4017	0,0249	0,4032	5959	4557	1402
L04990	4	-46,4729787	-23,6695050	1466	0,2729	1,6129	2353	1833	520
L07945	1	-46,4533845	-23,6697133	1354	0,0739	0,4032	1994	1560	434
L07947	1	-46,4599652	-23,6619152	2943	0,034	0,4032	4596	3368	1228
L07949	11	-46,4337880	-23,6734459	3263	0,3371	4,4355	4641	3702	939
L07951	1	-46,4252907	-23,6774988	3259	0,0307	0,4032	4933	3740	1193
L07952	8	-46,4352982	-23,6685238	2622	0,3051	3,2258	4004	2973	1031
L07953	1	-46,4634102	-23,6563537	2593	0,0386	0,4032	3891	2943	948
L07954	6	-46,4414359	-23,6672899	3408	0,1761	2,4194	5192	3991	1201
L07955	3	-46,4432080	-23,6780360	2953	0,1016	1,2097	4261	3331	930
L07957	1	-46,4532737	-23,6581964	2676	0,0374	0,4032	3925	3006	919
L07958	1	-46,4383159	-23,6849970	2137	0,0468	0,4032	3188	2472	716
L07961	4	-46,4351660	-23,6823810	1958	0,2043	1,6129	2866	2269	597
L07962	2	-46,4778274	-23,6326659	2115	0,0946	0,8065	3822	2774	1048
L07963	6	-46,4385544	-23,6768498	4296	0,1397	2,4194	6823	4971	1852
L07964	2	-46,4697191	-23,6605170	3382	0,0591	0,8065	5277	3891	1386
L07965	1	-46,4572269	-23,6621240	2275	0,044	0,4032	3516	2638	878
L07966	3	-46,4496405	-23,6701576	3478	0,0863	1,2097	5442	3957	1485
L07967	2	-46,4422652	-23,6677092	941	0,2125	0,8065	1323	1079	244
L07968	1	-46,4535810	-23,6509657	2551	0,0392	0,4032	3765	2936	829
L08739	4	-46,4487777	-23,6615716	2433	0,1644	1,6129	3636	2747	889
L08740	5	-46,4105952	-23,6690312	2542	0,1967	2,0161	3615	2925	690
L08741	6	-46,4243413	-23,6577928	3331	0,1801	2,4194	4825	3739	1086
L08742	18	-46,4293810	-23,6585478	3704	0,486	7,2581	5609	4226	1383
L08743	4	-46,4243428	-23,6578794	3480	0,1149	1,6129	5089	3904	1185
L08745	1	-46,4464627	-23,6570993	3192	0,0313	0,4032	4906	3628	1278
L08747	5	-46,4383301	-23,6513658	3290	0,152	2,0161	4917	3803	1114
L08748	3	-46,4427864	-23,6495818	3874	0,0774	1,2097	5442	4319	1123
L08749	30	-46,4315241	-23,6634682	3749	0,8002	12,0968	5699	4313	1386
L08750	1	-46,4150183	-23,6757834	3449	0,029	0,4032	5046	3924	1122
L08751	3	-46,4238909	-23,6647312	3455	0,0868	1,2097	4976	3982	994
L08753	3	-46,4388584	-23,6504592	3581	0,0838	1,2097	5309	4063	1246
L08754	9	-46,4400344	-23,6584764	3355	0,2683	3,629	4910	3798	1112
L08755	20	-46,4342040	-23,6567620	1933	1,0347	8,0645	2767	2208	559
L08756	1	-46,4494430	-23,6494280	2631	0,038	0,4032	3775	3041	734
L08757	9	-46,4236609	-23,6705830	4371	0,2059	3,629	6485	4862	1623
L08758	6	-46,4226828	-23,6720132	3121	0,1922	2,4194	4480	3538	942
L08759	2	-46,4326520	-23,6478318	4280	0,0467	0,8065	6145	4825	1320
L08760	2	-46,4280158	-23,6753764	3464	0,0577	0,8065	5097	4022	1075
L08761	1	-46,4118947	-23,6823737	1093	0,0915	0,4032	1563	1272	291
L08762	3	-46,4341396	-23,6468528	2901	0,1034	1,2097	4043	3291	752
L08764	4	-46,4383782	-23,6530148	1136	0,3521	1,6129	1574	1266	308
L08765	5	-46,4253633	-23,6581240	1317	0,3797	2,0161	1871	1501	370
L08766	2	-46,4412049	-23,6515609	1435	0,1394	0,8065	2148	1653	495
L08768	1	-46,4149832	-23,6657142	1215	0,0823	0,4032	1675	1392	283
L08769	2	-46,4448738	-23,6503312	1551	0,1289	0,8065	2172	1738	434
L08770	12	-46,4323840	-23,6590010	1010	1,1881	4,8387	1519	1186	333
