cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	1	-46,4574851	-23,6742405	1172	0,0853	0,303	1785	1375	410
L04969	5	-46,4600566	-23,6873031	2907	0,172	1,5152	4421	3312	1109
L04970	4	-46,4477655	-23,6812088	3135	0,1276	1,2121	4611	3603	1008
L04972	1	-46,4532906	-23,6893084	1981	0,0505	0,303	2924	2252	672
L04973	4	-46,4522160	-23,6784560	3125	0,128	1,2121	4879	3540	1339
L04974	5	-46,4513595	-23,7002391	3208	0,1559	1,5152	4809	3672	1137
L04975	3	-46,4502833	-23,6883457	2765	0,1085	0,9091	4313	3150	1163
L04976	3	-46,4414222	-23,6847287	2767	0,1084	0,9091	4019	3106	913
L04978	6	-46,4730680	-23,6686799	2439	0,246	1,8182	3846	2911	935
L04979	6	-46,4766607	-23,6697433	3522	0,1704	1,8182	5763	4202	1561
L04980	9	-46,4439840	-23,6895789	4351	0,2068	2,7273	6359	4876	1483
L04981	2	-46,4553031	-23,6818891	3044	0,0657	0,6061	4587	3431	1156
L04983	1	-46,4834643	-23,6986859	1064	0,094	0,303	1575	1203	372
L04984	5	-46,4570504	-23,7010895	2788	0,1793	1,5152	4166	3228	938
L04985	1	-46,4458379	-23,6939070	1354	0,0739	0,303	1963	1597	366
L04986	1	-46,4564260	-23,6687580	1674	0,0597	0,303	2847	1925	922
L04987	1	-46,4622729	-23,6841270	4017	0,0249	0,303	5959	4557	1402
L04990	1	-46,4729787	-23,6695050	1466	0,0682	0,303	2353	1833	520
L04991	2	-46,4614294	-23,6802922	1186	0,1686	0,6061	1771	1374	397
L04992	2	-46,4408824	-23,6848710	1198	0,1669	0,6061	1708	1356	352
L04994	4	-46,4601248	-23,6636053	1493	0,2679	1,2121	2314	1731	583
L07944	4	-46,4326657	-23,6791565	2145	0,1865	1,2121	3110	2442	668
L07946	2	-46,4543130	-23,6692839	1833	0,1091	0,6061	2689	2076	613
L07947	7	-46,4599652	-23,6619152	2943	0,2379	2,1212	4596	3368	1228
L07948	4	-46,4579869	-23,6614480	2978	0,1343	1,2121	4526	3387	1139
L07949	6	-46,4337880	-23,6734459	3263	0,1839	1,8182	4641	3702	939
L07950	2	-46,4914550	-23,6542635	545	0,367	0,6061	978	686	292
L07951	4	-46,4252907	-23,6774988	3259	0,1227	1,2121	4933	3740	1193
L07952	4	-46,4352982	-23,6685238	2622	0,1526	1,2121	4004	2973	1031
