cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04969	2	-46,4600566	-23,6873031	2907	0,0688	2,2222	4421	3312	1109
L04970	1	-46,4477655	-23,6812088	3135	0,0319	1,1111	4611	3603	1008
L04973	1	-46,4522160	-23,6784560	3125	0,032	1,1111	4879	3540	1339
L04978	1	-46,4730680	-23,6686799	2439	0,041	1,1111	3846	2911	935
L04981	4	-46,4553031	-23,6818891	3044	0,1314	4,4444	4587	3431	1156
L04987	3	-46,4622729	-23,6841270	4017	0,0747	3,3333	5959	4557	1402
L04988	3	-46,4644432	-23,6881220	830	0,3614	3,3333	1303	985	318
L04991	4	-46,4614294	-23,6802922	1186	0,3373	4,4444	1771	1374	397
L04992	1	-46,4408824	-23,6848710	1198	0,0835	1,1111	1708	1356	352
L07946	1	-46,4543130	-23,6692839	1833	0,0546	1,1111	2689	2076	613
L07947	3	-46,4599652	-23,6619152	2943	0,1019	3,3333	4596	3368	1228
L07948	4	-46,4579869	-23,6614480	2978	0,1343	4,4444	4526	3387	1139
L07953	1	-46,4634102	-23,6563537	2593	0,0386	1,1111	3891	2943	948
L07954	1	-46,4414359	-23,6672899	3408	0,0293	1,1111	5192	3991	1201
L07955	1	-46,4432080	-23,6780360	2953	0,0339	1,1111	4261	3331	930
L07957	1	-46,4532737	-23,6581964	2676	0,0374	1,1111	3925	3006	919
L07959	4	-46,4538761	-23,6469908	3554	0,1125	4,4444	5167	4033	1134
L07963	1	-46,4385544	-23,6768498	4296	0,0233	1,1111	6823	4971	1852
L07966	2	-46,4496405	-23,6701576	3478	0,0575	2,2222	5442	3957	1485
L07968	1	-46,4535810	-23,6509657	2551	0,0392	1,1111	3765	2936	829
L08739	3	-46,4487777	-23,6615716	2433	0,1233	3,3333	3636	2747	889
L08742	3	-46,4293810	-23,6585478	3704	0,081	3,3333	5609	4226	1383
L08743	1	-46,4243428	-23,6578794	3480	0,0287	1,1111	5089	3904	1185
L08746	3	-46,4419931	-23,6513988	1965	0,1527	3,3333	2953	2203	750
L08747	6	-46,4383301	-23,6513658	3290	0,1824	6,6667	4917	3803	1114
L08748	4	-46,4427864	-23,6495818	3874	0,1033	4,4444	5442	4319	1123
L08753	5	-46,4388584	-23,6504592	3581	0,1396	5,5556	5309	4063	1246
L08756	2	-46,4494430	-23,6494280	2631	0,076	2,2222	3775	3041	734
L08759	7	-46,4326520	-23,6478318	4280	0,1636	7,7778	6145	4825	1320
L08760	1	-46,4280158	-23,6753764	3464	0,0289	1,1111	5097	4022	1075
L08762	9	-46,4341396	-23,6468528	2901	0,3102	10,0	4043	3291	752
L08764	1	-46,4383782	-23,6530148	1136	0,088	1,1111	1574	1266	308
L08765	2	-46,4253633	-23,6581240	1317	0,1519	2,2222	1871	1501	370
L08769	3	-46,4448738	-23,6503312	1551	0,1934	3,3333	2172	1738	434
