cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04969	2	-46,4600566	-23,6873031	2907	0,0688	1,2121	4421	3312	1109
L04970	3	-46,4477655	-23,6812088	3135	0,0957	1,8182	4611	3603	1008
L04971	1	-46,4583197	-23,6949894	1598	0,0626	0,6061	2226	1841	385
L04972	3	-46,4532906	-23,6893084	1981	0,1514	1,8182	2924	2252	672
L04973	3	-46,4522160	-23,6784560	3125	0,096	1,8182	4879	3540	1339
L04974	1	-46,4513595	-23,7002391	3208	0,0312	0,6061	4809	3672	1137
L04975	5	-46,4502833	-23,6883457	2765	0,1808	3,0303	4313	3150	1163
L04976	3	-46,4414222	-23,6847287	2767	0,1084	1,8182	4019	3106	913
L04978	5	-46,4730680	-23,6686799	2439	0,205	3,0303	3846	2911	935
L04979	2	-46,4766607	-23,6697433	3522	0,0568	1,2121	5763	4202	1561
L04980	4	-46,4439840	-23,6895789	4351	0,0919	2,4242	6359	4876	1483
L04981	4	-46,4553031	-23,6818891	3044	0,1314	2,4242	4587	3431	1156
L04982	3	-46,4658220	-23,6696613	2663	0,1127	1,8182	4236	3153	1083
L04984	3	-46,4570504	-23,7010895	2788	0,1076	1,8182	4166	3228	938
L04985	1	-46,4458379	-23,6939070	1354	0,0739	0,6061	1963	1597	366
L04986	2	-46,4564260	-23,6687580	1674	0,1195	1,2121	2847	1925	922
L04987	1	-46,4622729	-23,6841270	4017	0,0249	0,6061	5959	4557	1402
L04990	5	-46,4729787	-23,6695050	1466	0,3411	3,0303	2353	1833	520
L04993	1	-46,4507263	-23,6783287	353	0,2833	0,6061	526	422	104
L04994	1	-46,4601248	-23,6636053	1493	0,067	0,6061	2314	1731	583
L07944	1	-46,4326657	-23,6791565	2145	0,0466	0,6061	3110	2442	668
L07945	1	-46,4533845	-23,6697133	1354	0,0739	0,6061	1994	1560	434
L07946	1	-46,4543130	-23,6692839	1833	0,0546	0,6061	2689	2076	613
L07947	4	-46,4599652	-23,6619152	2943	0,1359	2,4242	4596	3368	1228
L07948	2	-46,4579869	-23,6614480	2978	0,0672	1,2121	4526	3387	1139
L07949	1	-46,4337880	-23,6734459	3263	0,0306	0,6061	4641	3702	939
L07951	5	-46,4252907	-23,6774988	3259	0,1534	3,0303	4933	3740	1193
L07952	3	-46,4352982	-23,6685238	2622	0,1144	1,8182	4004	2973	1031
L07953	4	-46,4634102	-23,6563537	2593	0,1543	2,4242	3891	2943	948
L07954	7	-46,4414359	-23,6672899	3408	0,2054	4,2424	5192	3991	1201
L07955	1	-46,4432080	-23,6780360	2953	0,0339	0,6061	4261	3331	930
L07956	7	-46,4649894	-23,6565613	2809	0,2492	4,2424	4299	3160	1139
L07958	1	-46,4383159	-23,6849970	2137	0,0468	0,6061	3188	2472	716
L07959	3	-46,4538761	-23,6469908	3554	0,0844	1,8182	5167	4033	1134
L07960	6	-46,4827594	-23,6255567	1824	0,3289	3,6364	3614	2417	1197
L07962	3	-46,4778274	-23,6326659	2115	0,1418	1,8182	3822	2774	1048
L07963	2	-46,4385544	-23,6768498	4296	0,0466	1,2121	6823	4971	1852
L07964	1	-46,4697191	-23,6605170	3382	0,0296	0,6061	5277	3891	1386
L07966	2	-46,4496405	-23,6701576	3478	0,0575	1,2121	5442	3957	1485
L07967	1	-46,4422652	-23,6677092	941	0,1063	0,6061	1323	1079	244
L07968	1	-46,4535810	-23,6509657	2551	0,0392	0,6061	3765	2936	829
L08739	2	-46,4487777	-23,6615716	2433	0,0822	1,2121	3636	2747	889
L08741	3	-46,4243413	-23,6577928	3331	0,0901	1,8182	4825	3739	1086
L08742	3	-46,4293810	-23,6585478	3704	0,081	1,8182	5609	4226	1383
L08743	1	-46,4243428	-23,6578794	3480	0,0287	0,6061	5089	3904	1185
L08744	1	-46,4127000	-23,6820830	1503	0,0665	0,6061	2157	1743	414
L08745	1	-46,4464627	-23,6570993	3192	0,0313	0,6061	4906	3628	1278
L08746	1	-46,4419931	-23,6513988	1965	0,0509	0,6061	2953	2203	750
L08747	3	-46,4383301	-23,6513658	3290	0,0912	1,8182	4917	3803	1114
L08748	2	-46,4427864	-23,6495818	3874	0,0516	1,2121	5442	4319	1123
L08749	5	-46,4315241	-23,6634682	3749	0,1334	3,0303	5699	4313	1386
L08750	2	-46,4150183	-23,6757834	3449	0,058	1,2121	5046	3924	1122
L08751	1	-46,4238909	-23,6647312	3455	0,0289	0,6061	4976	3982	994
L08752	2	-46,4216183	-23,6705553	2219	0,0901	1,2121	3120	2454	666
L08753	1	-46,4388584	-23,6504592	3581	0,0279	0,6061	5309	4063	1246
L08754	7	-46,4400344	-23,6584764	3355	0,2086	4,2424	4910	3798	1112
L08757	3	-46,4236609	-23,6705830	4371	0,0686	1,8182	6485	4862	1623
L08758	3	-46,4226828	-23,6720132	3121	0,0961	1,8182	4480	3538	942
L08759	8	-46,4326520	-23,6478318	4280	0,1869	4,8485	6145	4825	1320
L08760	1	-46,4280158	-23,6753764	3464	0,0289	0,6061	5097	4022	1075
L08761	1	-46,4118947	-23,6823737	1093	0,0915	0,6061	1563	1272	291
L08762	1	-46,4341396	-23,6468528	2901	0,0345	0,6061	4043	3291	752
L08766	1	-46,4412049	-23,6515609	1435	0,0697	0,6061	2148	1653	495
L08767	2	-46,4190132	-23,6496273	1335	0,1498	1,2121	1853	1517	336
