cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04969	12	-46,4600566	-23,6873031	2907	0,4128	4,1379	4421	3312	1109
L04970	2	-46,4477655	-23,6812088	3135	0,0638	0,6897	4611	3603	1008
L04971	40	-46,4583197	-23,6949894	1598	2,5031	13,7931	2226	1841	385
L04972	2	-46,4532906	-23,6893084	1981	0,101	0,6897	2924	2252	672
L04973	2	-46,4522160	-23,6784560	3125	0,064	0,6897	4879	3540	1339
L04974	57	-46,4513595	-23,7002391	3208	1,7768	19,6552	4809	3672	1137
L04975	2	-46,4502833	-23,6883457	2765	0,0723	0,6897	4313	3150	1163
L04977	1	-46,4629009	-23,6745649	1733	0,0577	0,3448	2761	1968	793
L04979	1	-46,4766607	-23,6697433	3522	0,0284	0,3448	5763	4202	1561
L04980	1	-46,4439840	-23,6895789	4351	0,023	0,3448	6359	4876	1483
L04981	3	-46,4553031	-23,6818891	3044	0,0986	1,0345	4587	3431	1156
L04982	1	-46,4658220	-23,6696613	2663	0,0376	0,3448	4236	3153	1083
L04983	1	-46,4834643	-23,6986859	1064	0,094	0,3448	1575	1203	372
L04984	126	-46,4570504	-23,7010895	2788	4,5194	43,4483	4166	3228	938
L04985	1	-46,4458379	-23,6939070	1354	0,0739	0,3448	1963	1597	366
L04986	2	-46,4564260	-23,6687580	1674	0,1195	0,6897	2847	1925	922
L04987	7	-46,4622729	-23,6841270	4017	0,1743	2,4138	5959	4557	1402
L04988	2	-46,4644432	-23,6881220	830	0,241	0,6897	1303	985	318
L04989	1	-46,4532290	-23,6902920	495	0,202	0,3448	759	593	166
L04991	1	-46,4614294	-23,6802922	1186	0,0843	0,3448	1771	1374	397
L07949	1	-46,4337880	-23,6734459	3263	0,0306	0,3448	4641	3702	939
L07950	1	-46,4914550	-23,6542635	545	0,1835	0,3448	978	686	292
L07954	1	-46,4414359	-23,6672899	3408	0,0293	0,3448	5192	3991	1201
L07955	1	-46,4432080	-23,6780360	2953	0,0339	0,3448	4261	3331	930
L07956	3	-46,4649894	-23,6565613	2809	0,1068	1,0345	4299	3160	1139
L07959	1	-46,4538761	-23,6469908	3554	0,0281	0,3448	5167	4033	1134
L07962	1	-46,4778274	-23,6326659	2115	0,0473	0,3448	3822	2774	1048
L07968	1	-46,4535810	-23,6509657	2551	0,0392	0,3448	3765	2936	829
L08739	1	-46,4487777	-23,6615716	2433	0,0411	0,3448	3636	2747	889
L08742	1	-46,4293810	-23,6585478	3704	0,027	0,3448	5609	4226	1383
L08745	1	-46,4464627	-23,6570993	3192	0,0313	0,3448	4906	3628	1278
L08748	1	-46,4427864	-23,6495818	3874	0,0258	0,3448	5442	4319	1123
L08751	1	-46,4238909	-23,6647312	3455	0,0289	0,3448	4976	3982	994
L08752	1	-46,4216183	-23,6705553	2219	0,0451	0,3448	3120	2454	666
L08753	1	-46,4388584	-23,6504592	3581	0,0279	0,3448	5309	4063	1246
L08754	1	-46,4400344	-23,6584764	3355	0,0298	0,3448	4910	3798	1112
L08755	2	-46,4342040	-23,6567620	1933	0,1035	0,6897	2767	2208	559
L08756	2	-46,4494430	-23,6494280	2631	0,076	0,6897	3775	3041	734
L08762	1	-46,4341396	-23,6468528	2901	0,0345	0,3448	4043	3291	752
L08769	1	-46,4448738	-23,6503312	1551	0,0645	0,3448	2172	1738	434
L08770	1	-46,4323840	-23,6590010	1010	0,099	0,3448	1519	1186	333
