cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04970	1	-46,4477655	-23,6812088	3135	0,0319	1,2048	4611	3603	1008
L04974	1	-46,4513595	-23,7002391	3208	0,0312	1,2048	4809	3672	1137
L04988	1	-46,4644432	-23,6881220	830	0,1205	1,2048	1303	985	318
L04991	1	-46,4614294	-23,6802922	1186	0,0843	1,2048	1771	1374	397
L04992	1	-46,4408824	-23,6848710	1198	0,0835	1,2048	1708	1356	352
L07964	1	-46,4697191	-23,6605170	3382	0,0296	1,2048	5277	3891	1386
L07966	1	-46,4496405	-23,6701576	3478	0,0288	1,2048	5442	3957	1485
L08739	2	-46,4487777	-23,6615716	2433	0,0822	2,4096	3636	2747	889
L08740	2	-46,4105952	-23,6690312	2542	0,0787	2,4096	3615	2925	690
L08741	4	-46,4243413	-23,6577928	3331	0,1201	4,8193	4825	3739	1086
L08743	2	-46,4243428	-23,6578794	3480	0,0575	2,4096	5089	3904	1185
L08745	4	-46,4464627	-23,6570993	3192	0,1253	4,8193	4906	3628	1278
L08746	3	-46,4419931	-23,6513988	1965	0,1527	3,6145	2953	2203	750
L08747	13	-46,4383301	-23,6513658	3290	0,3951	15,6627	4917	3803	1114
L08753	11	-46,4388584	-23,6504592	3581	0,3072	13,253	5309	4063	1246
L08755	1	-46,4342040	-23,6567620	1933	0,0517	1,2048	2767	2208	559
L08758	1	-46,4226828	-23,6720132	3121	0,032	1,2048	4480	3538	942
L08759	13	-46,4326520	-23,6478318	4280	0,3037	15,6627	6145	4825	1320
L08760	1	-46,4280158	-23,6753764	3464	0,0289	1,2048	5097	4022	1075
L08762	8	-46,4341396	-23,6468528	2901	0,2758	9,6386	4043	3291	752
L08764	1	-46,4383782	-23,6530148	1136	0,088	1,2048	1574	1266	308
L08765	2	-46,4253633	-23,6581240	1317	0,1519	2,4096	1871	1501	370
L08766	7	-46,4412049	-23,6515609	1435	0,4878	8,4337	2148	1653	495
L08769	1	-46,4448738	-23,6503312	1551	0,0645	1,2048	2172	1738	434
