cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01986	1	-46,2084156	-23,5413746	4068	0,0246	1,0989	6730	4697	2033
L01991	1	-46,1853207	-23,5234969	1416	0,0706	1,0989	2477	1597	880
L01992	2	-46,1856490	-23,5243939	4471	0,0447	2,1978	7537	5090	2447
L01993	1	-46,2029781	-23,5335337	4629	0,0216	1,0989	7844	5307	2537
L01994	3	-46,1713311	-23,5224846	4041	0,0742	3,2967	6748	4512	2236
L01995	1	-46,1882219	-23,5368569	3796	0,0263	1,0989	6404	4370	2034
L01997	1	-46,1623888	-23,5299538	803	0,1245	1,0989	1281	946	335
L02005	2	-46,1802256	-23,5306348	1683	0,1188	2,1978	2843	1949	894
L02009	1	-46,1982444	-23,5480283	1195	0,0837	1,0989	1718	1372	346
L02012	1	-46,1827169	-23,5168343	3637	0,0275	1,0989	5905	4058	1847
L06851	2	-46,2193217	-23,5648981	1780	0,1124	2,1978	2974	2110	864
L06855	1	-46,2439199	-23,5836146	192	0,5208	1,0989	372	223	149
L06858	2	-46,2411604	-23,6493249	976	0,2049	2,1978	1636	1156	480
L06862	1	-46,2005205	-23,5218948	2724	0,0367	1,0989	4340	3099	1241
L06866	2	-46,2228617	-23,5422120	5518	0,0362	2,1978	9292	6478	2814
L06868	1	-46,1954883	-23,5147961	1973	0,0507	1,0989	3249	2222	1027
L06869	2	-46,1869355	-23,6713360	1914	0,1045	2,1978	3154	2260	894
L06870	1	-46,2499240	-23,5498220	3749	0,0267	1,0989	6094	4458	1636
L06873	1	-45,9678399	-23,5322623	1902	0,0526	1,0989	2988	2135	853
L06874	1	-46,2213739	-23,5551863	3122	0,032	1,0989	4997	3696	1301
L06903	7	-46,2529135	-23,6120258	1146	0,6108	7,6923	1828	1375	453
L07517	3	-46,1367810	-23,4840010	2028	0,1479	3,2967	3198	2432	766
L07519	2	-46,1448614	-23,5117891	1314	0,1522	2,1978	2347	1560	787
L07525	1	-46,1452290	-23,5063779	2145	0,0466	1,0989	3507	2549	958
L07531	37	-46,0842351	-23,4805631	1658	2,2316	40,6593	2464	1882	582
L07533	1	-46,1315515	-23,4747163	2862	0,0349	1,0989	4600	3347	1253
L07536	2	-46,1569397	-23,5037712	2583	0,0774	2,1978	4158	2994	1164
L07537	3	-46,1432076	-23,5153889	2452	0,1223	3,2967	3935	2877	1058
L07538	1	-46,2005239	-23,5092060	1340	0,0746	1,0989	2106	1530	576
L07541	1	-46,1455968	-23,5213127	1212	0,0825	1,0989	1779	1409	370
L07548	2	-46,2077795	-23,5122450	2130	0,0939	2,1978	3451	2472	979
L07555	1	-46,1545058	-23,5015478	1648	0,0607	1,0989	2543	1949	594
L07556	1	-46,1563280	-23,5037399	1596	0,0627	1,0989	2570	1854	716
L07557	1	-46,1454960	-23,5129990	2018	0,0496	1,0989	3160	2385	775
