cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	2	-46,2134957	-23,5315855	1990	0,1005	1,0929	3292	2269	1023
L01987	4	-46,2017578	-23,5273784	2497	0,1602	2,1858	4015	2753	1262
L01989	4	-46,1730191	-23,5248590	2206	0,1813	2,1858	3377	2453	924
L01990	5	-46,1842738	-23,5459020	1949	0,2565	2,7322	2975	2270	705
L01991	2	-46,1853207	-23,5234969	1416	0,1412	1,0929	2477	1597	880
L01992	3	-46,1856490	-23,5243939	4471	0,0671	1,6393	7537	5090	2447
L01993	7	-46,2029781	-23,5335337	4629	0,1512	3,8251	7844	5307	2537
L01994	4	-46,1713311	-23,5224846	4041	0,099	2,1858	6748	4512	2236
L01995	1	-46,1882219	-23,5368569	3796	0,0263	0,5464	6404	4370	2034
L01996	1	-46,1946730	-23,5488514	2697	0,0371	0,5464	4094	3159	935
L01997	2	-46,1623888	-23,5299538	803	0,2491	1,0929	1281	946	335
L02000	2	-46,2026770	-23,5310151	2024	0,0988	1,0929	3006	2256	750
L02004	2	-46,1891169	-23,5370360	1509	0,1325	1,0929	2312	1728	584
L02005	2	-46,1802256	-23,5306348	1683	0,1188	1,0929	2843	1949	894
L02007	1	-46,1873670	-23,5323390	2582	0,0387	0,5464	4256	2958	1298
L02010	1	-46,1774530	-23,5387770	879	0,1138	0,5464	1318	1018	300
L02011	1	-46,1891176	-23,5299042	1307	0,0765	0,5464	2014	1508	506
L02012	5	-46,1827169	-23,5168343	3637	0,1375	2,7322	5905	4058	1847
L06851	3	-46,2193217	-23,5648981	1780	0,1685	1,6393	2974	2110	864
L06852	4	-46,2590979	-23,5471710	2271	0,1761	2,1858	3808	2660	1148
L06853	1	-46,2090248	-23,5741504	335	0,2985	0,5464	535	384	151
L06854	3	-46,2171382	-23,5418470	4077	0,0736	1,6393	6327	4832	1495
L06855	2	-46,2439199	-23,5836146	192	1,0417	1,0929	372	223	149
L06858	2	-46,2411604	-23,6493249	976	0,2049	1,0929	1636	1156	480
L06859	1	-46,1852660	-23,6730330	1893	0,0528	0,5464	2959	2155	804
L06860	1	-46,2161759	-23,5808935	2369	0,0422	0,5464	3947	2830	1117
L06863	4	-46,1962830	-23,5146710	3148	0,1271	2,1858	5388	3678	1710
L06866	3	-46,2228617	-23,5422120	5518	0,0544	1,6393	9292	6478	2814
L06867	3	-46,2187017	-23,5537725	2573	0,1166	1,6393	4107	3062	1045
L06868	2	-46,1954883	-23,5147961	1973	0,1014	1,0929	3249	2222	1027
L06870	1	-46,2499240	-23,5498220	3749	0,0267	0,5464	6094	4458	1636
L06871	1	-46,2337351	-23,5425270	2627	0,0381	0,5464	4208	3022	1186
L06872	1	-46,2028419	-23,5543180	2831	0,0353	0,5464	4610	3355	1255
L06874	1	-46,2213739	-23,5551863	3122	0,032	0,5464	4997	3696	1301
L06875	2	-46,2564339	-23,5487501	3077	0,065	1,0929	4993	3577	1416
L06876	1	-46,2284045	-23,5500568	2413	0,0414	0,5464	3861	2862	999
L06877	2	-46,2617930	-23,5488429	2147	0,0932	1,0929	3414	2510	904
L06878	3	-46,2089161	-23,5485101	3853	0,0779	1,6393	6146	4430	1716
L06879	2	-46,2310239	-23,5865399	3259	0,0614	1,0929	5261	3725	1536
L06880	1	-46,2571889	-23,5489202	1887	0,053	0,5464	3034	2162	872
L06881	2	-46,1804098	-23,5614630	934	0,2141	1,0929	1288	1047	241
L06882	1	-46,2464158	-23,5470346	3054	0,0327	0,5464	4946	3611	1335
L06884	3	-46,1805341	-23,5507934	1184	0,2534	1,6393	1752	1380	372
L06893	2	-46,1821326	-23,5624801	780	0,2564	1,0929	1196	925	271
L06898	1	-46,2032729	-23,5544319	2211	0,0452	0,5464	3519	2566	953
L06899	1	-46,2335765	-23,5424164	2463	0,0406	0,5464	3864	2934	930
L06901	2	-46,2010457	-23,5574233	143	1,3986	1,0929	227	165	62
L06903	1	-46,2529135	-23,6120258	1146	0,0873	0,5464	1828	1375	453
L07517	3	-46,1367810	-23,4840010	2028	0,1479	1,6393	3198	2432	766
L07519	5	-46,1448614	-23,5117891	1314	0,3805	2,7322	2347	1560	787
L07520	1	-46,2561073	-23,4660008	2316	0,0432	0,5464	3797	2727	1070
L07525	3	-46,1452290	-23,5063779	2145	0,1399	1,6393	3507	2549	958
L07527	2	-46,1487089	-23,5523510	1765	0,1133	1,0929	2833	1996	837
L07532	6	-46,1520972	-23,5008683	2148	0,2793	3,2787	3423	2532	891
L07533	9	-46,1315515	-23,4747163	2862	0,3145	4,918	4600	3347	1253
L07536	15	-46,1569397	-23,5037712	2583	0,5807	8,1967	4158	2994	1164
L07537	9	-46,1432076	-23,5153889	2452	0,367	4,918	3935	2877	1058
L07538	2	-46,2005239	-23,5092060	1340	0,1493	1,0929	2106	1530	576
L07539	3	-46,1814329	-23,4993047	2759	0,1087	1,6393	4300	3220	1080
L07541	3	-46,1455968	-23,5213127	1212	0,2475	1,6393	1779	1409	370
L07543	1	-46,1803124	-23,4984165	471	0,2123	0,5464	724	556	168
L07548	3	-46,2077795	-23,5122450	2130	0,1408	1,6393	3451	2472	979
L07551	2	-46,2801260	-23,4647610	1375	0,1455	1,0929	2559	1787	772
L07553	1	-46,2810834	-23,4795117	670	0,1493	0,5464	1165	846	319
L07554	2	-46,1830720	-23,4967629	2136	0,0936	1,0929	3370	2490	880
L07556	4	-46,1563280	-23,5037399	1596	0,2506	2,1858	2570	1854	716
L07557	3	-46,1454960	-23,5129990	2018	0,1487	1,6393	3160	2385	775
