cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01989	2	-46,1730191	-23,5248590	2206	0,0907	0,9569	3377	2453	924
L01990	1	-46,1842738	-23,5459020	1949	0,0513	0,4785	2975	2270	705
L01992	6	-46,1856490	-23,5243939	4471	0,1342	2,8708	7537	5090	2447
L01993	3	-46,2029781	-23,5335337	4629	0,0648	1,4354	7844	5307	2537
L01994	5	-46,1713311	-23,5224846	4041	0,1237	2,3923	6748	4512	2236
L01995	3	-46,1882219	-23,5368569	3796	0,079	1,4354	6404	4370	2034
L01996	3	-46,1946730	-23,5488514	2697	0,1112	1,4354	4094	3159	935
L01997	3	-46,1623888	-23,5299538	803	0,3736	1,4354	1281	946	335
L01998	2	-46,1825519	-23,5401787	2892	0,0692	0,9569	4713	3335	1378
L01999	69	-46,1737909	-23,5362493	2084	3,3109	33,0144	3560	2428	1132
L02002	24	-46,1743260	-23,5376110	1032	2,3256	11,4833	1525	1170	355
L02005	6	-46,1802256	-23,5306348	1683	0,3565	2,8708	2843	1949	894
L02007	1	-46,1873670	-23,5323390	2582	0,0387	0,4785	4256	2958	1298
L02010	10	-46,1774530	-23,5387770	879	1,1377	4,7847	1318	1018	300
L02011	2	-46,1891176	-23,5299042	1307	0,153	0,9569	2014	1508	506
L02012	3	-46,1827169	-23,5168343	3637	0,0825	1,4354	5905	4058	1847
L06851	1	-46,2193217	-23,5648981	1780	0,0562	0,4785	2974	2110	864
L06854	1	-46,2171382	-23,5418470	4077	0,0245	0,4785	6327	4832	1495
L06856	2	-46,2468620	-23,5510270	1583	0,1263	0,9569	2619	1867	752
L06858	1	-46,2411604	-23,6493249	976	0,1025	0,4785	1636	1156	480
L06862	1	-46,2005205	-23,5218948	2724	0,0367	0,4785	4340	3099	1241
L06864	1	-46,2134200	-23,5573729	2635	0,038	0,4785	4226	3074	1152
L06867	1	-46,2187017	-23,5537725	2573	0,0389	0,4785	4107	3062	1045
L06870	4	-46,2499240	-23,5498220	3749	0,1067	1,9139	6094	4458	1636
L06872	1	-46,2028419	-23,5543180	2831	0,0353	0,4785	4610	3355	1255
L06873	2	-45,9678399	-23,5322623	1902	0,1052	0,9569	2988	2135	853
L06875	4	-46,2564339	-23,5487501	3077	0,13	1,9139	4993	3577	1416
L06876	2	-46,2284045	-23,5500568	2413	0,0829	0,9569	3861	2862	999
L06878	1	-46,2089161	-23,5485101	3853	0,026	0,4785	6146	4430	1716
L06882	1	-46,2464158	-23,5470346	3054	0,0327	0,4785	4946	3611	1335
L06885	2	-46,2089100	-23,5618400	274	0,7299	0,9569	399	316	83
L06886	1	-46,2191360	-23,5572379	464	0,2155	0,4785	751	531	220
L06891	1	-46,2038548	-23,5235974	894	0,1119	0,4785	1425	1030	395
L06892	4	-46,1661447	-23,5417243	1582	0,2528	1,9139	2272	1800	472
L06893	1	-46,1821326	-23,5624801	780	0,1282	0,4785	1196	925	271
L06898	2	-46,2032729	-23,5544319	2211	0,0905	0,9569	3519	2566	953
L07517	3	-46,1367810	-23,4840010	2028	0,1479	1,4354	3198	2432	766
L07519	3	-46,1448614	-23,5117891	1314	0,2283	1,4354	2347	1560	787
L07525	4	-46,1452290	-23,5063779	2145	0,1865	1,9139	3507	2549	958
L07531	1	-46,0842351	-23,4805631	1658	0,0603	0,4785	2464	1882	582
L07532	1	-46,1520972	-23,5008683	2148	0,0466	0,4785	3423	2532	891
L07533	1	-46,1315515	-23,4747163	2862	0,0349	0,4785	4600	3347	1253
L07536	1	-46,1569397	-23,5037712	2583	0,0387	0,4785	4158	2994	1164
L07537	1	-46,1432076	-23,5153889	2452	0,0408	0,4785	3935	2877	1058
L07538	1	-46,2005239	-23,5092060	1340	0,0746	0,4785	2106	1530	576
L07541	4	-46,1455968	-23,5213127	1212	0,33	1,9139	1779	1409	370
L07543	1	-46,1803124	-23,4984165	471	0,2123	0,4785	724	556	168
L07554	2	-46,1830720	-23,4967629	2136	0,0936	0,9569	3370	2490	880
L07556	5	-46,1563280	-23,5037399	1596	0,3133	2,3923	2570	1854	716
L07557	4	-46,1454960	-23,5129990	2018	0,1982	1,9139	3160	2385	775
