cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	15	-46,2134957	-23,5315855	1990	0,7538	0,5736	3292	2269	1023
L01986	41	-46,2084156	-23,5413746	4068	1,0079	1,5679	6730	4697	2033
L01987	19	-46,2017578	-23,5273784	2497	0,7609	0,7266	4015	2753	1262
L01988	1	-46,2051594	-23,5272318	234	0,4274	0,0382	350	274	76
L01989	15	-46,1730191	-23,5248590	2206	0,68	0,5736	3377	2453	924
L01990	22	-46,1842738	-23,5459020	1949	1,1288	0,8413	2975	2270	705
L01991	15	-46,1853207	-23,5234969	1416	1,0593	0,5736	2477	1597	880
L01992	37	-46,1856490	-23,5243939	4471	0,8276	1,4149	7537	5090	2447
L01993	47	-46,2029781	-23,5335337	4629	1,0153	1,7973	7844	5307	2537
L01994	53	-46,1713311	-23,5224846	4041	1,3116	2,0268	6748	4512	2236
L01995	33	-46,1882219	-23,5368569	3796	0,8693	1,262	6404	4370	2034
L01996	27	-46,1946730	-23,5488514	2697	1,0011	1,0325	4094	3159	935
L01997	19	-46,1623888	-23,5299538	803	2,3661	0,7266	1281	946	335
L01998	21	-46,1825519	-23,5401787	2892	0,7261	0,8031	4713	3335	1378
L01999	13	-46,1737909	-23,5362493	2084	0,6238	0,4971	3560	2428	1132
L02000	24	-46,2026770	-23,5310151	2024	1,1858	0,9178	3006	2256	750
L02001	12	-46,1925010	-23,5232620	1649	0,7277	0,4589	2625	1857	768
L02002	10	-46,1743260	-23,5376110	1032	0,969	0,3824	1525	1170	355
L02003	3	-46,1984723	-23,5450909	296	1,0135	0,1147	425	344	81
L02004	11	-46,1891169	-23,5370360	1509	0,729	0,4207	2312	1728	584
L02005	12	-46,1802256	-23,5306348	1683	0,713	0,4589	2843	1949	894
L02006	15	-46,1939701	-23,5388714	919	1,6322	0,5736	1412	1075	337
L02007	20	-46,1873670	-23,5323390	2582	0,7746	0,7648	4256	2958	1298
L02008	5	-46,2049807	-23,5438808	700	0,7143	0,1912	1135	849	286
L02009	13	-46,1982444	-23,5480283	1195	1,0879	0,4971	1718	1372	346
L02010	5	-46,1774530	-23,5387770	879	0,5688	0,1912	1318	1018	300
L02011	10	-46,1891176	-23,5299042	1307	0,7651	0,3824	2014	1508	506
L02012	45	-46,1827169	-23,5168343	3637	1,2373	1,7208	5905	4058	1847
L06851	22	-46,2193217	-23,5648981	1780	1,236	0,8413	2974	2110	864
L06852	64	-46,2590979	-23,5471710	2271	2,8181	2,4474	3808	2660	1148
L06853	2	-46,2090248	-23,5741504	335	0,597	0,0765	535	384	151
L06854	28	-46,2171382	-23,5418470	4077	0,6868	1,0707	6327	4832	1495
L06855	3	-46,2439199	-23,5836146	192	1,5625	0,1147	372	223	149
L06856	37	-46,2468620	-23,5510270	1583	2,3373	1,4149	2619	1867	752
L06857	4	-46,2371100	-23,5439550	348	1,1494	0,153	582	430	152
L06858	15	-46,2411604	-23,6493249	976	1,5369	0,5736	1636	1156	480
L06859	2	-46,1852660	-23,6730330	1893	0,1057	0,0765	2959	2155	804
L06860	9	-46,2161759	-23,5808935	2369	0,3799	0,3442	3947	2830	1117
L06861	4	-46,1658596	-23,6070673	690	0,5797	0,153	1230	816	414
L06862	25	-46,2005205	-23,5218948	2724	0,9178	0,956	4340	3099	1241
L06863	39	-46,1962830	-23,5146710	3148	1,2389	1,4914	5388	3678	1710
L06864	16	-46,2134200	-23,5573729	2635	0,6072	0,6119	4226	3074	1152
L06865	14	-46,1807627	-23,5543029	1791	0,7817	0,5354	2747	2054	693
L06866	44	-46,2228617	-23,5422120	5518	0,7974	1,6826	9292	6478	2814
L06867	19	-46,2187017	-23,5537725	2573	0,7384	0,7266	4107	3062	1045
L06868	34	-46,1954883	-23,5147961	1973	1,7233	1,3002	3249	2222	1027
L06869	8	-46,1869355	-23,6713360	1914	0,418	0,3059	3154	2260	894
L06870	54	-46,2499240	-23,5498220	3749	1,4404	2,065	6094	4458	1636
L06871	39	-46,2337351	-23,5425270	2627	1,4846	1,4914	4208	3022	1186
L06872	37	-46,2028419	-23,5543180	2831	1,307	1,4149	4610	3355	1255
L06873	10	-45,9678399	-23,5322623	1902	0,5258	0,3824	2988	2135	853
L06874	19	-46,2213739	-23,5551863	3122	0,6086	0,7266	4997	3696	1301
L06875	62	-46,2564339	-23,5487501	3077	2,0149	2,3709	4993	3577	1416
L06876	15	-46,2284045	-23,5500568	2413	0,6216	0,5736	3861	2862	999
L06877	55	-46,2617930	-23,5488429	2147	2,5617	2,1033	3414	2510	904
L06878	28	-46,2089161	-23,5485101	3853	0,7267	1,0707	6146	4430	1716
L06879	76	-46,2310239	-23,5865399	3259	2,332	2,9063	5261	3725	1536
L06880	43	-46,2571889	-23,5489202	1887	2,2787	1,6444	3034	2162	872
L06881	4	-46,1804098	-23,5614630	934	0,4283	0,153	1288	1047	241
L06882	43	-46,2464158	-23,5470346	3054	1,408	1,6444	4946	3611	1335
