cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	1	-46,2134957	-23,5315855	1990	0,0503	2,0	3292	2269	1023
L01986	1	-46,2084156	-23,5413746	4068	0,0246	2,0	6730	4697	2033
L01992	1	-46,1856490	-23,5243939	4471	0,0224	2,0	7537	5090	2447
L01993	1	-46,2029781	-23,5335337	4629	0,0216	2,0	7844	5307	2537
L01995	1	-46,1882219	-23,5368569	3796	0,0263	2,0	6404	4370	2034
L02007	1	-46,1873670	-23,5323390	2582	0,0387	2,0	4256	2958	1298
L06853	1	-46,2090248	-23,5741504	335	0,2985	2,0	535	384	151
L06854	4	-46,2171382	-23,5418470	4077	0,0981	8,0	6327	4832	1495
L06856	2	-46,2468620	-23,5510270	1583	0,1263	4,0	2619	1867	752
L06862	1	-46,2005205	-23,5218948	2724	0,0367	2,0	4340	3099	1241
L06865	2	-46,1807627	-23,5543029	1791	0,1117	4,0	2747	2054	693
L06870	2	-46,2499240	-23,5498220	3749	0,0533	4,0	6094	4458	1636
L06871	2	-46,2337351	-23,5425270	2627	0,0761	4,0	4208	3022	1186
L06872	1	-46,2028419	-23,5543180	2831	0,0353	2,0	4610	3355	1255
L06874	1	-46,2213739	-23,5551863	3122	0,032	2,0	4997	3696	1301
L06875	1	-46,2564339	-23,5487501	3077	0,0325	2,0	4993	3577	1416
L06877	1	-46,2617930	-23,5488429	2147	0,0466	2,0	3414	2510	904
L06878	1	-46,2089161	-23,5485101	3853	0,026	2,0	6146	4430	1716
L06880	2	-46,2571889	-23,5489202	1887	0,106	4,0	3034	2162	872
L06882	3	-46,2464158	-23,5470346	3054	0,0982	6,0	4946	3611	1335
L06890	1	-46,2111657	-23,5541249	1629	0,0614	2,0	2603	1941	662
L06894	2	-46,2601304	-23,5491810	1765	0,1133	4,0	2672	2071	601
L06897	1	-46,1825290	-23,6808903	660	0,1515	2,0	1105	799	306
L06899	1	-46,2335765	-23,5424164	2463	0,0406	2,0	3864	2934	930
L06900	1	-46,2338260	-23,5406466	1234	0,081	2,0	1959	1466	493
L06903	3	-46,2529135	-23,6120258	1146	0,2618	6,0	1828	1375	453
L07520	3	-46,2561073	-23,4660008	2316	0,1295	6,0	3797	2727	1070
L07531	2	-46,0842351	-23,4805631	1658	0,1206	4,0	2464	1882	582
L07532	1	-46,1520972	-23,5008683	2148	0,0466	2,0	3423	2532	891
L07538	2	-46,2005239	-23,5092060	1340	0,1493	4,0	2106	1530	576
L07548	1	-46,2077795	-23,5122450	2130	0,0469	2,0	3451	2472	979
L07555	1	-46,1545058	-23,5015478	1648	0,0607	2,0	2543	1949	594
L07556	1	-46,1563280	-23,5037399	1596	0,0627	2,0	2570	1854	716
