cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	2	-46,2134957	-23,5315855	1990	0,1005	0,369	3292	2269	1023
L01986	13	-46,2084156	-23,5413746	4068	0,3196	2,3985	6730	4697	2033
L01987	2	-46,2017578	-23,5273784	2497	0,0801	0,369	4015	2753	1262
L01989	4	-46,1730191	-23,5248590	2206	0,1813	0,738	3377	2453	924
L01990	4	-46,1842738	-23,5459020	1949	0,2052	0,738	2975	2270	705
L01992	5	-46,1856490	-23,5243939	4471	0,1118	0,9225	7537	5090	2447
L01993	2	-46,2029781	-23,5335337	4629	0,0432	0,369	7844	5307	2537
L01994	10	-46,1713311	-23,5224846	4041	0,2475	1,845	6748	4512	2236
L01995	3	-46,1882219	-23,5368569	3796	0,079	0,5535	6404	4370	2034
L01996	1	-46,1946730	-23,5488514	2697	0,0371	0,1845	4094	3159	935
L01998	1	-46,1825519	-23,5401787	2892	0,0346	0,1845	4713	3335	1378
L01999	5	-46,1737909	-23,5362493	2084	0,2399	0,9225	3560	2428	1132
L02001	2	-46,1925010	-23,5232620	1649	0,1213	0,369	2625	1857	768
L02002	4	-46,1743260	-23,5376110	1032	0,3876	0,738	1525	1170	355
L02004	2	-46,1891169	-23,5370360	1509	0,1325	0,369	2312	1728	584
L02007	5	-46,1873670	-23,5323390	2582	0,1936	0,9225	4256	2958	1298
L02008	3	-46,2049807	-23,5438808	700	0,4286	0,5535	1135	849	286
L02009	1	-46,1982444	-23,5480283	1195	0,0837	0,1845	1718	1372	346
L02011	1	-46,1891176	-23,5299042	1307	0,0765	0,1845	2014	1508	506
L02012	3	-46,1827169	-23,5168343	3637	0,0825	0,5535	5905	4058	1847
L06851	7	-46,2193217	-23,5648981	1780	0,3933	1,2915	2974	2110	864
L06852	29	-46,2590979	-23,5471710	2271	1,277	5,3506	3808	2660	1148
L06854	2	-46,2171382	-23,5418470	4077	0,0491	0,369	6327	4832	1495
L06855	8	-46,2439199	-23,5836146	192	4,1667	1,476	372	223	149
L06856	16	-46,2468620	-23,5510270	1583	1,0107	2,952	2619	1867	752
L06858	22	-46,2411604	-23,6493249	976	2,2541	4,059	1636	1156	480
L06859	6	-46,1852660	-23,6730330	1893	0,317	1,107	2959	2155	804
L06860	8	-46,2161759	-23,5808935	2369	0,3377	1,476	3947	2830	1117
L06861	3	-46,1658596	-23,6070673	690	0,4348	0,5535	1230	816	414
L06862	3	-46,2005205	-23,5218948	2724	0,1101	0,5535	4340	3099	1241
L06863	2	-46,1962830	-23,5146710	3148	0,0635	0,369	5388	3678	1710
L06864	2	-46,2134200	-23,5573729	2635	0,0759	0,369	4226	3074	1152
L06865	1	-46,1807627	-23,5543029	1791	0,0558	0,1845	2747	2054	693
L06866	11	-46,2228617	-23,5422120	5518	0,1993	2,0295	9292	6478	2814
L06867	7	-46,2187017	-23,5537725	2573	0,2721	1,2915	4107	3062	1045
L06868	2	-46,1954883	-23,5147961	1973	0,1014	0,369	3249	2222	1027
L06869	3	-46,1869355	-23,6713360	1914	0,1567	0,5535	3154	2260	894
L06870	35	-46,2499240	-23,5498220	3749	0,9336	6,4576	6094	4458	1636
L06871	3	-46,2337351	-23,5425270	2627	0,1142	0,5535	4208	3022	1186
L06872	3	-46,2028419	-23,5543180	2831	0,106	0,5535	4610	3355	1255
L06874	10	-46,2213739	-23,5551863	3122	0,3203	1,845	4997	3696	1301
L06875	61	-46,2564339	-23,5487501	3077	1,9825	11,2546	4993	3577	1416
L06876	5	-46,2284045	-23,5500568	2413	0,2072	0,9225	3861	2862	999
L06877	50	-46,2617930	-23,5488429	2147	2,3288	9,2251	3414	2510	904
L06878	1	-46,2089161	-23,5485101	3853	0,026	0,1845	6146	4430	1716
L06879	5	-46,2310239	-23,5865399	3259	0,1534	0,9225	5261	3725	1536
L06880	39	-46,2571889	-23,5489202	1887	2,0668	7,1956	3034	2162	872
L06881	2	-46,1804098	-23,5614630	934	0,2141	0,369	1288	1047	241
L06882	20	-46,2464158	-23,5470346	3054	0,6549	3,69	4946	3611	1335
L06883	15	-46,2419031	-23,6968684	1018	1,4735	2,7675	1620	1193	427
L06886	1	-46,2191360	-23,5572379	464	0,2155	0,1845	751	531	220
L06887	2	-46,1847905	-23,5480892	731	0,2736	0,369	1112	809	303
L06889	1	-46,1211850	-23,6385560	897	0,1115	0,1845	1374	1020	354
L06892	1	-46,1661447	-23,5417243	1582	0,0632	0,1845	2272	1800	472
L06894	22	-46,2601304	-23,5491810	1765	1,2465	4,059	2672	2071	601
L06898	1	-46,2032729	-23,5544319	2211	0,0452	0,1845	3519	2566	953
L06899	1	-46,2335765	-23,5424164	2463	0,0406	0,1845	3864	2934	930
L06900	6	-46,2338260	-23,5406466	1234	0,4862	1,107	1959	1466	493
L06903	39	-46,2529135	-23,6120258	1146	3,4031	7,1956	1828	1375	453
L06905	1	-46,1873394	-23,5143147	1029	0,0972	0,1845	1582	1201	381
L07517	1	-46,1367810	-23,4840010	2028	0,0493	0,1845	3198	2432	766
L07519	1	-46,1448614	-23,5117891	1314	0,0761	0,1845	2347	1560	787
L07520	2	-46,2561073	-23,4660008	2316	0,0864	0,369	3797	2727	1070
L07525	2	-46,1452290	-23,5063779	2145	0,0932	0,369	3507	2549	958
L07533	2	-46,1315515	-23,4747163	2862	0,0699	0,369	4600	3347	1253
L07536	1	-46,1569397	-23,5037712	2583	0,0387	0,1845	4158	2994	1164
L07541	1	-46,1455968	-23,5213127	1212	0,0825	0,1845	1779	1409	370
L07555	2	-46,1545058	-23,5015478	1648	0,1214	0,369	2543	1949	594
L07556	1	-46,1563280	-23,5037399	1596	0,0627	0,1845	2570	1854	716
