cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	11	-46,2134957	-23,5315855	1990	0,5528	2,5229	3292	2269	1023
L01986	4	-46,2084156	-23,5413746	4068	0,0983	0,9174	6730	4697	2033
L01987	9	-46,2017578	-23,5273784	2497	0,3604	2,0642	4015	2753	1262
L01989	4	-46,1730191	-23,5248590	2206	0,1813	0,9174	3377	2453	924
L01990	2	-46,1842738	-23,5459020	1949	0,1026	0,4587	2975	2270	705
L01991	7	-46,1853207	-23,5234969	1416	0,4944	1,6055	2477	1597	880
L01992	18	-46,1856490	-23,5243939	4471	0,4026	4,1284	7537	5090	2447
L01993	12	-46,2029781	-23,5335337	4629	0,2592	2,7523	7844	5307	2537
L01994	5	-46,1713311	-23,5224846	4041	0,1237	1,1468	6748	4512	2236
L01995	13	-46,1882219	-23,5368569	3796	0,3425	2,9817	6404	4370	2034
L01996	1	-46,1946730	-23,5488514	2697	0,0371	0,2294	4094	3159	935
L01998	7	-46,1825519	-23,5401787	2892	0,242	1,6055	4713	3335	1378
L01999	5	-46,1737909	-23,5362493	2084	0,2399	1,1468	3560	2428	1132
L02000	9	-46,2026770	-23,5310151	2024	0,4447	2,0642	3006	2256	750
L02001	1	-46,1925010	-23,5232620	1649	0,0606	0,2294	2625	1857	768
L02002	4	-46,1743260	-23,5376110	1032	0,3876	0,9174	1525	1170	355
L02004	3	-46,1891169	-23,5370360	1509	0,1988	0,6881	2312	1728	584
L02005	2	-46,1802256	-23,5306348	1683	0,1188	0,4587	2843	1949	894
L02006	7	-46,1939701	-23,5388714	919	0,7617	1,6055	1412	1075	337
L02007	2	-46,1873670	-23,5323390	2582	0,0775	0,4587	4256	2958	1298
L02008	1	-46,2049807	-23,5438808	700	0,1429	0,2294	1135	849	286
L02010	1	-46,1774530	-23,5387770	879	0,1138	0,2294	1318	1018	300
L02011	2	-46,1891176	-23,5299042	1307	0,153	0,4587	2014	1508	506
L02012	8	-46,1827169	-23,5168343	3637	0,22	1,8349	5905	4058	1847
L06851	6	-46,2193217	-23,5648981	1780	0,3371	1,3761	2974	2110	864
L06852	1	-46,2590979	-23,5471710	2271	0,044	0,2294	3808	2660	1148
L06853	3	-46,2090248	-23,5741504	335	0,8955	0,6881	535	384	151
L06854	3	-46,2171382	-23,5418470	4077	0,0736	0,6881	6327	4832	1495
L06856	3	-46,2468620	-23,5510270	1583	0,1895	0,6881	2619	1867	752
L06858	8	-46,2411604	-23,6493249	976	0,8197	1,8349	1636	1156	480
L06859	18	-46,1852660	-23,6730330	1893	0,9509	4,1284	2959	2155	804
L06860	8	-46,2161759	-23,5808935	2369	0,3377	1,8349	3947	2830	1117
L06861	2	-46,1658596	-23,6070673	690	0,2899	0,4587	1230	816	414
L06862	2	-46,2005205	-23,5218948	2724	0,0734	0,4587	4340	3099	1241
L06863	3	-46,1962830	-23,5146710	3148	0,0953	0,6881	5388	3678	1710
L06864	7	-46,2134200	-23,5573729	2635	0,2657	1,6055	4226	3074	1152
L06865	1	-46,1807627	-23,5543029	1791	0,0558	0,2294	2747	2054	693
L06866	4	-46,2228617	-23,5422120	5518	0,0725	0,9174	9292	6478	2814
L06867	2	-46,2187017	-23,5537725	2573	0,0777	0,4587	4107	3062	1045
