cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01986	2	-46,2084156	-23,5413746	4068	0,0492	1,2346	6730	4697	2033
L01990	1	-46,1842738	-23,5459020	1949	0,0513	0,6173	2975	2270	705
L01992	4	-46,1856490	-23,5243939	4471	0,0895	2,4691	7537	5090	2447
L01993	1	-46,2029781	-23,5335337	4629	0,0216	0,6173	7844	5307	2537
L01994	5	-46,1713311	-23,5224846	4041	0,1237	3,0864	6748	4512	2236
L01995	5	-46,1882219	-23,5368569	3796	0,1317	3,0864	6404	4370	2034
L01996	4	-46,1946730	-23,5488514	2697	0,1483	2,4691	4094	3159	935
L01999	46	-46,1737909	-23,5362493	2084	2,2073	28,3951	3560	2428	1132
L02001	1	-46,1925010	-23,5232620	1649	0,0606	0,6173	2625	1857	768
L02002	22	-46,1743260	-23,5376110	1032	2,1318	13,5802	1525	1170	355
L02004	2	-46,1891169	-23,5370360	1509	0,1325	1,2346	2312	1728	584
L02005	8	-46,1802256	-23,5306348	1683	0,4753	4,9383	2843	1949	894
L02007	4	-46,1873670	-23,5323390	2582	0,1549	2,4691	4256	2958	1298
L02009	1	-46,1982444	-23,5480283	1195	0,0837	0,6173	1718	1372	346
L02010	2	-46,1774530	-23,5387770	879	0,2275	1,2346	1318	1018	300
L02011	1	-46,1891176	-23,5299042	1307	0,0765	0,6173	2014	1508	506
L02012	1	-46,1827169	-23,5168343	3637	0,0275	0,6173	5905	4058	1847
L06854	1	-46,2171382	-23,5418470	4077	0,0245	0,6173	6327	4832	1495
L06863	1	-46,1962830	-23,5146710	3148	0,0318	0,6173	5388	3678	1710
L06866	1	-46,2228617	-23,5422120	5518	0,0181	0,6173	9292	6478	2814
L06877	1	-46,2617930	-23,5488429	2147	0,0466	0,6173	3414	2510	904
L06878	2	-46,2089161	-23,5485101	3853	0,0519	1,2346	6146	4430	1716
L06879	1	-46,2310239	-23,5865399	3259	0,0307	0,6173	5261	3725	1536
L06881	1	-46,1804098	-23,5614630	934	0,1071	0,6173	1288	1047	241
L06884	2	-46,1805341	-23,5507934	1184	0,1689	1,2346	1752	1380	372
L06889	1	-46,1211850	-23,6385560	897	0,1115	0,6173	1374	1020	354
L06899	1	-46,2335765	-23,5424164	2463	0,0406	0,6173	3864	2934	930
L06900	1	-46,2338260	-23,5406466	1234	0,081	0,6173	1959	1466	493
L07517	3	-46,1367810	-23,4840010	2028	0,1479	1,8519	3198	2432	766
L07532	1	-46,1520972	-23,5008683	2148	0,0466	0,6173	3423	2532	891
L07536	1	-46,1569397	-23,5037712	2583	0,0387	0,6173	4158	2994	1164
L07537	3	-46,1432076	-23,5153889	2452	0,1223	1,8519	3935	2877	1058
L07538	2	-46,2005239	-23,5092060	1340	0,1493	1,2346	2106	1530	576
L07539	5	-46,1814329	-23,4993047	2759	0,1812	3,0864	4300	3220	1080
L07548	2	-46,2077795	-23,5122450	2130	0,0939	1,2346	3451	2472	979
L07554	9	-46,1830720	-23,4967629	2136	0,4213	5,5556	3370	2490	880
L07555	2	-46,1545058	-23,5015478	1648	0,1214	1,2346	2543	1949	594
L07556	4	-46,1563280	-23,5037399	1596	0,2506	2,4691	2570	1854	716
L07557	3	-46,1454960	-23,5129990	2018	0,1487	1,8519	3160	2385	775
L07569	4	-46,1648780	-23,4382300	214	1,8692	2,4691	355	251	104
